op_name,op_time,op_proportion
cast,17620.615701283874,0.025404%
strided_slice,8818.124178255695,0.012713%
transpose,40507300.16323597,58.401191%
expand_dims,12.884490882778044,0.000019%
take,20354.22168894927,0.029346%
repeat,4410.545438659721,0.006359%
multiply,202362.2798882023,0.291755%
add,566309.7190724338,0.816474%
subtract,4497.043876013489,0.006484%
nn.layer_norm,1184361.3839338287,1.707547%
nn.dropout,148.42664113139085,0.000214%
reshape,1695.3444786876316,0.002444%
nn.dense,25999785.783911876,37.485057%
nn.batch_matmul,476132.9767018908,0.686462%
divide,59341.43911222551,0.085555%
nn.softmax,223960.55011546056,0.322894%
erf,78926.99570710359,0.113793%
tanh,4355.917213256234,0.006280%
tuple,6.131586671472406,0.000009%
