op_name,op_time,op_proportion
cast,15592.139315635215,0.022291%
strided_slice,7841.843679545889,0.011211%
transpose,40956859.88131453,58.552420%
expand_dims,12.832627514147925,0.000018%
take,20130.09025159829,0.028778%
repeat,3786.930735666124,0.005414%
multiply,219824.9137805622,0.314264%
add,607238.3003785856,0.868115%
subtract,4247.936943447986,0.006073%
nn.layer_norm,1194776.483860285,1.708067%
nn.dropout,148.30989810182552,0.000212%
reshape,1706.1634297109592,0.002439%
nn.dense,26053943.164000213,37.247031%
nn.batch_matmul,482989.6322293373,0.690488%
divide,58666.07063748843,0.083870%
nn.softmax,238752.09862549862,0.341323%
erf,77531.0238698523,0.110839%
tanh,4993.236796054724,0.007138%
tuple,6.280737583075125,0.000009%
