op_name,op_time,op_proportion
strided_slice,13651.0120465002,0.986112%
split,264930.7560810048,19.137878%
squeeze,141.0684308457701,0.010190%
tuple,85.20475191968765,0.006155%
concatenate,70239.51219826529,5.073912%
nn.dense,175563.78254249558,12.682251%
add,425418.88050310226,30.731104%
sigmoid,140780.23180427926,10.169582%
multiply,139542.94755358592,10.080203%
tanh,69972.19993282517,5.054602%
subtract,70283.78381594038,5.077110%
expand_dims,25.527839748927178,0.001844%
stack,13691.786974710452,0.989057%
