op_name,op_time,op_proportion
strided_slice,8076.637267228245,0.638664%
split,459794.38470899244,36.358474%
squeeze,141.30408089596386,0.011174%
tuple,84.68949616928288,0.006697%
concatenate,42990.15022468175,3.399468%
nn.dense,176250.87561905148,13.937127%
add,277293.98575736996,21.927162%
sigmoid,100605.19430745885,7.955407%
multiply,91959.90872285451,7.271776%
tanh,51196.68145840922,4.048403%
subtract,45987.81844156822,3.636510%
expand_dims,25.70017305422096,0.002032%
stack,10206.769538972501,0.807105%
