op_name,op_time,op_proportion
strided_slice,6861.162994894064,0.468903%
split,512608.0937138108,35.032444%
squeeze,225.1695903254065,0.015388%
tuple,85.16227052281208,0.005820%
concatenate,29403.90373619842,2.009509%
nn.dense,130420.75591446899,8.913160%
add,388888.21636989457,26.577233%
sigmoid,128576.95742516204,8.787152%
multiply,129858.00020045917,8.874700%
tanh,64653.250630576615,4.418505%
subtract,64731.31827360361,4.423840%
expand_dims,27.831272652278304,0.001902%
stack,6898.356393605596,0.471445%
