Evaluate inference time cost...
get Get outputs
start to dump
start to json
Node Name                                  Ops                                        Time(us)  Time(%)  Shape              Inputs  Outputs  
---------                                  ---                                        --------  -------  -----              ------  -------  
tvmgen_default_fused_nn_conv2d_18          tvmgen_default_fused_nn_conv2d_18          337.334   5.974    (1, 1024, 7, 7)    2       1        
tvmgen_default_fused_nn_conv2d_141         tvmgen_default_fused_nn_conv2d_14          236.72    4.193    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_142         tvmgen_default_fused_nn_conv2d_14          236.085   4.181    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_144         tvmgen_default_fused_nn_conv2d_14          235.412   4.169    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_14          tvmgen_default_fused_nn_conv2d_14          235.239   4.166    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_143         tvmgen_default_fused_nn_conv2d_14          234.906   4.16     (1, 512, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_16          tvmgen_default_fused_nn_conv2d_16          151.877   2.69     (1, 1024, 7, 7)    2       1        
tvmgen_default_fused_nn_conv2d_10          tvmgen_default_fused_nn_conv2d_10          140.173   2.483    (1, 256, 28, 28)   2       1        
tvmgen_default_fused_nn_conv2d_12          tvmgen_default_fused_nn_conv2d_12          123.779   2.192    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_6           tvmgen_default_fused_nn_conv2d_6           112.339   1.99     (1, 128, 56, 56)   2       1        
tvmgen_default_fused_nn_conv2d_8           tvmgen_default_fused_nn_conv2d_8           75.643    1.34     (1, 256, 28, 28)   2       1        
tvmgen_default_fused_nn_conv2d_4           tvmgen_default_fused_nn_conv2d_4           65.404    1.158    (1, 128, 56, 56)   2       1        
tvmgen_default_fused_nn_conv2d_2           tvmgen_default_fused_nn_conv2d_2           64.329    1.139    (1, 64, 112, 112)  2       1        
tvmgen_default_fused_nn_conv2d_3           tvmgen_default_fused_nn_conv2d_3           40.561    0.718    (1, 64, 56, 56)    2       1        
tvmgen_default_fused_add_5                 tvmgen_default_fused_add_5                 35.352    0.626    (1, 64, 112, 112)  2       1        
tvmgen_default_fused_nn_relu_1             tvmgen_default_fused_nn_relu_1             34.669    0.614    (1, 64, 112, 112)  1       1        
tvmgen_default_fused_nn_conv2d             tvmgen_default_fused_nn_conv2d             34.576    0.612    (1, 32, 112, 112)  2       1        
tvmgen_default_fused_multiply_3            tvmgen_default_fused_multiply_3            30.179    0.534    (1, 64, 112, 112)  2       1        
tvmgen_default_fused_nn_conv2d_5           tvmgen_default_fused_nn_conv2d_5           28.602    0.507    (1, 128, 56, 56)   2       1        
tvmgen_default_fused_nn_softmax            tvmgen_default_fused_nn_softmax            27.806    0.492    (1, 1000)          1       1        
tvmgen_default_fused_nn_dense              tvmgen_default_fused_nn_dense              27.688    0.49     (1, 1000)          2       1        
tvmgen_default_fused_nn_conv2d_1           tvmgen_default_fused_nn_conv2d_1           27.448    0.486    (1, 32, 112, 112)  2       1        
tvmgen_default_fused_nn_conv2d_7           tvmgen_default_fused_nn_conv2d_7           26.414    0.468    (1, 128, 28, 28)   2       1        
tvmgen_default_fused_nn_conv2d_9           tvmgen_default_fused_nn_conv2d_9           22.458    0.398    (1, 256, 28, 28)   2       1        
tvmgen_default_fused_add_9                 tvmgen_default_fused_add_9                 20.506    0.363    (1, 128, 56, 56)   2       1        
tvmgen_default_fused_multiply_6            tvmgen_default_fused_multiply_6            20.435    0.362    (1, 128, 56, 56)   2       1        
tvmgen_default_fused_multiply_62           tvmgen_default_fused_multiply_6            20.391    0.361    (1, 128, 56, 56)   2       1        
tvmgen_default_fused_add_92                tvmgen_default_fused_add_9                 20.338    0.36     (1, 128, 56, 56)   2       1        
tvmgen_default_fused_multiply_61           tvmgen_default_fused_multiply_6            20.293    0.359    (1, 128, 56, 56)   2       1        
tvmgen_default_fused_add_91                tvmgen_default_fused_add_9                 20.293    0.359    (1, 128, 56, 56)   2       1        
tvmgen_default_fused_nn_conv2d_11          tvmgen_default_fused_nn_conv2d_11          20.186    0.358    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_add_2                 tvmgen_default_fused_add_2                 19.991    0.354    (1, 32, 112, 112)  2       1        
tvmgen_default_fused_multiply_1            tvmgen_default_fused_multiply_1            19.931    0.353    (1, 32, 112, 112)  2       1        
tvmgen_default_fused_add_21                tvmgen_default_fused_add_2                 19.854    0.352    (1, 32, 112, 112)  2       1        
tvmgen_default_fused_multiply_11           tvmgen_default_fused_multiply_1            19.789    0.35     (1, 32, 112, 112)  2       1        
tvmgen_default_fused_nn_relu               tvmgen_default_fused_nn_relu               18.757    0.332    (1, 32, 112, 112)  1       1        
tvmgen_default_fused_nn_relu_31            tvmgen_default_fused_nn_relu_3             18.696    0.331    (1, 128, 56, 56)   1       1        
tvmgen_default_fused_nn_relu1              tvmgen_default_fused_nn_relu               18.68     0.331    (1, 32, 112, 112)  1       1        
tvmgen_default_fused_nn_relu_3             tvmgen_default_fused_nn_relu_3             18.665    0.331    (1, 128, 56, 56)   1       1        
tvmgen_default_fused_nn_relu_32            tvmgen_default_fused_nn_relu_3             18.539    0.328    (1, 128, 56, 56)   1       1        
tvmgen_default_fused_nn_conv2d_17          tvmgen_default_fused_nn_conv2d_17          17.911    0.317    (1, 1024, 7, 7)    2       1        
tvmgen_default_fused_nn_conv2d_132         tvmgen_default_fused_nn_conv2d_13          17.369    0.308    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_13          tvmgen_default_fused_nn_conv2d_13          17.363    0.308    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_131         tvmgen_default_fused_nn_conv2d_13          17.323    0.307    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_134         tvmgen_default_fused_nn_conv2d_13          17.244    0.305    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_133         tvmgen_default_fused_nn_conv2d_13          17.17     0.304    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_nn_global_avg_pool2d  tvmgen_default_fused_nn_global_avg_pool2d  15.77     0.279    (1, 1024, 1, 1)    1       1        
tvmgen_default_fused_nn_conv2d_15          tvmgen_default_fused_nn_conv2d_15          15.245    0.27     (1, 512, 7, 7)     2       1        
tvmgen_default_fused_multiply_9            tvmgen_default_fused_multiply_9            15.195    0.269    (1, 256, 28, 28)   2       1        
tvmgen_default_fused_add_13                tvmgen_default_fused_add_13                15.176    0.269    (1, 256, 28, 28)   2       1        
tvmgen_default_fused_multiply_4            tvmgen_default_fused_multiply_4            15.094    0.267    (1, 64, 56, 56)    2       1        
tvmgen_default_fused_multiply_91           tvmgen_default_fused_multiply_9            14.996    0.266    (1, 256, 28, 28)   2       1        
tvmgen_default_fused_add_6                 tvmgen_default_fused_add_6                 14.991    0.265    (1, 64, 56, 56)    2       1        
tvmgen_default_fused_add_131               tvmgen_default_fused_add_13                14.973    0.265    (1, 256, 28, 28)   2       1        
tvmgen_default_fused_multiply_92           tvmgen_default_fused_multiply_9            14.898    0.264    (1, 256, 28, 28)   2       1        
tvmgen_default_fused_add_132               tvmgen_default_fused_add_13                14.825    0.263    (1, 256, 28, 28)   2       1        
tvmgen_default_fused_nn_relu_51            tvmgen_default_fused_nn_relu_5             14.395    0.255    (1, 256, 28, 28)   1       1        
tvmgen_default_fused_nn_relu_2             tvmgen_default_fused_nn_relu_2             14.118    0.25     (1, 64, 56, 56)    1       1        
tvmgen_default_fused_nn_relu_5             tvmgen_default_fused_nn_relu_5             14.065    0.249    (1, 256, 28, 28)   1       1        
tvmgen_default_fused_nn_relu_52            tvmgen_default_fused_nn_relu_5             14.01     0.248    (1, 256, 28, 28)   1       1        
tvmgen_default_fused_multiply_7            tvmgen_default_fused_multiply_7            12.383    0.219    (1, 128, 28, 28)   2       1        
tvmgen_default_fused_add_10                tvmgen_default_fused_add_10                12.324    0.218    (1, 128, 28, 28)   2       1        
tvmgen_default_fused_multiply_128          tvmgen_default_fused_multiply_12           12.209    0.216    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_multiply_126          tvmgen_default_fused_multiply_12           12.173    0.216    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_add_1710              tvmgen_default_fused_add_17                12.169    0.216    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_multiply_12           tvmgen_default_fused_multiply_12           12.165    0.215    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_add_171               tvmgen_default_fused_add_17                12.125    0.215    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_add_176               tvmgen_default_fused_add_17                12.104    0.214    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_add_17                tvmgen_default_fused_add_17                12.1      0.214    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_add_172               tvmgen_default_fused_add_17                12.1      0.214    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_multiply_1210         tvmgen_default_fused_multiply_12           12.1      0.214    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_add_178               tvmgen_default_fused_add_17                12.065    0.214    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_multiply_122          tvmgen_default_fused_multiply_12           12.039    0.213    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_multiply_124          tvmgen_default_fused_multiply_12           12.034    0.213    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_multiply_129          tvmgen_default_fused_multiply_12           12.021    0.213    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_add_174               tvmgen_default_fused_add_17                12.02     0.213    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_add_173               tvmgen_default_fused_add_17                12.016    0.213    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_add_175               tvmgen_default_fused_add_17                11.986    0.212    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_multiply_123          tvmgen_default_fused_multiply_12           11.979    0.212    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_multiply_127          tvmgen_default_fused_multiply_12           11.976    0.212    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_multiply_121          tvmgen_default_fused_multiply_12           11.934    0.211    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_add_179               tvmgen_default_fused_add_17                11.929    0.211    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_multiply_125          tvmgen_default_fused_multiply_12           11.928    0.211    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_add_177               tvmgen_default_fused_add_17                11.911    0.211    (1, 512, 14, 14)   2       1        
tvmgen_default_fused_nn_relu_4             tvmgen_default_fused_nn_relu_4             11.854    0.21     (1, 128, 28, 28)   1       1        
tvmgen_default_fused_nn_relu_7             tvmgen_default_fused_nn_relu_7             11.722    0.208    (1, 512, 14, 14)   1       1        
tvmgen_default_fused_nn_relu_710           tvmgen_default_fused_nn_relu_7             11.639    0.206    (1, 512, 14, 14)   1       1        
tvmgen_default_fused_nn_relu_78            tvmgen_default_fused_nn_relu_7             11.598    0.205    (1, 512, 14, 14)   1       1        
tvmgen_default_fused_nn_relu_77            tvmgen_default_fused_nn_relu_7             11.573    0.205    (1, 512, 14, 14)   1       1        
tvmgen_default_fused_nn_relu_72            tvmgen_default_fused_nn_relu_7             11.562    0.205    (1, 512, 14, 14)   1       1        
tvmgen_default_fused_nn_relu_76            tvmgen_default_fused_nn_relu_7             11.558    0.205    (1, 512, 14, 14)   1       1        
tvmgen_default_fused_nn_relu_71            tvmgen_default_fused_nn_relu_7             11.552    0.205    (1, 512, 14, 14)   1       1        
tvmgen_default_fused_nn_relu_73            tvmgen_default_fused_nn_relu_7             11.551    0.205    (1, 512, 14, 14)   1       1        
tvmgen_default_fused_nn_relu_79            tvmgen_default_fused_nn_relu_7             11.545    0.204    (1, 512, 14, 14)   1       1        
tvmgen_default_fused_nn_relu_74            tvmgen_default_fused_nn_relu_7             11.519    0.204    (1, 512, 14, 14)   1       1        
tvmgen_default_fused_nn_relu_75            tvmgen_default_fused_nn_relu_7             11.463    0.203    (1, 512, 14, 14)   1       1        
tvmgen_default_fused_multiply_15           tvmgen_default_fused_multiply_15           11.097    0.197    (1, 1024, 7, 7)    2       1        
tvmgen_default_fused_add_211               tvmgen_default_fused_add_21                10.941    0.194    (1, 1024, 7, 7)    2       1        
tvmgen_default_fused_multiply_10           tvmgen_default_fused_multiply_10           10.901    0.193    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_add_14                tvmgen_default_fused_add_14                10.897    0.193    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_add_213               tvmgen_default_fused_add_21                10.848    0.192    (1, 1024, 7, 7)    2       1        
tvmgen_default_fused_multiply_152          tvmgen_default_fused_multiply_15           10.785    0.191    (1, 1024, 7, 7)    2       1        
tvmgen_default_fused_nn_relu_6             tvmgen_default_fused_nn_relu_6             10.768    0.191    (1, 256, 14, 14)   1       1        
tvmgen_default_fused_multiply_151          tvmgen_default_fused_multiply_15           10.681    0.189    (1, 1024, 7, 7)    2       1        
tvmgen_default_fused_nn_relu_9             tvmgen_default_fused_nn_relu_9             10.653    0.189    (1, 1024, 7, 7)    1       1        
tvmgen_default_fused_nn_relu_91            tvmgen_default_fused_nn_relu_9             10.639    0.188    (1, 1024, 7, 7)    1       1        
tvmgen_default_fused_nn_relu_92            tvmgen_default_fused_nn_relu_9             10.637    0.188    (1, 1024, 7, 7)    1       1        
tvmgen_default_fused_add_212               tvmgen_default_fused_add_21                10.62     0.188    (1, 1024, 7, 7)    2       1        
tvmgen_default_fused_divide_5              tvmgen_default_fused_divide_5              10.387    0.184    (1024,)            2       1        
tvmgen_default_fused_divide_51             tvmgen_default_fused_divide_5              10.226    0.181    (1024,)            2       1        
tvmgen_default_fused_divide_52             tvmgen_default_fused_divide_5              10.226    0.181    (1024,)            2       1        
tvmgen_default_fused_divide_3              tvmgen_default_fused_divide_3              10.147    0.18     (256,)             2       1        
tvmgen_default_fused_add_81                tvmgen_default_fused_add_8                 10.05     0.178    (128,)             2       1        
tvmgen_default_fused_divide_410            tvmgen_default_fused_divide_4              9.879     0.175    (512,)             2       1        
tvmgen_default_fused_divide_4              tvmgen_default_fused_divide_4              9.878     0.175    (512,)             2       1        
tvmgen_default_fused_divide_48             tvmgen_default_fused_divide_4              9.877     0.175    (512,)             2       1        
tvmgen_default_fused_divide_42             tvmgen_default_fused_divide_4              9.873     0.175    (512,)             2       1        
tvmgen_default_fused_divide_46             tvmgen_default_fused_divide_4              9.871     0.175    (512,)             2       1        
tvmgen_default_fused_divide_22             tvmgen_default_fused_divide_2              9.869     0.175    (128,)             2       1        
tvmgen_default_fused_divide_45             tvmgen_default_fused_divide_4              9.863     0.175    (512,)             2       1        
tvmgen_default_fused_nn_bias_add           tvmgen_default_fused_nn_bias_add           9.859     0.175    (1, 1000)          2       1        
tvmgen_default_fused_divide                tvmgen_default_fused_divide                9.854     0.175    (32,)              2       1        
tvmgen_default_fused_divide_1              tvmgen_default_fused_divide_1              9.854     0.175    (64,)              2       1        
tvmgen_default_fused_divide_44             tvmgen_default_fused_divide_4              9.835     0.174    (512,)             2       1        
tvmgen_default_fused_divide_49             tvmgen_default_fused_divide_4              9.822     0.174    (512,)             2       1        
