op_name,op_time,op_proportion
strided_slice,7685.097476199231,0.565960%
split,466878.5571676249,34.382712%
squeeze,140.8592236640289,0.010373%
tuple,84.97831116134195,0.006258%
concatenate,43189.55911785622,3.180643%
nn.dense,258107.0232950612,19.007982%
add,284175.7463772518,20.927782%
sigmoid,99845.13131237499,7.352975%
multiply,93111.02769541688,6.857050%
tanh,48901.85787836858,3.601319%
subtract,46555.217737176004,3.428503%
expand_dims,25.69014331416658,0.001892%
stack,9186.782620283311,0.676550%
