op_name,op_time,op_proportion
strided_slice,50193.873031282164,0.549708%
split,1452170.1188532796,15.903735%
squeeze,891.4251407156986,0.009763%
tuple,315.35817205964463,0.003454%
concatenate,215630.28036614766,2.361519%
nn.dense,1330843.6505868873,14.575004%
add,3019818.0809471137,33.072149%
sigmoid,1005744.902886014,11.014619%
multiply,1000889.6779909694,10.961446%
tanh,501144.79360178777,5.488389%
subtract,500378.17040805536,5.479993%
expand_dims,112.73586292148369,0.001235%
stack,52867.34080404142,0.578987%
