a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
nn.conv2d-673,200856,185603.9763570567,0.0,253362176,253362176,0
nn.batch_norm-672,64,66747.32943647822,0.0,253362176,253362176,0
nn.relu-670,64,38605.082180774756,0.0,253362176,253362176,0
nn.max_pool2d-669,64,30675.99677999811,0.0,253362176,253362176,0
nn.batch_norm-668,64,19320.985186178234,0.0,253362176,253362176,0
nn.relu-666,64,12244.592460935728,0.0,253362176,253362176,0
nn.conv2d-665,64,69229.32825164028,0.0,253362176,253362176,0
nn.batch_norm-664,64,36159.717084597774,0.0,253362176,253362176,0
nn.relu-662,64,24207.160684036462,0.0,253362176,253362176,0
nn.conv2d-661,64,154811.5414605185,0.0,253362176,253362176,0
nn.batch_norm-681,64,11769.246110227508,0.0,253362176,253362176,0
nn.relu-679,64,7669.498287492527,0.0,253362176,253362176,0
nn.conv2d-678,64,37526.203530210456,0.0,253362176,253362176,0
nn.batch_norm-677,64,36248.05365504324,0.0,253362176,253362176,0
nn.relu-675,64,24210.173515261456,0.0,253362176,253362176,0
nn.conv2d-674,64,154879.4978671542,0.0,253362176,253362176,0
nn.batch_norm-689,64,11746.940184962034,0.0,253362176,253362176,0
nn.relu-687,64,7668.842123235696,0.0,253362176,253362176,0
nn.conv2d-686,64,37527.806213614625,0.0,253362176,253362176,0
nn.batch_norm-685,64,36239.67864428055,0.0,253362176,253362176,0
nn.relu-683,64,24202.65582056547,0.0,253362176,253362176,0
nn.conv2d-682,64,154964.96765005085,0.0,253362176,253362176,0
nn.batch_norm-697,64,11664.939406174744,0.0,253362176,253362176,0
nn.relu-695,64,7690.417475543557,0.0,253362176,253362176,0
nn.conv2d-694,64,37506.446098533794,0.0,253362176,253362176,0
nn.batch_norm-693,64,36252.20557341908,0.0,253362176,253362176,0
nn.relu-691,64,24204.87096647408,0.0,253362176,253362176,0
nn.conv2d-690,64,154985.69808138307,0.0,253362176,253362176,0
nn.batch_norm-705,64,11795.854400528253,0.0,253362176,253362176,0
nn.relu-703,64,7669.591345013708,0.0,253362176,253362176,0
nn.conv2d-702,64,37528.18704912401,0.0,253362176,253362176,0
