a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
strided_slice-19,2696,6815.000022946832,0.0,383160320,382779392,380928
strided_slice-39,2696,6727.990640803801,0.0,383369216,383361024,8192
split-48,3336,6900.59085510086,0.0,385126400,385105920,20480
split-55,0,6801.408908408725,0.0,385138688,385138688,0
split-66,0,29.382568096288065,0.0,385138688,385138688,0
split-83,0,6809.471689455814,0.0,385138688,385138688,0
split-201,0,6799.313595993714,0.0,385138688,385138688,0
split-212,0,27.545377277871445,0.0,385155072,385142784,12288
split-229,0,6819.5426562202465,0.0,385155072,385155072,0
split-18,64,6813.85828237712,0.0,385159168,385159168,0
split-38,64,6794.819409658603,0.0,385159168,385159168,0
squeeze-46,64,6.420388028871997,0.0,385159168,385159168,0
squeeze-108,64,6.374250948187274,0.0,385163264,385163264,0
squeeze-132,64,6.36251614980919,0.0,385163264,385163264,0
squeeze-156,64,6.3623412981171485,0.0,385163264,385163264,0
squeeze-180,64,6.361058912449221,0.0,385167360,385163264,4096
squeeze-53,64,6.410632375488953,0.0,385171456,385167360,4096
split-64,64,29.71589460049302,0.0,385302528,385302528,0
squeeze-81,64,6.396465128012134,0.0,385306624,385306624,0
squeeze-199,64,6.411133071857389,0.0,385306624,385306624,0
split-210,64,28.94369111307925,0.0,385310720,385310720,0
squeeze-227,64,6.350832328859554,0.0,385310720,385310720,0
squeeze-16,64,6.355092704988488,0.0,385314816,385314816,0
squeeze-36,64,6.355193682379305,0.0,385318912,385318912,0
split-52,64,8047.661067067136,0.0,385318912,385318912,0
squeeze-62,64,6.372115514405331,0.0,385323008,385323008,0
squeeze-90,64,6.392533830207305,0.0,385323008,385323008,0
split-80,64,8021.548414549898,0.0,385331200,385327104,4096
split-198,64,8109.525541226958,0.0,385335296,385331200,4096
squeeze-208,64,6.385170135700243,0.0,385339392,385339392,0
squeeze-236,64,6.383205976071982,0.0,385343488,385339392,4096
split-226,64,8012.764936874551,0.0,385343488,385343488,0
tuple-50,192,6.946614139275073,0.0,385347584,385347584,0
split-61,64,7874.003385491055,0.0,385359872,385351680,8192
split-89,64,7850.477924427888,0.0,385359872,385359872,0
tuple-78,192,6.94875781989311,0.0,385359872,385359872,0
tuple-196,192,7.739815468164932,0.0,385359872,385359872,0
split-207,64,6830.837433754586,0.0,385372160,385368064,4096
split-235,64,6828.238489284957,0.0,385380352,385380352,0
tuple-224,192,6.9603561733899015,0.0,385380352,385380352,0
concatenate-49,192,6921.55098769315,0.0,385511424,385511424,0
tuple-59,192,7.405586820722627,0.0,385511424,385511424,0
tuple-87,192,7.203792111810972,0.0,385511424,385511424,0
concatenate-77,192,6930.6911803087805,0.0,385523712,385519616,4096
concatenate-195,192,6930.258566408711,0.0,385523712,385523712,0
tuple-205,192,6.9501260841188985,0.0,385523712,385523712,0
tuple-233,192,6.9439796849413025,0.0,385523712,385523712,0
concatenate-223,192,7029.23266146189,0.0,385527808,385523712,4096
nn.dense-45,128,9073.202055253354,0.0,402112512,400224256,1888256
nn.dense-107,128,9028.273721155398,0.0,400703488,400228352,475136
nn.dense-131,128,9933.349066259056,0.0,401973248,401977344,0
nn.dense-155,128,9107.064776035548,0.0,401473536,401477632,0
nn.dense-179,128,9104.412803616095,0.0,402485248,403431424,0
concatenate-58,192,6934.155130275197,0.0,402485248,402485248,0
concatenate-86,192,6912.374444737153,0.0,402485248,402485248,0
nn.dense-76,128,10249.720064474135,0.0,402489344,402485248,4096
concatenate-204,192,6972.419166246474,0.0,402493440,402489344,4096
concatenate-232,192,6932.289951164537,0.0,402493440,402493440,0
nn.dense-222,128,20233.217829509984,0.0,402493440,402493440,0
add-44,128,6890.429085883753,0.0,399527936,399527936,0
add-106,128,6888.74699939667,0.0,399527936,399527936,0
add-130,128,12916.940555859866,0.0,399527936,399527936,0
add-154,128,6900.747112584112,0.0,399527936,399527936,0
add-178,128,6888.115329526575,0.0,399527936,399527936,0
add-75,128,6893.61385560347,0.0,399527936,399527936,0
add-221,128,6870.819838093177,0.0,399527936,399527936,0
split-43,64,13354.741131598652,0.0,399532032,399532032,0
split-105,64,7012.512716974035,0.0,399532032,399532032,0
split-129,64,6984.649109658852,0.0,399532032,399532032,0
split-153,64,6962.606228078392,0.0,399532032,399532032,0
split-177,64,13156.00158259149,0.0,399532032,399532032,0
split-74,64,13370.319014596977,0.0,399536128,399532032,4096
split-220,64,6991.556072379503,0.0,399536128,399536128,0
add-71,128,6871.268578013007,0.0,399540224,399540224,0
add-96,128,6874.248533549279,0.0,399544320,399540224,4096
sigmoid-70,64,6885.515369063121,0.0,399544320,399544320,0
sigmoid-95,64,6877.860880839194,0.0,399548416,399548416,0
multiply-69,128,6891.251931012592,0.0,399618048,399613952,4096
add-41,128,6865.992353263306,0.0,399618048,399618048,0
tanh-40,64,6891.817200848575,0.0,399622144,399622144,0
subtract-35,128,6848.814108788607,0.0,399626240,399622144,4096
multiply-34,128,6952.931849058697,0.0,399626240,399626240,0
add-33,128,6913.947741011772,0.0,399630336,399630336,0
nn.dense-117,128,10340.055699568857,0.0,399630336,399630336,0
add-116,128,6885.222551390569,0.0,399630336,399630336,0
split-115,64,7007.500395836388,0.0,399634432,399634432,0
add-112,128,6866.586726895038,0.0,399634432,399634432,0
add-120,128,6873.717412943789,0.0,399634432,399634432,0
sigmoid-111,64,6879.9663921371575,0.0,399638528,399638528,0
sigmoid-119,64,6915.294641129813,0.0,399638528,399638528,0
multiply-110,128,6890.202913777405,0.0,399638528,399638528,0
add-103,128,6871.849046996887,0.0,399638528,399638528,0
tanh-102,64,6885.238705240081,0.0,399638528,399638528,0
subtract-101,128,7111.80843044765,0.0,399638528,399638528,0
multiply-100,128,6875.7853132738555,0.0,399638528,399638528,0
add-99,128,6846.225108105112,0.0,399638528,399638528,0
nn.dense-141,128,10211.634559011867,0.0,399638528,399638528,0
add-140,128,6881.110593733476,0.0,399687680,399687680,0
split-139,64,6984.212398259419,0.0,399687680,399687680,0
add-136,128,6868.851922496364,0.0,399687680,399687680,0
add-144,128,6874.996540735818,0.0,399687680,399687680,0
sigmoid-135,64,6938.0395170294005,0.0,399687680,399687680,0
sigmoid-143,64,6884.940124860533,0.0,399687680,399687680,0
multiply-134,128,6888.267445828356,0.0,399691776,399687680,4096
add-127,128,6879.073774388527,0.0,399691776,399691776,0
tanh-126,64,6898.713982603554,0.0,399695872,399691776,4096
subtract-125,128,6855.132636279197,0.0,399695872,399695872,0
multiply-124,128,7132.483345506664,0.0,399695872,399695872,0
add-123,128,6861.01323560489,0.0,399695872,399695872,0
nn.dense-165,128,10208.017562951127,0.0,399695872,399695872,0
add-164,128,6871.030130988163,0.0,399704064,399704064,0
split-163,64,6968.870909037827,0.0,399704064,399704064,0
add-160,128,6852.05714261437,0.0,399704064,399704064,0
add-168,128,6878.91396475887,0.0,399704064,399704064,0
sigmoid-159,64,6880.132997124948,0.0,399708160,399708160,0
sigmoid-167,64,6884.145666804011,0.0,399708160,399708160,0
multiply-158,128,6865.42369236233,0.0,399757312,399757312,0
add-151,128,6867.207028223574,0.0,399761408,399761408,0
tanh-150,64,6870.32709689653,0.0,399765504,399761408,4096
subtract-149,128,6869.959041815841,0.0,399769600,399765504,4096
multiply-148,128,6861.132577366428,0.0,399773696,399769600,4096
add-147,128,6869.994363350316,0.0,399773696,399773696,0
nn.dense-189,128,10260.3667444694,0.0,399773696,399773696,0
add-188,128,6962.773928956267,0.0,399773696,399773696,0
split-187,64,6996.081004191984,0.0,399777792,399773696,4096
add-184,128,6880.38680732491,0.0,399777792,399777792,0
add-192,128,6868.645843773176,0.0,399781888,399781888,0
sigmoid-183,64,6855.578834193144,0.0,399785984,399781888,4096
sigmoid-191,64,6876.13302966276,0.0,399785984,399785984,0
multiply-182,128,6854.9364741848985,0.0,399790080,399790080,0
add-175,128,6884.058666539579,0.0,399794176,399790080,4096
tanh-174,64,6933.12853651187,0.0,399798272,399794176,4096
subtract-173,128,6879.56789919847,0.0,399798272,399798272,0
multiply-172,128,6862.360256670436,0.0,399802368,399798272,4096
add-171,128,6879.041975035899,0.0,399802368,399802368,0
tuple-32,320,8.468271573425476,0.0,399806464,399806464,0
expand_dims-343,64,6.420329852425182,0.0,399814656,399810560,4096
stack-31,320,7003.914709920171,0.0,399814656,399814656,0
expand_dims-30,64,6.390162336644429,0.0,399835136,399835136,0
squeeze-29,64,6.38394100751068,0.0,399839232,399839232,0
split-28,64,7126.126398187034,0.0,399847424,399843328,4096
squeeze-26,64,6.424942871438969,0.0,399851520,399851520,0
squeeze-254,64,6.365432502643429,0.0,399851520,399851520,0
squeeze-278,64,6.3771864135293415,0.0,399851520,399851520,0
squeeze-302,64,6.341071312471466,0.0,399855616,399851520,4096
squeeze-326,64,6.368617431003337,0.0,399859712,399855616,4096
nn.dense-25,128,10400.626563209376,0.0,399863808,399859712,4096
nn.dense-253,128,10276.672126094283,0.0,399872000,399867904,4096
nn.dense-277,128,10243.19611569135,0.0,399876096,399872000,4096
nn.dense-301,128,10382.310344827585,0.0,399880192,399880192,0
nn.dense-325,128,10253.649467573188,0.0,399884288,399884288,0
add-24,128,6902.138567655101,0.0,399888384,399888384,0
add-252,128,6987.808270002467,0.0,399888384,399888384,0
add-276,128,6890.268479344633,0.0,399888384,399888384,0
add-300,128,6906.036701854971,0.0,399892480,399888384,4096
add-324,128,6978.390697722632,0.0,399896576,399896576,0
split-23,64,6994.42601091421,0.0,399904768,399896576,8192
split-251,64,6995.4734812982515,0.0,399912960,399904768,8192
split-275,64,6994.246048173663,0.0,399912960,399912960,0
split-299,64,6971.418997350597,0.0,399912960,399912960,0
split-323,64,6988.574177946153,0.0,399912960,399912960,0
add-217,128,6867.666813574262,0.0,399912960,399912960,0
add-242,128,6889.979119305116,0.0,399912960,399912960,0
sigmoid-216,64,6883.500399285771,0.0,399912960,399912960,0
sigmoid-241,64,6876.8915704070405,0.0,399912960,399912960,0
multiply-215,128,6884.428667644251,0.0,399912960,399912960,0
add-21,128,6879.764710878735,0.0,399912960,399912960,0
tanh-20,64,6901.278353695105,0.0,399912960,399912960,0
subtract-15,128,7054.520072766362,0.0,399912960,399912960,0
multiply-14,128,6854.016851166423,0.0,399912960,399912960,0
add-13,128,6840.4884703879015,0.0,399912960,399912960,0
nn.dense-263,128,10408.107770976989,0.0,399912960,399912960,0
add-262,128,6865.41270463513,0.0,399912960,399912960,0
split-261,64,6993.603583081943,0.0,399912960,399912960,0
add-258,128,6882.497388811142,0.0,399912960,399912960,0
add-266,128,6863.117556058005,0.0,399912960,399912960,0
sigmoid-257,64,6884.838591700394,0.0,399912960,399912960,0
sigmoid-265,64,6860.771777820699,0.0,399912960,399912960,0
multiply-256,128,6869.062759221015,0.0,399912960,399912960,0
add-249,128,6902.566894706353,0.0,399912960,399912960,0
tanh-248,64,6875.694362097412,0.0,399912960,399912960,0
subtract-247,128,6885.679807979562,0.0,399912960,399912960,0
multiply-246,128,7436.910459328148,0.0,399912960,399912960,0
add-245,128,6898.211003215571,0.0,399912960,399912960,0
nn.dense-287,128,10193.134320310575,0.0,399937536,399937536,0
add-286,128,6904.171652752729,0.0,399945728,399941632,4096
split-285,64,6983.797136212417,0.0,399945728,399945728,0
add-282,128,6836.994866304025,0.0,399945728,399945728,0
add-290,128,6869.0102850366,0.0,399945728,399945728,0
sigmoid-281,64,6892.938578016381,0.0,399945728,399945728,0
sigmoid-289,64,6876.682142523027,0.0,399945728,399945728,0
multiply-280,128,6877.110325554234,0.0,399945728,399945728,0
add-273,128,6883.052316546272,0.0,399949824,399949824,0
tanh-272,64,6894.429722171561,0.0,399949824,399949824,0
subtract-271,128,6878.859538677975,0.0,399949824,399949824,0
multiply-270,128,6881.767640185734,0.0,399953920,399953920,0
add-269,128,6885.434413926942,0.0,399958016,399953920,4096
nn.dense-311,128,10253.040976245653,0.0,399962112,399958016,4096
add-310,128,6892.911748989903,0.0,399970304,399966208,4096
split-309,64,6988.731352560914,0.0,399970304,399970304,0
add-306,128,6870.484831491411,0.0,399970304,399970304,0
add-314,128,6862.492846542577,0.0,399970304,399970304,0
