a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
strided_slice-19,10376,4881.873746945131,0.0,139984896,139984896,0
strided_slice-39,10376,4718.816009516146,0.0,139984896,139984896,0
split-48,12936,23249.254372870975,0.0,139984896,139984896,0
split-55,0,4534.710831683502,0.0,139984896,139984896,0
split-66,0,3607.0073633878796,0.0,139984896,139984896,0
split-83,0,4749.055478591639,0.0,139984896,139984896,0
split-201,0,4724.303185362814,0.0,139984896,139984896,0
split-212,0,3582.166912375694,0.0,139984896,139984896,0
split-229,0,4740.6089555916715,0.0,139984896,139984896,0
split-18,64,4724.319338444713,0.0,139984896,139984896,0
split-38,64,4737.2989324887085,0.0,139984896,139984896,0
squeeze-46,64,6.381873087672746,0.0,139984896,139984896,0
squeeze-108,64,6.40672695265257,0.0,139984896,139984896,0
squeeze-132,64,6.374396635342792,0.0,139984896,139984896,0
squeeze-156,64,6.403487898827132,0.0,139984896,139984896,0
squeeze-180,64,6.379549152223247,0.0,139984896,139984896,0
squeeze-53,64,6.414393392321037,0.0,139984896,139984896,0
split-64,64,7352.198382409065,0.0,139984896,139984896,0
squeeze-81,64,6.374377484723185,0.0,139984896,139984896,0
squeeze-199,64,7.5627181913853,0.0,139984896,139984896,0
split-210,64,7296.959454799542,0.0,139984896,139984896,0
squeeze-227,64,6.37506753952773,0.0,139984896,139984896,0
squeeze-16,64,6.436928621281063,0.0,139984896,139984896,0
squeeze-36,64,6.40077070686509,0.0,139984896,139984896,0
split-52,64,11138.61075675075,0.0,139984896,139984896,0
squeeze-62,64,6.369967800849581,0.0,139984896,139984896,0
squeeze-90,64,6.391272131111741,0.0,139984896,139984896,0
split-80,64,12699.765742363546,0.0,139984896,139984896,0
split-198,64,12596.94797620163,0.0,139984896,139984896,0
squeeze-208,64,6.373943190446192,0.0,139984896,139984896,0
squeeze-236,64,6.391734999868404,0.0,139984896,139984896,0
split-226,64,12634.474022359325,0.0,139984896,139984896,0
tuple-50,192,6.919409010606819,0.0,139984896,139984896,0
split-61,64,10888.839055881119,0.0,139984896,139984896,0
split-89,64,10812.362258934683,0.0,139984896,139984896,0
tuple-78,192,6.938539491657955,0.0,139984896,139984896,0
tuple-196,192,6.970173851417527,0.0,139984896,139984896,0
split-207,64,10849.685409662601,0.0,139984896,139984896,0
split-235,64,10950.27635346316,0.0,139984896,139984896,0
tuple-224,192,6.947066835378566,0.0,139984896,139984896,0
