a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
strided_slice-19,768,3034.592690249553,0.0,1094713344,1094713344,0
strided_slice-39,768,3083.3965314532506,0.0,1094713344,1094713344,0
split-48,8128,28444.406030150756,0.0,1094713344,1094713344,0
split-55,0,3404.9396637856184,0.0,1094713344,1094713344,0
split-66,0,3434.826163802662,0.0,1094713344,1094713344,0
split-83,0,3432.471739936692,0.0,1094713344,1094713344,0
split-321,0,3447.937782377471,0.0,1094713344,1094713344,0
split-332,0,3406.7180105208695,0.0,1094713344,1094713344,0
split-349,0,3367.018821568406,0.0,1094713344,1094713344,0
split-18,64,3323.1692947209817,0.0,1094713344,1094713344,0
split-38,64,3056.86735280497,0.0,1094713344,1094713344,0
squeeze-46,64,6.760758764893037,0.0,1094713344,1094713344,0
squeeze-108,64,7.184859457828432,0.0,1094713344,1094713344,0
squeeze-132,64,7.048751308982813,0.0,1094713344,1094713344,0
squeeze-156,64,7.103114760550082,0.0,1094713344,1094713344,0
squeeze-180,64,7.07399188204362,0.0,1094713344,1094713344,0
squeeze-204,64,6.925452653684029,0.0,1094713344,1094713344,0
squeeze-228,64,7.097268110833694,0.0,1094713344,1094713344,0
squeeze-252,64,7.039881266845716,0.0,1094713344,1094713344,0
squeeze-276,64,7.16330212011331,0.0,1094713344,1094713344,0
squeeze-300,64,7.039344959596217,0.0,1094713344,1094713344,0
squeeze-53,64,6.892961445353636,0.0,1094713344,1094713344,0
split-64,64,5839.763004664629,0.0,1094713344,1094713344,0
squeeze-81,64,6.638664002120469,0.0,1094713344,1094713344,0
squeeze-319,64,6.958343196685136,0.0,1094713344,1094713344,0
split-330,64,5843.815226208547,0.0,1094713344,1094713344,0
squeeze-347,64,7.065427184296135,0.0,1094713344,1094713344,0
squeeze-16,64,6.981920188242351,0.0,1094713344,1094713344,0
squeeze-36,64,6.9150502104412945,0.0,1094713344,1094713344,0
split-52,64,9311.092730895303,0.0,1094713344,1094713344,0
squeeze-62,64,7.1449239395147774,0.0,1094713344,1094713344,0
squeeze-90,64,7.079313907049095,0.0,1094713344,1094713344,0
split-80,64,9122.090615165223,0.0,1094713344,1094713344,0
