a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-46,336,19210.105490183643,0.0,247595008,0,247595008
split-49,0,3924.7229764898752,0.0,247595008,247595008,0
strided_slice-54,296,3924.3045032333926,0.0,247595008,247595008,0
split-59,0,4917.65473897319,0.0,247595008,247595008,0
split-67,0,3975.2073604908055,0.0,247595008,247595008,0
split-260,0,4939.896706513306,0.0,247595008,247595008,0
strided_slice-265,296,3791.384633219614,0.0,247595008,247595008,0
split-270,0,4707.8176314401935,0.0,247595008,247595008,0
split-278,0,4051.9753256209046,0.0,247595008,247595008,0
squeeze-44,64,6.322312965421517,0.0,247595008,247595008,0
squeeze-100,64,6.314737973247581,0.0,247595008,247595008,0
squeeze-142,64,6.392975494214266,0.0,247595008,247595008,0
squeeze-184,64,6.302007390924735,0.0,247595008,247595008,0
squeeze-226,64,6.353091996672061,0.0,247595008,247595008,0
squeeze-47,64,6.384685067470648,0.0,247595008,247595008,0
split-53,64,3785.189429464171,0.0,247595008,247595008,0
squeeze-57,64,6.427308744290454,0.0,247595008,247595008,0
squeeze-65,64,6.374727597303474,0.0,247595008,247595008,0
squeeze-258,64,6.318745721769096,0.0,247595008,247595008,0
split-264,64,3932.5756550729157,0.0,247595008,247595008,0
squeeze-268,64,6.322286493989857,0.0,247595008,247595008,0
squeeze-276,64,6.361842444356344,0.0,247595008,247595008,0
nn.dense-43,128,6043.220063240726,0.0,247595008,247595008,0
nn.dense-99,128,6040.4209039888965,0.0,247595008,247595008,0
nn.dense-141,128,6037.672722450604,0.0,247595008,247595008,0
nn.dense-183,128,6044.286450413921,0.0,247595008,247595008,0
nn.dense-225,128,6034.807320866639,0.0,247595008,247595008,0
squeeze-51,64,6.354928693863905,0.0,247595008,247595008,0
split-56,64,11696.19709278395,0.0,247595008,247595008,0
split-104,64,11642.702458945425,0.0,247595008,247595008,0
split-146,64,11637.516755636772,0.0,247595008,247595008,0
split-188,64,13833.053909421626,0.0,247595008,247595008,0
split-230,64,11578.59602706204,0.0,247595008,247595008,0
split-64,64,7779.450184616339,0.0,247595008,247595008,0
split-109,64,7876.330581492818,0.0,247595008,247595008,0
split-151,64,7718.286132363812,0.0,247595008,247595008,0
split-193,64,7757.062096874225,0.0,247595008,247595008,0
split-235,64,7663.005784684359,0.0,247595008,247595008,0
squeeze-262,64,6.305092204853485,0.0,247595008,247595008,0
split-267,64,11664.343293749007,0.0,247595008,247595008,0
split-315,64,11580.750159907893,0.0,247595008,247595008,0
split-357,64,11494.266425186477,0.0,247595008,247595008,0
split-399,64,11471.895459060594,0.0,247595008,247595008,0
split-441,64,13821.128329351877,0.0,247595008,247595008,0
split-275,64,8042.190281407036,0.0,247595008,247595008,0
split-320,64,7766.110570416653,0.0,247595008,247595008,0
split-362,64,7759.599980630479,0.0,247595008,247595008,0
split-404,64,7810.496821256039,0.0,247595008,247595008,0
split-446,64,7783.237693690193,0.0,247595008,247595008,0
split-42,64,11586.669985805842,0.0,247595008,247595008,0
split-98,64,11507.776353947913,0.0,247595008,247595008,0
split-140,64,11432.423337027249,0.0,247595008,247595008,0
split-182,64,11821.907393631764,0.0,247595008,247595008,0
split-224,64,11761.03414883517,0.0,247595008,247595008,0
nn.dense-50,128,5823.186287750018,0.0,247595008,247595008,0
nn.dense-79,128,5853.979148637585,0.0,247595008,247595008,0
nn.dense-85,128,5824.160882372005,0.0,247595008,247595008,0
split-62,64,11677.863536454868,0.0,247595008,247595008,0
split-69,64,11595.443502696824,0.0,247595008,247595008,0
split-107,64,11590.757089898054,0.0,247595008,247595008,0
split-111,64,11640.848192443598,0.0,247595008,247595008,0
split-149,64,11597.280665938237,0.0,247595008,247595008,0
split-153,64,11711.334534902851,0.0,247595008,247595008,0
split-191,64,13677.133655728267,0.0,247595008,247595008,0
split-195,64,11510.667540049186,0.0,247595008,247595008,0
split-233,64,11556.157677019783,0.0,247595008,247595008,0
split-237,64,13581.508004795822,0.0,247595008,247595008,0
nn.dense-261,128,5825.92270786981,0.0,247595008,247595008,0
nn.dense-290,128,5836.295354046243,0.0,247595008,247595008,0
nn.dense-296,128,5821.981789008649,0.0,247595008,247595008,0
split-273,64,11608.63704164077,0.0,247595008,247595008,0
split-280,64,11495.27285994436,0.0,247595008,247595008,0
split-318,64,11468.146399875295,0.0,247595008,247595008,0
split-322,64,11580.268201967781,0.0,247595008,247595008,0
split-360,64,11650.868316688378,0.0,247595008,247595008,0
split-364,64,11674.42072304863,0.0,247595008,247595008,0
split-402,64,11566.616553157106,0.0,247595008,247595008,0
split-406,64,11681.053719490834,0.0,247595008,247595008,0
split-444,64,11636.586822423571,0.0,247595008,247595008,0
split-448,64,11607.282256318469,0.0,247595008,247595008,0
add-40,128,3997.01783532497,0.0,247595008,247595008,0
add-77,128,3820.1674617098024,0.0,247595008,247595008,0
add-60,128,3787.6334490516388,0.0,247595008,247595008,0
add-81,128,4569.796084810284,0.0,247595008,247595008,0
add-84,128,3957.6431725635243,0.0,247595008,247595008,0
add-105,128,3971.3196196267536,0.0,247595008,247595008,0
add-123,128,3949.4802857502923,0.0,247595008,247595008,0
add-147,128,3912.2418797023497,0.0,247595008,247595008,0
add-165,128,4057.795174770887,0.0,247595008,247595008,0
add-189,128,3815.482191632147,0.0,247595008,247595008,0
add-207,128,3816.1036480187036,0.0,247595008,247595008,0
add-231,128,3922.3053513529303,0.0,247595008,247595008,0
add-249,128,3962.3033967598026,0.0,247595008,247595008,0
add-271,128,3997.815939061511,0.0,247595008,247595008,0
add-292,128,4588.5551561941265,0.0,247595008,247595008,0
add-295,128,4029.1470166136796,0.0,247595008,247595008,0
add-316,128,3978.8595622153953,0.0,247595008,247595008,0
add-334,128,3971.9405607980166,0.0,247595008,247595008,0
add-358,128,3799.6452167519724,0.0,247595008,247595008,0
add-376,128,3936.2186273448956,0.0,247595008,247595008,0
add-400,128,3974.5775145602443,0.0,247595008,247595008,0
add-418,128,4020.5921525527065,0.0,247595008,247595008,0
add-442,128,3966.2698011991165,0.0,247595008,247595008,0
add-460,128,3790.222622342729,0.0,247595008,247595008,0
add-39,128,4550.433757265804,0.0,247595008,247595008,0
add-76,128,4015.6096692391952,0.0,247595008,247595008,0
sigmoid-38,64,4951.311360379503,0.0,247595008,247595008,0
multiply-75,128,4317.83600240751,0.0,247595008,247595008,0
subtract-37,64,3768.9114311947665,0.0,247595008,247595008,0
multiply-89,128,4619.568272323699,0.0,247595008,247595008,0
add-73,128,4003.8674473879673,0.0,247595008,247595008,0
add-72,128,3956.3234408094863,0.0,247595008,247595008,0
tanh-71,64,4975.03671721287,0.0,247595008,247595008,0
multiply-36,128,3946.026579606265,0.0,247595008,247595008,0
add-35,128,4548.292617495054,0.0,247595008,247595008,0
expand_dims-34,64,6.298909007222563,0.0,247595008,247595008,0
nn.dense-102,128,5826.502538898722,0.0,247595008,247595008,0
nn.dense-121,128,5823.132336005025,0.0,247595008,247595008,0
nn.dense-127,128,5827.198778368321,0.0,247595008,247595008,0
add-96,128,4395.8678810835445,0.0,247595008,247595008,0
add-119,128,4021.4448030280396,0.0,247595008,247595008,0
add-126,128,4557.792859880941,0.0,247595008,247595008,0
add-95,128,4000.7561542702374,0.0,247595008,247595008,0
add-118,128,4586.110562057835,0.0,247595008,247595008,0
sigmoid-94,64,4949.667577170115,0.0,247595008,247595008,0
multiply-117,128,3974.5896949199337,0.0,247595008,247595008,0
subtract-93,64,4515.333586286939,0.0,247595008,247595008,0
multiply-131,128,3959.739122295353,0.0,247595008,247595008,0
add-115,128,3865.8961884102882,0.0,247595008,247595008,0
add-114,128,3987.468691771241,0.0,247595008,247595008,0
tanh-113,64,4983.488623049886,0.0,247595008,247595008,0
multiply-92,128,4047.006378483463,0.0,247595008,247595008,0
add-91,128,3824.8744161421264,0.0,247595008,247595008,0
expand_dims-90,64,6.299213611270571,0.0,247595008,247595008,0
nn.dense-144,128,5823.977418153897,0.0,247595008,247595008,0
nn.dense-163,128,5971.102251060497,0.0,247595008,247595008,0
nn.dense-169,128,5807.1954228641225,0.0,247595008,247595008,0
add-138,128,3804.067291726784,0.0,247595008,247595008,0
add-161,128,3922.939218037197,0.0,247595008,247595008,0
add-168,128,3974.3074104335333,0.0,247595008,247595008,0
add-137,128,3968.810483650379,0.0,247595008,247595008,0
add-160,128,3986.246552729646,0.0,247595008,247595008,0
sigmoid-136,64,4947.5210621533715,0.0,247595008,247595008,0
multiply-159,128,3984.526793972036,0.0,247595008,247595008,0
subtract-135,64,3985.0196492512214,0.0,247595008,247595008,0
multiply-173,128,3980.1022649754323,0.0,247595008,247595008,0
add-157,128,4000.2311382186563,0.0,247595008,247595008,0
add-156,128,3992.3607420095846,0.0,247595008,247595008,0
tanh-155,64,4944.406705924605,0.0,247595008,247595008,0
