a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
strided_slice-19,768,3433.0892001223783,0.0,1094713344,1094713344,0
strided_slice-39,768,3428.0737947716852,0.0,1094713344,1094713344,0
split-48,4928,28692.90292880387,0.0,1094713344,1094713344,0
split-55,0,3385.3046012056166,0.0,1094713344,1094713344,0
split-66,0,3099.998084627605,0.0,1094713344,1094713344,0
split-83,0,3398.025476015274,0.0,1094713344,1094713344,0
split-321,0,3105.2175961433104,0.0,1094713344,1094713344,0
split-332,0,3351.877555674113,0.0,1094713344,1094713344,0
split-349,0,3079.8299150474786,0.0,1094713344,1094713344,0
split-18,64,3392.606861705916,0.0,1094713344,1094713344,0
split-38,64,3385.017669286777,0.0,1094713344,1094713344,0
squeeze-46,64,7.138419343580801,0.0,1094713344,1094713344,0
squeeze-108,64,6.960756766059809,0.0,1094713344,1094713344,0
squeeze-132,64,7.045688495998526,0.0,1094713344,1094713344,0
squeeze-156,64,7.163907556898521,0.0,1094713344,1094713344,0
squeeze-180,64,6.968774493851862,0.0,1094713344,1094713344,0
squeeze-204,64,7.035270137430231,0.0,1094713344,1094713344,0
squeeze-228,64,7.1194196780131405,0.0,1094713344,1094713344,0
squeeze-252,64,6.992556584631197,0.0,1094713344,1094713344,0
squeeze-276,64,7.179402470103533,0.0,1094713344,1094713344,0
squeeze-300,64,6.965636536186685,0.0,1094713344,1094713344,0
squeeze-53,64,7.060186030024629,0.0,1094713344,1094713344,0
split-64,64,6167.7380852962615,0.0,1094713344,1094713344,0
squeeze-81,64,6.8792622021558785,0.0,1094713344,1094713344,0
squeeze-319,64,7.017293088740114,0.0,1094713344,1094713344,0
split-330,64,5838.306281314817,0.0,1094713344,1094713344,0
squeeze-347,64,7.112071930454289,0.0,1094713344,1094713344,0
squeeze-16,64,6.981536690235769,0.0,1094713344,1094713344,0
squeeze-36,64,7.1153140272144375,0.0,1094713344,1094713344,0
split-52,64,8534.591238336625,0.0,1094713344,1094713344,0
squeeze-62,64,7.143419280561401,0.0,1094713344,1094713344,0
squeeze-90,64,7.019647913295194,0.0,1094713344,1094713344,0
split-80,64,8657.068643359396,0.0,1094713344,1094713344,0
split-318,64,8489.484313653089,0.0,1094713344,1094713344,0
squeeze-328,64,6.907000449218238,0.0,1094713344,1094713344,0
squeeze-356,64,7.188516297995853,0.0,1094713344,1094713344,0
split-346,64,9063.68275073184,0.0,1094713344,1094713344,0
tuple-50,192,6.370635774103424,0.0,1094713344,1094713344,0
split-61,64,8978.966836547179,0.0,1094713344,1094713344,0
split-89,64,8514.822271123514,0.0,1094713344,1094713344,0
tuple-78,192,6.265828235949729,0.0,1094713344,1094713344,0
tuple-316,192,6.3744463030669865,0.0,1094713344,1094713344,0
split-327,64,8272.273483859848,0.0,1094713344,1094713344,0
split-355,64,8718.663630416806,0.0,1094713344,1094713344,0
tuple-344,192,6.0826310491647995,0.0,1094713344,1094713344,0
concatenate-49,192,3367.0405297135017,0.0,1094713344,1094713344,0
tuple-59,192,6.096394312646775,0.0,1094713344,1094713344,0
tuple-87,192,6.1559519749135925,0.0,1094713344,1094713344,0
concatenate-77,192,3386.572789073024,0.0,1094713344,1094713344,0
concatenate-315,192,3341.947397675367,0.0,1094713344,1094713344,0
tuple-325,192,6.167582482180047,0.0,1094713344,1094713344,0
tuple-353,192,6.229358144535327,0.0,1094713344,1094713344,0
concatenate-343,192,3447.2134127779964,0.0,1094713344,1094713344,0
nn.dense-45,128,3125.7996211910195,0.0,1094713344,1094713344,0
nn.dense-107,128,3004.767044032155,0.0,1094713344,1094713344,0
nn.dense-131,128,3383.2426152610437,0.0,1094713344,1094713344,0
nn.dense-155,128,3410.388542979905,0.0,1094713344,1094713344,0
nn.dense-179,128,3065.728612291923,0.0,1094713344,1094713344,0
nn.dense-203,128,3005.602489530938,0.0,1094713344,1094713344,0
nn.dense-227,128,3192.8102539206284,0.0,1094713344,1094713344,0
nn.dense-251,128,3107.091291236407,0.0,1094713344,1094713344,0
nn.dense-275,128,3090.8201833549338,0.0,1094713344,1094713344,0
nn.dense-299,128,3027.631978485568,0.0,1094713344,1094713344,0
concatenate-58,192,3027.4266548204578,0.0,1094713344,1094713344,0
concatenate-86,192,3424.8942047515684,0.0,1094713344,1094713344,0
nn.dense-76,128,3450.24047588589,0.0,1094713344,1094713344,0
concatenate-324,192,3397.054389785548,0.0,1094713344,1094713344,0
concatenate-352,192,3052.693469651695,0.0,1094713344,1094713344,0
nn.dense-342,128,3375.1350490337195,0.0,1094713344,1094713344,0
add-44,128,3446.7352333142608,0.0,1094713344,1094713344,0
add-106,128,3041.0266840602253,0.0,1094713344,1094713344,0
add-130,128,3237.3634915272805,0.0,1094713344,1094713344,0
add-154,128,3408.938551801279,0.0,1094713344,1094713344,0
add-178,128,3098.220152505447,0.0,1094713344,1094713344,0
add-202,128,3085.68390114458,0.0,1094713344,1094713344,0
add-226,128,3370.596764114776,0.0,1094713344,1094713344,0
add-250,128,3425.036755751015,0.0,1094713344,1094713344,0
add-274,128,3079.0211099619664,0.0,1094713344,1094713344,0
add-298,128,3438.5818968996828,0.0,1094713344,1094713344,0
add-75,128,3085.8445719188167,0.0,1094713344,1094713344,0
add-341,128,3451.3560863914845,0.0,1094713344,1094713344,0
split-43,64,8956.419921586034,0.0,1094713344,1094713344,0
split-105,64,8978.21651711327,0.0,1094713344,1094713344,0
split-129,64,9214.83459336192,0.0,1094713344,1094713344,0
split-153,64,9085.778536416727,0.0,1094713344,1094713344,0
split-177,64,8531.001086285643,0.0,1094713344,1094713344,0
split-201,64,8424.967315011616,0.0,1094713344,1094713344,0
split-225,64,9150.441025261676,0.0,1094713344,1094713344,0
split-249,64,8981.26338120508,0.0,1094713344,1094713344,0
split-273,64,8926.779282728492,0.0,1094713344,1094713344,0
split-297,64,8559.084265363059,0.0,1094713344,1094713344,0
split-74,64,9049.405755448928,0.0,1094713344,1094713344,0
split-340,64,8530.45965145965,0.0,1094713344,1094713344,0
add-71,128,3067.4690491673737,0.0,1094713344,1094713344,0
add-96,128,2964.7535596344687,0.0,1094713344,1094713344,0
sigmoid-70,64,3422.48742953049,0.0,1094713344,1094713344,0
sigmoid-95,64,3108.6111264452416,0.0,1094713344,1094713344,0
multiply-69,128,3239.260322580645,0.0,1094713344,1094713344,0
add-41,128,2941.0339347947124,0.0,1094713344,1094713344,0
tanh-40,64,3043.617485835166,0.0,1094713344,1094713344,0
subtract-35,128,3394.219462623302,0.0,1094713344,1094713344,0
multiply-34,128,3098.469427576648,0.0,1094713344,1094713344,0
add-33,128,3334.6449126687003,0.0,1094713344,1094713344,0
nn.dense-117,128,3046.1564274835805,0.0,1094713344,1094713344,0
add-116,128,3371.1685359250723,0.0,1094713344,1094713344,0
split-115,64,8298.796065217659,0.0,1094713344,1094713344,0
add-112,128,2973.941638747059,0.0,1094713344,1094713344,0
add-120,128,3369.0052231431628,0.0,1094713344,1094713344,0
sigmoid-111,64,3064.7732904242857,0.0,1094713344,1094713344,0
sigmoid-119,64,3073.0264396926104,0.0,1094713344,1094713344,0
multiply-110,128,3248.1226236173497,0.0,1094713344,1094713344,0
add-103,128,3050.5706598265824,0.0,1094713344,1094713344,0
tanh-102,64,3410.7747868373417,0.0,1094713344,1094713344,0
subtract-101,128,3461.2625753174093,0.0,1094713344,1094713344,0
multiply-100,128,3007.7136365131846,0.0,1094713344,1094713344,0
add-99,128,3109.4861592605525,0.0,1094713344,1094713344,0
nn.dense-141,128,3043.0110704617255,0.0,1094713344,1094713344,0
add-140,128,3046.617135084232,0.0,1094713344,1094713344,0
split-139,64,8352.915701845528,0.0,1094713344,1094713344,0
add-136,128,3451.2523211012094,0.0,1094713344,1094713344,0
add-144,128,3082.0266330064783,0.0,1094713344,1094713344,0
sigmoid-135,64,3025.683922273096,0.0,1094713344,1094713344,0
sigmoid-143,64,3046.707844286239,0.0,1094713344,1094713344,0
multiply-134,128,3096.259051255667,0.0,1094713344,1094713344,0
add-127,128,3128.5927383500743,0.0,1094713344,1094713344,0
tanh-126,64,3105.525314567503,0.0,1094713344,1094713344,0
subtract-125,128,3140.8437005417422,0.0,1094713344,1094713344,0
multiply-124,128,3465.988548719458,0.0,1094713344,1094713344,0
add-123,128,3080.2362921700146,0.0,1094713344,1094713344,0
nn.dense-165,128,3027.6528724961613,0.0,1094713344,1094713344,0
add-164,128,3372.2631689059426,0.0,1094713344,1094713344,0
split-163,64,8641.132758897777,0.0,1094713344,1094713344,0
add-160,128,3202.720433888657,0.0,1094713344,1094713344,0
add-168,128,3124.2101725629095,0.0,1094713344,1094713344,0
sigmoid-159,64,3410.2976324398414,0.0,1094713344,1094713344,0
sigmoid-167,64,3099.313094892101,0.0,1094713344,1094713344,0
multiply-158,128,3030.0508142757426,0.0,1094713344,1094713344,0
add-151,128,3239.226933202592,0.0,1094713344,1094713344,0
tanh-150,64,3449.5375172597287,0.0,1094713344,1094713344,0
