a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
strided_slice-19,768,6820.682193460492,0.0,1176346624,1175748608,598016
strided_slice-39,768,6850.9316909097315,0.0,1176416256,1176416256,0
split-48,4928,7353.2878594389895,0.0,1179738112,1179615232,122880
split-55,0,8850.756299992923,0.0,1179746304,1179746304,0
split-66,0,30.428275977458103,0.0,1179750400,1179750400,0
split-83,0,8581.655354337396,0.0,1179754496,1179750400,4096
split-321,0,8788.669984901157,0.0,1179758592,1179754496,4096
split-332,0,30.200134222164078,0.0,1179762688,1179758592,4096
split-349,0,8756.461459639177,0.0,1179762688,1179762688,0
split-18,64,7819.9261046584725,0.0,1179766784,1179766784,0
split-38,64,7837.994846164337,0.0,1179770880,1179770880,0
squeeze-46,64,6.896430516756381,0.0,1179770880,1179770880,0
squeeze-108,64,6.79612847720369,0.0,1179770880,1179770880,0
squeeze-132,64,6.93231593959212,0.0,1179770880,1179770880,0
squeeze-156,64,7.005832773123849,0.0,1179779072,1179770880,8192
squeeze-180,64,6.676220671716915,0.0,1179783168,1179783168,0
squeeze-204,64,7.017634656685002,0.0,1179787264,1179787264,0
squeeze-228,64,6.877840224570769,0.0,1179787264,1179787264,0
squeeze-252,64,6.5891977453424735,0.0,1179791360,1179791360,0
squeeze-276,64,6.897084363980842,0.0,1179799552,1179799552,0
squeeze-300,64,6.370583287706958,0.0,1179803648,1179803648,0
squeeze-53,64,6.81901499780747,0.0,1179807744,1179807744,0
split-64,64,29.321280359103937,0.0,1179934720,1179934720,0
squeeze-81,64,7.0001837604759025,0.0,1179942912,1179938816,4096
squeeze-319,64,7.068022484460103,0.0,1179942912,1179942912,0
split-330,64,30.51014370661941,0.0,1179947008,1179947008,0
squeeze-347,64,6.883322796098345,0.0,1179947008,1179947008,0
squeeze-16,64,6.361751079966218,0.0,1179951104,1179947008,4096
squeeze-36,64,6.919195301567706,0.0,1179951104,1179951104,0
split-52,64,9068.206263160253,0.0,1179951104,1179951104,0
squeeze-62,64,6.855153723988604,0.0,1179955200,1179955200,0
squeeze-90,64,6.633059927988441,0.0,1179959296,1179959296,0
split-80,64,8802.09959213811,0.0,1179963392,1179963392,0
split-318,64,8855.837599030338,0.0,1179971584,1179963392,8192
squeeze-328,64,6.917478738925316,0.0,1179975680,1179975680,0
squeeze-356,64,7.006264395637446,0.0,1179975680,1179975680,0
split-346,64,8767.127422883395,0.0,1179983872,1179983872,0
tuple-50,192,6.086766084242185,0.0,1179983872,1179983872,0
split-61,64,7633.269073233082,0.0,1179992064,1179987968,4096
split-89,64,7676.748341542579,0.0,1179992064,1179992064,0
tuple-78,192,6.386058705777663,0.0,1179992064,1179992064,0
tuple-316,192,6.256081479651934,0.0,1179992064,1179992064,0
split-327,64,7826.671414441146,0.0,1180004352,1180000256,4096
split-355,64,7635.871770232756,0.0,1180012544,1180012544,0
tuple-344,192,6.239999643378678,0.0,1180012544,1180012544,0
concatenate-49,192,7885.121890492208,0.0,1180078080,1180078080,0
tuple-59,192,6.057480159770813,0.0,1180078080,1180078080,0
tuple-87,192,6.024958461682993,0.0,1180078080,1180078080,0
concatenate-77,192,7815.082170179547,0.0,1180094464,1180094464,0
concatenate-315,192,7836.964200384228,0.0,1180094464,1180094464,0
tuple-325,192,6.0208460583688135,0.0,1180094464,1180094464,0
tuple-353,192,6.1142713517842555,0.0,1180094464,1180094464,0
concatenate-343,192,7854.495240582737,0.0,1180094464,1180094464,0
nn.dense-45,128,10115.022490550975,0.0,1180647424,1180626944,20480
nn.dense-107,128,10106.141144973228,0.0,1180651520,1180651520,0
nn.dense-131,128,10156.057417233238,0.0,1180659712,1180655616,4096
nn.dense-155,128,10047.277850300245,0.0,1180663808,1180659712,4096
nn.dense-179,128,10038.960993436753,0.0,1180667904,1180667904,0
nn.dense-203,128,10112.177687283283,0.0,1180672000,1180667904,4096
nn.dense-227,128,10052.21193622234,0.0,1180676096,1180676096,0
nn.dense-251,128,10051.520955250642,0.0,1180684288,1180680192,4096
nn.dense-275,128,10017.579397165957,0.0,1180688384,1180684288,4096
