a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-41,25736,24057.98826257581,0.0,139984896,139984896,0
strided_slice-45,20616,4754.618487331066,0.0,139984896,139984896,0
split-54,0,4594.6715545482075,0.0,139984896,139984896,0
split-64,0,4730.575082411802,0.0,139984896,139984896,0
split-76,0,3980.488046140476,0.0,139984896,139984896,0
strided_slice-97,20616,4749.379094879527,0.0,139984896,139984896,0
strided_slice-198,20616,4937.6101842076705,0.0,139984896,139984896,0
split-207,0,4729.003198418916,0.0,139984896,139984896,0
split-217,0,4722.377757132757,0.0,139984896,139984896,0
split-229,0,4055.5303512339037,0.0,139984896,139984896,0
strided_slice-250,20616,4941.382287670017,0.0,139984896,139984896,0
squeeze-39,64,6.450153126549049,0.0,139984896,139984896,0
squeeze-112,64,6.417362486140627,0.0,139984896,139984896,0
squeeze-135,64,6.2463083648204405,0.0,139984896,139984896,0
squeeze-158,64,6.439385887588227,0.0,139984896,139984896,0
squeeze-181,64,6.391486249941677,0.0,139984896,139984896,0
split-44,64,4746.970721340405,0.0,139984896,139984896,0
squeeze-52,64,6.428737978054508,0.0,139984896,139984896,0
squeeze-62,64,6.393990231564302,0.0,139984896,139984896,0
split-74,64,8037.562746909647,0.0,139984896,139984896,0
split-96,64,4751.928840138271,0.0,139984896,139984896,0
split-197,64,4747.041512512569,0.0,139984896,139984896,0
squeeze-205,64,6.239378275857791,0.0,139984896,139984896,0
squeeze-215,64,6.378401077802106,0.0,139984896,139984896,0
split-227,64,7944.224114838567,0.0,139984896,139984896,0
split-249,64,4746.992423797497,0.0,139984896,139984896,0
squeeze-42,64,6.405278325696595,0.0,139984896,139984896,0
split-51,64,15881.559735283872,0.0,139984896,139984896,0
split-61,64,16858.476608187135,0.0,139984896,139984896,0
squeeze-72,64,6.378657042166419,0.0,139984896,139984896,0
squeeze-84,64,6.409092100111764,0.0,139984896,139984896,0
squeeze-94,64,6.394397159985236,0.0,139984896,139984896,0
squeeze-195,64,6.435476274193716,0.0,139984896,139984896,0
split-204,64,16784.25267760204,0.0,139984896,139984896,0
split-214,64,16730.957469802925,0.0,139984896,139984896,0
squeeze-225,64,6.370170260543864,0.0,139984896,139984896,0
squeeze-237,64,6.37422012901454,0.0,139984896,139984896,0
squeeze-247,64,6.415707611893682,0.0,139984896,139984896,0
tuple-38,128,6.140068358492744,0.0,139984896,139984896,0
tuple-49,256,7.834807671206665,0.0,139984896,139984896,0
tuple-59,256,7.8335249439661725,0.0,139984896,139984896,0
split-71,64,15376.41293142089,0.0,139984896,139984896,0
split-83,64,16087.133354945185,0.0,139984896,139984896,0
tuple-202,256,7.83358203072691,0.0,139984896,139984896,0
tuple-212,256,7.834936437924184,0.0,139984896,139984896,0
split-224,64,15380.684110072927,0.0,139984896,139984896,0
split-236,64,15333.480047320889,0.0,139984896,139984896,0
concatenate-37,128,4950.776186442347,0.0,139984896,139984896,0
concatenate-48,256,4672.153833218109,0.0,139984896,139984896,0
concatenate-58,256,5081.430360743471,0.0,139984896,139984896,0
tuple-69,256,7.8814856252820045,0.0,139984896,139984896,0
tuple-81,256,7.8338802179433005,0.0,139984896,139984896,0
concatenate-201,256,5080.858635386414,0.0,139984896,139984896,0
concatenate-211,256,5079.680931128917,0.0,139984896,139984896,0
tuple-222,256,7.834257518785603,0.0,139984896,139984896,0
