a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
split-41,48136,12792.701909537805,0.0,386093056,385650688,442368
strided_slice-45,38536,9457.218637025848,0.0,386273280,386273280,0
split-54,0,8944.52687245118,0.0,386285568,386281472,4096
split-64,0,8146.084838593245,0.0,386285568,386285568,0
split-76,0,30.50736356576148,0.0,386482176,386478080,4096
strided_slice-97,38536,9383.418615124787,0.0,386486272,386482176,4096
strided_slice-198,38536,9447.350890782338,0.0,386486272,386486272,0
split-207,0,8146.610090572779,0.0,386498560,386486272,12288
split-217,0,8184.712346982276,0.0,386498560,386498560,0
split-229,0,28.659306098691395,0.0,386506752,386506752,0
strided_slice-250,38536,9447.597447815431,0.0,386506752,386506752,0
squeeze-39,64,6.38274999343095,0.0,386506752,386506752,0
squeeze-112,64,6.411319030573045,0.0,386510848,386510848,0
squeeze-135,64,6.36680575725815,0.0,386510848,386510848,0
squeeze-158,64,6.361117667618252,0.0,386514944,386514944,0
squeeze-181,64,6.342075647050524,0.0,386514944,386514944,0
split-44,64,10016.819643068196,0.0,386519040,386514944,4096
squeeze-52,64,6.3644337181748485,0.0,386523136,386519040,4096
squeeze-62,64,6.3857153550464325,0.0,386527232,386527232,0
split-74,64,35.50515267110564,0.0,386531328,386527232,4096
split-96,64,10063.285491169758,0.0,386535424,386535424,0
split-197,64,10048.523244576263,0.0,386535424,386535424,0
squeeze-205,64,6.3433850549196045,0.0,386539520,386539520,0
squeeze-215,64,6.429552316083959,0.0,386539520,386539520,0
split-227,64,35.08568769862497,0.0,386543616,386543616,0
split-249,64,10081.851748276042,0.0,386547712,386543616,4096
squeeze-42,64,6.3972676177553645,0.0,386547712,386547712,0
split-51,64,9699.164104096015,0.0,386686976,386686976,0
split-61,64,9687.712338605423,0.0,387227648,387190784,36864
squeeze-72,64,6.37659089178793,0.0,387239936,387239936,0
squeeze-84,64,6.36925352583779,0.0,387239936,387239936,0
squeeze-94,64,6.363479747858914,0.0,387239936,387239936,0
squeeze-195,64,6.3697541727990385,0.0,387239936,387239936,0
split-204,64,9719.113731533282,0.0,387289088,387272704,16384
split-214,64,9752.913271053956,0.0,387309568,387301376,8192
squeeze-225,64,6.375223162342632,0.0,387313664,387313664,0
squeeze-237,64,6.387381630626972,0.0,387317760,387317760,0
squeeze-247,64,6.359757070806152,0.0,387317760,387317760,0
tuple-38,128,6.188640279077222,0.0,387321856,387321856,0
tuple-49,256,8.391977106163798,0.0,387321856,387321856,0
tuple-59,256,7.83351168735554,0.0,387321856,387321856,0
split-71,64,8277.379150816185,0.0,387330048,387325952,4096
split-83,64,8279.182258636916,0.0,387330048,387330048,0
tuple-202,256,7.840491895450966,0.0,387330048,387330048,0
tuple-212,256,7.838937035699593,0.0,387330048,387330048,0
split-224,64,8281.349241645836,0.0,387338240,387334144,4096
split-236,64,8266.508300728477,0.0,387342336,387338240,4096
concatenate-37,128,10423.859846132618,0.0,387346432,387346432,0
concatenate-48,256,9609.779032153716,0.0,387411968,387411968,0
concatenate-58,256,8530.623663324754,0.0,387411968,387411968,0
tuple-69,256,7.83479222852162,0.0,387411968,387411968,0
tuple-81,256,7.833466317092751,0.0,387411968,387411968,0
concatenate-201,256,8562.327069112273,0.0,387416064,387416064,0
concatenate-211,256,8652.481298020151,0.0,387416064,387416064,0
tuple-222,256,7.834654605975425,0.0,387420160,387420160,0
tuple-234,256,7.833532413004747,0.0,387420160,387420160,0
tuple-47,128,6.355024937863964,0.0,387420160,387420160,0
tuple-115,128,6.199474942681348,0.0,387420160,387420160,0
tuple-138,128,5.955752295463703,0.0,387420160,387420160,0
tuple-161,128,6.120032957474081,0.0,387420160,387420160,0
tuple-184,128,6.123889967804428,0.0,387420160,387420160,0
concatenate-68,256,9546.060971541934,0.0,387444736,387444736,0
concatenate-80,256,9482.710480295566,0.0,387444736,387444736,0
tuple-200,128,6.560751777426948,0.0,387444736,387444736,0
