a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
split-41,819336,82491.81619256017,0.0,421281792,419807232,1474560
strided_slice-45,65672,8766.791005963663,0.0,421810176,421801984,8192
split-54,0,10900.344955267326,0.0,421810176,421810176,0
split-64,0,10993.118047506327,0.0,421810176,421810176,0
split-76,0,119.55396897125217,0.0,421810176,421810176,0
strided_slice-97,65672,7854.798914891204,0.0,421814272,421814272,0
strided_slice-1233,65672,7831.356401384083,0.0,421814272,421814272,0
split-1242,0,9745.826198991146,0.0,421818368,421814272,4096
split-1252,0,9663.766543489737,0.0,422105088,422105088,0
split-1264,0,119.17939679819129,0.0,422105088,422105088,0
strided_slice-1285,65672,15116.676658746117,0.0,422105088,422105088,0
squeeze-39,64,6.5243492375597585,0.0,422105088,422105088,0
squeeze-112,64,6.3703327043375175,0.0,422105088,422105088,0
squeeze-135,64,6.402349892926712,0.0,422105088,422105088,0
squeeze-158,64,6.414713421920573,0.0,422109184,422109184,0
squeeze-181,64,6.336283748525854,0.0,422109184,422109184,0
squeeze-204,64,6.375873032901405,0.0,422113280,422109184,4096
squeeze-227,64,6.393189171138505,0.0,422113280,422113280,0
squeeze-250,64,6.373934740896306,0.0,422113280,422113280,0
squeeze-273,64,6.356495782907866,0.0,422117376,422113280,4096
squeeze-296,64,6.421065289780925,0.0,422117376,422117376,0
squeeze-319,64,6.386062800874982,0.0,422117376,422117376,0
squeeze-342,64,6.348807449089359,0.0,422117376,422117376,0
squeeze-365,64,6.413852763726792,0.0,422121472,422121472,0
squeeze-388,64,6.387145201264961,0.0,422125568,422125568,0
squeeze-411,64,6.37990253856055,0.0,422125568,422125568,0
squeeze-434,64,6.378517650772357,0.0,422125568,422125568,0
squeeze-457,64,6.340066600027672,0.0,422125568,422125568,0
squeeze-480,64,6.371890804437561,0.0,422125568,422125568,0
squeeze-503,64,6.374471324204444,0.0,422133760,422129664,4096
squeeze-526,64,6.377175998733479,0.0,422137856,422133760,4096
squeeze-549,64,6.373869948002274,0.0,422137856,422137856,0
squeeze-572,64,6.360095072550195,0.0,422137856,422137856,0
squeeze-595,64,6.38244294447409,0.0,422141952,422141952,0
squeeze-618,64,6.372513544834808,0.0,422150144,422141952,8192
squeeze-641,64,6.359323283324469,0.0,422150144,422150144,0
squeeze-664,64,6.436301728085825,0.0,422150144,422150144,0
squeeze-687,64,6.4174460528500505,0.0,422154240,422154240,0
squeeze-710,64,6.350101264667267,0.0,422154240,422154240,0
squeeze-733,64,6.353484138425137,0.0,422158336,422154240,4096
squeeze-756,64,6.359964416176734,0.0,422158336,422158336,0
squeeze-779,64,6.352647113477606,0.0,422158336,422158336,0
squeeze-802,64,6.393487613627782,0.0,422162432,422158336,4096
squeeze-825,64,6.39118376773179,0.0,422162432,422162432,0
squeeze-848,64,6.3969352677555325,0.0,422166528,422166528,0
squeeze-871,64,6.369972743414067,0.0,422166528,422166528,0
squeeze-894,64,6.362566162098017,0.0,422166528,422166528,0
squeeze-917,64,6.380078606294528,0.0,422166528,422166528,0
squeeze-940,64,6.384669275665395,0.0,422170624,422166528,4096
squeeze-963,64,6.374707283234854,0.0,422174720,422170624,4096
squeeze-986,64,6.344384195243239,0.0,422174720,422174720,0
squeeze-1009,64,6.385907169236344,0.0,422174720,422174720,0
squeeze-1032,64,6.399767433159939,0.0,422174720,422174720,0
squeeze-1055,64,6.403448052365355,0.0,422178816,422178816,0
squeeze-1078,64,6.392642053913214,0.0,422182912,422182912,0
squeeze-1101,64,6.340727311518777,0.0,422187008,422182912,4096
squeeze-1124,64,6.343726633085433,0.0,422187008,422187008,0
squeeze-1147,64,6.375843102358778,0.0,422191104,422187008,4096
squeeze-1170,64,6.394064941927602,0.0,422195200,422191104,4096
squeeze-1193,64,6.384591884435505,0.0,422199296,422199296,0
squeeze-1216,64,6.3320525911358745,0.0,422199296,422199296,0
split-44,64,8785.909837652905,0.0,422199296,422199296,0
squeeze-52,64,6.38688888007677,0.0,422203392,422199296,4096
squeeze-62,64,6.395061881546305,0.0,422203392,422203392,0
split-74,64,114.89992834921273,0.0,422211584,422207488,4096
split-96,64,8770.531655132818,0.0,422211584,422211584,0
split-1232,64,8771.082023591425,0.0,422215680,422215680,0
squeeze-1240,64,6.334568189718742,0.0,422215680,422215680,0
squeeze-1250,64,6.41110175340783,0.0,422219776,422215680,4096
split-1262,64,111.4458741643513,0.0,422223872,422219776,4096
split-1284,64,8790.682595289216,0.0,422223872,422223872,0
squeeze-42,64,6.396299658326203,0.0,422227968,422223872,4096
split-51,64,24678.24432162021,0.0,422227968,422227968,0
split-61,64,69151.75961216983,0.0,422236160,422232064,4096
squeeze-72,64,6.423052471968038,0.0,422240256,422240256,0
squeeze-84,64,6.375583414344985,0.0,422244352,422244352,0
squeeze-94,64,6.351599132544492,0.0,422244352,422244352,0
squeeze-1230,64,6.396194366003831,0.0,422244352,422244352,0
split-1239,64,69595.94127927297,0.0,422252544,422248448,4096
split-1249,64,70580.93103448277,0.0,422256640,422252544,4096
squeeze-1260,64,6.386549391538735,0.0,422260736,422260736,0
squeeze-1272,64,6.349438843948776,0.0,422264832,422260736,4096
squeeze-1282,64,6.334010681496898,0.0,422268928,422264832,4096
tuple-38,128,6.1112977287320165,0.0,422268928,422268928,0
tuple-49,256,7.833656722983031,0.0,422268928,422268928,0
tuple-59,256,7.834028692982054,0.0,422268928,422268928,0
split-71,64,7881.750396423878,0.0,422285312,422277120,8192
split-83,64,7934.2398846748465,0.0,422289408,422285312,4096
tuple-1237,256,7.849683190153605,0.0,422289408,422289408,0
tuple-1247,256,7.8336642408509665,0.0,423600128,422789120,811008
split-1259,64,7883.903965284109,0.0,423903232,423903232,0
split-1271,64,7873.934981285564,0.0,423903232,423903232,0
concatenate-37,128,8774.949395608326,0.0,423903232,423903232,0
concatenate-48,256,9235.62822557711,0.0,423968768,423968768,0
