a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-41,89736,24734.392882818116,0.0,139984896,139984896,0
strided_slice-45,71816,4978.035401307553,0.0,139984896,139984896,0
split-54,0,4651.023993051162,0.0,139984896,139984896,0
split-64,0,4765.233421141028,0.0,139984896,139984896,0
split-76,0,3649.8511506916393,0.0,139984896,139984896,0
strided_slice-97,71816,4958.567069609037,0.0,139984896,139984896,0
strided_slice-198,71816,4903.75222114935,0.0,139984896,139984896,0
split-207,0,4774.745848506225,0.0,139984896,139984896,0
split-217,0,4777.715811801686,0.0,139984896,139984896,0
split-229,0,3631.15486863138,0.0,139984896,139984896,0
strided_slice-250,71816,4906.031183774177,0.0,139984896,139984896,0
squeeze-39,64,6.399532748961884,0.0,139984896,139984896,0
squeeze-112,64,6.401993660330173,0.0,139984896,139984896,0
squeeze-135,64,6.3676421775867915,0.0,139984896,139984896,0
squeeze-158,64,6.479219739517596,0.0,139984896,139984896,0
squeeze-181,64,6.393626353731413,0.0,139984896,139984896,0
split-44,64,4954.185886732543,0.0,139984896,139984896,0
squeeze-52,64,6.37355762409026,0.0,139984896,139984896,0
squeeze-62,64,6.418926363387778,0.0,139984896,139984896,0
split-74,64,8365.451791318399,0.0,139984896,139984896,0
split-96,64,4958.29925429376,0.0,139984896,139984896,0
split-197,64,4958.564289004207,0.0,139984896,139984896,0
squeeze-205,64,6.374451365104028,0.0,139984896,139984896,0
squeeze-215,64,6.403488466513973,0.0,139984896,139984896,0
split-227,64,7506.131766268508,0.0,139984896,139984896,0
split-249,64,4963.486185536601,0.0,139984896,139984896,0
squeeze-42,64,6.4264457956582755,0.0,139984896,139984896,0
split-51,64,16587.867599539954,0.0,139984896,139984896,0
split-61,64,18336.702250281614,0.0,139984896,139984896,0
squeeze-72,64,6.404490021390295,0.0,139984896,139984896,0
squeeze-84,64,6.409751401847788,0.0,139984896,139984896,0
squeeze-94,64,6.390474039683213,0.0,139984896,139984896,0
squeeze-195,64,6.474291130201225,0.0,139984896,139984896,0
split-204,64,17889.63821745875,0.0,139984896,139984896,0
split-214,64,17798.715453954093,0.0,139984896,139984896,0
squeeze-225,64,6.433177409792954,0.0,139984896,139984896,0
squeeze-237,64,6.420022361916672,0.0,139984896,139984896,0
squeeze-247,64,6.422723509929055,0.0,139984896,139984896,0
tuple-38,128,6.192705177518028,0.0,139984896,139984896,0
tuple-49,256,7.853979447993297,0.0,139984896,139984896,0
tuple-59,256,7.864419657689875,0.0,139984896,139984896,0
split-71,64,14796.564095955226,0.0,139984896,139984896,0
split-83,64,14754.730721341413,0.0,139984896,139984896,0
tuple-202,256,7.866924690491661,0.0,139984896,139984896,0
tuple-212,256,7.836352248093996,0.0,139984896,139984896,0
split-224,64,15227.47699717655,0.0,139984896,139984896,0
split-236,64,14894.74569740084,0.0,139984896,139984896,0
concatenate-37,128,4346.1730581141655,0.0,139984896,139984896,0
concatenate-48,256,4732.642509106392,0.0,139984896,139984896,0
concatenate-58,256,5018.518349621327,0.0,139984896,139984896,0
tuple-69,256,7.852893985966333,0.0,139984896,139984896,0
tuple-81,256,7.835476224037972,0.0,139984896,139984896,0
concatenate-201,256,4981.844365070506,0.0,139984896,139984896,0
concatenate-211,256,5030.065879940493,0.0,139984896,139984896,0
tuple-222,256,7.834560700040386,0.0,139984896,139984896,0
tuple-234,256,7.838587436934369,0.0,139984896,139984896,0
tuple-47,128,6.131771020475395,0.0,139984896,139984896,0
tuple-115,128,6.1041417463179375,0.0,139984896,139984896,0
tuple-138,128,6.096488616992684,0.0,139984896,139984896,0
tuple-161,128,6.134724111410837,0.0,139984896,139984896,0
tuple-184,128,6.148054191370666,0.0,139984896,139984896,0
concatenate-68,256,4996.826906860388,0.0,139984896,139984896,0
concatenate-80,256,4962.429342513755,0.0,139984896,139984896,0
tuple-200,128,6.1166929977480695,0.0,139984896,139984896,0
tuple-268,128,6.1218241566176514,0.0,139984896,139984896,0
tuple-291,128,6.1394571612577495,0.0,139984896,139984896,0
tuple-314,128,6.179703032956502,0.0,139984896,139984896,0
tuple-337,128,6.159275345525165,0.0,139984896,139984896,0
concatenate-221,256,4997.046684519766,0.0,139984896,139984896,0
concatenate-233,256,5000.843083537469,0.0,139984896,139984896,0
concatenate-46,128,4966.367853578029,0.0,139984896,139984896,0
concatenate-114,128,4952.104689257249,0.0,139984896,139984896,0
concatenate-137,128,5042.725265894257,0.0,139984896,139984896,0
concatenate-160,128,4918.029929819732,0.0,139984896,139984896,0
concatenate-183,128,5014.6542370574725,0.0,139984896,139984896,0
concatenate-199,128,5057.189561050567,0.0,139984896,139984896,0
concatenate-267,128,5082.294413577128,0.0,139984896,139984896,0
concatenate-290,128,4981.315013877128,0.0,139984896,139984896,0
concatenate-313,128,5045.432605440605,0.0,139984896,139984896,0
concatenate-336,128,5043.226330577586,0.0,139984896,139984896,0
nn.dense-36,128,288087.55401459854,0.0,139984896,139984896,0
add-35,128,6716.2963552677365,0.0,139984896,139984896,0
add-34,128,6775.503505572442,0.0,139984896,139984896,0
split-33,64,20132.55940281548,0.0,139984896,139984896,0
sigmoid-31,64,4352.789435707517,0.0,139984896,139984896,0
sigmoid-92,64,4364.342132067236,0.0,139984896,139984896,0
sigmoid-99,64,4390.874412871486,0.0,139984896,139984896,0
tanh-101,64,4376.9086450495315,0.0,139984896,139984896,0
multiply-91,128,5018.723598508391,0.0,139984896,139984896,0
multiply-98,128,5003.040386385688,0.0,139984896,139984896,0
add-90,128,5031.501876944695,0.0,139984896,139984896,0
tanh-89,64,4377.246734055017,0.0,139984896,139984896,0
multiply-30,128,5042.383791467297,0.0,139984896,139984896,0
tuple-111,128,6.123190889107324,0.0,139984896,139984896,0
concatenate-110,128,4345.958230139841,0.0,139984896,139984896,0
nn.dense-109,128,288577.1871345029,0.0,139984896,139984896,0
add-108,128,6728.122795346632,0.0,139984896,139984896,0
add-107,128,6708.799600354048,0.0,139984896,139984896,0
split-106,64,20297.77557855354,0.0,139984896,139984896,0
sigmoid-104,64,4364.791645587286,0.0,139984896,139984896,0
sigmoid-119,64,4365.382111408798,0.0,139984896,139984896,0
sigmoid-122,64,4387.8708338816505,0.0,139984896,139984896,0
tanh-124,64,4393.4038069639155,0.0,139984896,139984896,0
multiply-118,128,5052.662193704845,0.0,139984896,139984896,0
multiply-121,128,5019.78884074542,0.0,139984896,139984896,0
add-117,128,5060.78394028044,0.0,139984896,139984896,0
tanh-116,64,4385.433995412621,0.0,139984896,139984896,0
multiply-103,128,5050.737377480498,0.0,139984896,139984896,0
tuple-134,128,6.140557582837478,0.0,139984896,139984896,0
concatenate-133,128,4380.153364259082,0.0,139984896,139984896,0
nn.dense-132,128,288000.70390653523,0.0,139984896,139984896,0
add-131,128,6740.053474783919,0.0,139984896,139984896,0
add-130,128,6752.388799919928,0.0,139984896,139984896,0
split-129,64,19850.068885712342,0.0,139984896,139984896,0
sigmoid-127,64,4405.3845045678145,0.0,139984896,139984896,0
sigmoid-142,64,4401.3589265288165,0.0,139984896,139984896,0
sigmoid-145,64,4366.526254174183,0.0,139984896,139984896,0
tanh-147,64,4380.572478079345,0.0,139984896,139984896,0
multiply-141,128,5044.511433268569,0.0,139984896,139984896,0
multiply-144,128,4949.436336052282,0.0,139984896,139984896,0
add-140,128,5053.489206320505,0.0,139984896,139984896,0
tanh-139,64,4386.1893573097195,0.0,139984896,139984896,0
multiply-126,128,5068.164703059691,0.0,139984896,139984896,0
tuple-157,128,6.126157235052322,0.0,139984896,139984896,0
concatenate-156,128,4394.756157959905,0.0,139984896,139984896,0
nn.dense-155,128,288336.5751824817,0.0,139984896,139984896,0
add-154,128,6717.155316126612,0.0,139984896,139984896,0
add-153,128,6710.082422586521,0.0,139984896,139984896,0
split-152,64,19597.394753397082,0.0,139984896,139984896,0
sigmoid-150,64,4443.800021327266,0.0,139984896,139984896,0
sigmoid-165,64,4378.826177533853,0.0,139984896,139984896,0
sigmoid-168,64,4388.296807957352,0.0,139984896,139984896,0
tanh-170,64,4387.059379958166,0.0,139984896,139984896,0
multiply-164,128,4999.022954608855,0.0,139984896,139984896,0
multiply-167,128,4995.76935654324,0.0,139984896,139984896,0
add-163,128,5041.885998193315,0.0,139984896,139984896,0
tanh-162,64,4379.9288539048275,0.0,139984896,139984896,0
multiply-149,128,5000.778780310964,0.0,139984896,139984896,0
tuple-180,128,6.090030823835824,0.0,139984896,139984896,0
concatenate-179,128,4366.498305822916,0.0,139984896,139984896,0
nn.dense-178,128,287992.7041376785,0.0,139984896,139984896,0
add-177,128,6745.245436479213,0.0,139984896,139984896,0
add-176,128,6721.822229449684,0.0,139984896,139984896,0
split-175,64,20229.836779654466,0.0,139984896,139984896,0
sigmoid-173,64,4418.660329206477,0.0,139984896,139984896,0
sigmoid-188,64,4376.966606885088,0.0,139984896,139984896,0
sigmoid-191,64,4381.220529256205,0.0,139984896,139984896,0
tanh-193,64,4389.620297125217,0.0,139984896,139984896,0
multiply-187,128,4980.368584797191,0.0,139984896,139984896,0
multiply-190,128,5018.4458319858695,0.0,139984896,139984896,0
add-186,128,4991.49863909632,0.0,139984896,139984896,0
tanh-185,64,4376.386598495915,0.0,139984896,139984896,0
expand_dims-354,64,6.594570915279356,0.0,139984896,139984896,0
multiply-172,128,5036.33822128357,0.0,139984896,139984896,0
tuple-29,320,8.48527261340433,0.0,139984896,139984896,0
expand_dims-350,64,6.446182193338726,0.0,139984896,139984896,0
stack-28,320,6218.010780389203,0.0,139984896,139984896,0
