a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
split-41,11336,6958.280942938486,0.0,381550592,381145088,405504
strided_slice-45,776,6627.462569697236,0.0,381743104,381739008,4096
split-54,0,6636.523160351066,0.0,381759488,381755392,4096
split-64,0,6592.018219599986,0.0,381763584,381763584,0
split-76,0,29.057911862252652,0.0,381771776,381763584,8192
strided_slice-97,776,6617.2872115181035,0.0,381771776,381771776,0
strided_slice-198,776,6615.905908487628,0.0,381771776,381771776,0
split-207,0,6606.315343388777,0.0,381779968,381771776,8192
split-217,0,6589.299778111335,0.0,381779968,381779968,0
split-229,0,28.25453913291631,0.0,381779968,381779968,0
strided_slice-250,776,6628.897538595384,0.0,381784064,381784064,0
squeeze-39,64,6.36297640416007,0.0,381788160,381784064,4096
squeeze-112,64,6.380105962986235,0.0,381788160,381788160,0
squeeze-135,64,6.3723694953107275,0.0,381792256,381792256,0
squeeze-158,64,6.364282543199742,0.0,381792256,381792256,0
squeeze-181,64,6.3425570430849945,0.0,381792256,381792256,0
split-44,64,6613.735044769803,0.0,381804544,381796352,8192
squeeze-52,64,6.391347306639217,0.0,381808640,381804544,4096
squeeze-62,64,6.3583240657395725,0.0,381808640,381808640,0
split-74,64,35.156943295830736,0.0,381812736,381808640,4096
split-96,64,6607.266461507916,0.0,381812736,381812736,0
split-197,64,6749.036988729474,0.0,381812736,381812736,0
squeeze-205,64,6.349972736713636,0.0,381820928,381820928,0
squeeze-215,64,6.3830559508379805,0.0,381820928,381820928,0
split-227,64,35.07318362640857,0.0,381820928,381820928,0
split-249,64,6620.3641935404685,0.0,381820928,381820928,0
squeeze-42,64,6.397349949706831,0.0,381829120,381825024,4096
split-51,64,8128.619921116147,0.0,381861888,381861888,0
split-61,64,6778.002614725029,0.0,382377984,382353408,24576
squeeze-72,64,6.398771558972882,0.0,382451712,382451712,0
squeeze-84,64,6.39112331437907,0.0,382451712,382451712,0
squeeze-94,64,6.350980150797164,0.0,382455808,382451712,4096
squeeze-195,64,6.4450495489135395,0.0,382455808,382455808,0
split-204,64,6780.557077341947,0.0,382476288,382459904,16384
split-214,64,6751.0723527654945,0.0,382488576,382480384,8192
squeeze-225,64,6.369825702380963,0.0,382492672,382492672,0
squeeze-237,64,6.422622667692396,0.0,382492672,382492672,0
squeeze-247,64,6.3572531495117595,0.0,382492672,382492672,0
tuple-38,128,6.1034354165227045,0.0,382492672,382492672,0
