a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-41,12936,23406.549703752473,0.0,139984896,139984896,0
strided_slice-45,776,3656.787805945106,0.0,139984896,139984896,0
split-54,0,5036.375726729566,0.0,139984896,139984896,0
split-64,0,4743.029770723104,0.0,139984896,139984896,0
split-76,0,4568.5288672392535,0.0,139984896,139984896,0
strided_slice-97,776,3578.514856987875,0.0,139984896,139984896,0
strided_slice-198,776,3643.334163549582,0.0,139984896,139984896,0
split-207,0,4751.597052044872,0.0,139984896,139984896,0
split-217,0,4762.006329000126,0.0,139984896,139984896,0
split-229,0,3589.6147955433394,0.0,139984896,139984896,0
strided_slice-250,776,3666.354100546618,0.0,139984896,139984896,0
squeeze-39,64,6.368437877031028,0.0,139984896,139984896,0
squeeze-112,64,6.376218948223057,0.0,139984896,139984896,0
squeeze-135,64,7.116585365214068,0.0,139984896,139984896,0
squeeze-158,64,7.021661911352197,0.0,139984896,139984896,0
squeeze-181,64,6.54482032580047,0.0,139984896,139984896,0
split-44,64,3649.8460539373064,0.0,139984896,139984896,0
squeeze-52,64,6.332374814643438,0.0,139984896,139984896,0
squeeze-62,64,6.3798953616615846,0.0,139984896,139984896,0
split-74,64,7300.1350259039245,0.0,139984896,139984896,0
split-96,64,3610.155910534544,0.0,139984896,139984896,0
split-197,64,3638.066988968963,0.0,139984896,139984896,0
squeeze-205,64,6.4083498233624665,0.0,139984896,139984896,0
squeeze-215,64,6.390003866972338,0.0,139984896,139984896,0
split-227,64,7438.461270696042,0.0,139984896,139984896,0
split-249,64,3570.510716100665,0.0,139984896,139984896,0
squeeze-42,64,6.383410949277408,0.0,139984896,139984896,0
split-51,64,19600.11536117409,0.0,139984896,139984896,0
split-61,64,17620.84603227976,0.0,139984896,139984896,0
squeeze-72,64,6.370770735924274,0.0,139984896,139984896,0
squeeze-84,64,6.388065650348869,0.0,139984896,139984896,0
squeeze-94,64,6.397373553665526,0.0,139984896,139984896,0
squeeze-195,64,6.37813522198977,0.0,139984896,139984896,0
split-204,64,17823.59935170178,0.0,139984896,139984896,0
split-214,64,17443.094273685372,0.0,139984896,139984896,0
squeeze-225,64,6.417306800343332,0.0,139984896,139984896,0
squeeze-237,64,6.3535898646409095,0.0,139984896,139984896,0
squeeze-247,64,6.388140406468545,0.0,139984896,139984896,0
tuple-38,128,6.111334058852658,0.0,139984896,139984896,0
tuple-49,256,7.899566795482507,0.0,139984896,139984896,0
tuple-59,256,7.8672645181594625,0.0,139984896,139984896,0
split-71,64,15136.120908011535,0.0,139984896,139984896,0
split-83,64,14662.018919984232,0.0,139984896,139984896,0
tuple-202,256,7.864039512678239,0.0,139984896,139984896,0
tuple-212,256,7.862139168733621,0.0,139984896,139984896,0
split-224,64,14867.234794672586,0.0,139984896,139984896,0
split-236,64,14863.49755762898,0.0,139984896,139984896,0
concatenate-37,128,4971.646492214825,0.0,139984896,139984896,0
concatenate-48,256,5161.90386977887,0.0,139984896,139984896,0
concatenate-58,256,5073.259516166598,0.0,139984896,139984896,0
tuple-69,256,7.862342940787498,0.0,139984896,139984896,0
tuple-81,256,7.863060629208394,0.0,139984896,139984896,0
concatenate-201,256,5053.400108373442,0.0,139984896,139984896,0
concatenate-211,256,5069.759812221805,0.0,139984896,139984896,0
tuple-222,256,7.862450102092976,0.0,139984896,139984896,0
tuple-234,256,7.8928028735873985,0.0,139984896,139984896,0
tuple-47,128,6.117123813710877,0.0,139984896,139984896,0
tuple-115,128,6.137007514680005,0.0,139984896,139984896,0
tuple-138,128,6.124294948806973,0.0,139984896,139984896,0
tuple-161,128,6.129007601925486,0.0,139984896,139984896,0
tuple-184,128,6.128502693999118,0.0,139984896,139984896,0
concatenate-68,256,5033.614720373851,0.0,139984896,139984896,0
concatenate-80,256,5033.816045804907,0.0,139984896,139984896,0
