a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
split-41,3328,7505.066677266421,0.0,1177313280,1176780800,532480
strided_slice-45,768,7130.634085035077,0.0,1177608192,1177604096,4096
split-54,0,7596.173984334008,0.0,1177616384,1177612288,4096
split-64,0,7551.101577957809,0.0,1177616384,1177616384,0
split-76,0,30.416690525733976,0.0,1177616384,1177616384,0
strided_slice-97,768,7056.626862418594,0.0,1177616384,1177616384,0
strided_slice-198,768,7062.987401707956,0.0,1177616384,1177616384,0
split-207,0,7403.986319160555,0.0,1177616384,1177616384,0
split-217,0,7412.003974175248,0.0,1177616384,1177616384,0
split-229,0,32.5331898971691,0.0,1177616384,1177616384,0
strided_slice-250,768,7882.569185213186,0.0,1177616384,1177616384,0
squeeze-39,64,7.090943900831035,0.0,1177616384,1177616384,0
squeeze-112,64,7.1212059593224675,0.0,1177620480,1177616384,4096
squeeze-135,64,7.092871677165978,0.0,1177653248,1177620480,32768
squeeze-158,64,7.096369142465909,0.0,1177657344,1177653248,4096
squeeze-181,64,7.005776871806184,0.0,1177661440,1177661440,0
split-44,64,7927.24630247341,0.0,1177665536,1177665536,0
squeeze-52,64,6.99730042168948,0.0,1177665536,1177665536,0
squeeze-62,64,7.023434807382603,0.0,1177673728,1177669632,4096
split-74,64,35.85962957287808,0.0,1177677824,1177673728,4096
split-96,64,7874.604174865795,0.0,1177681920,1177677824,4096
split-197,64,7868.45397647059,0.0,1177681920,1177681920,0
squeeze-205,64,6.94188900761882,0.0,1177681920,1177681920,0
squeeze-215,64,7.10785689932995,0.0,1177690112,1177681920,8192
split-227,64,36.355363016517586,0.0,1177694208,1177690112,4096
split-249,64,7865.4589077662295,0.0,1177698304,1177698304,0
squeeze-42,64,7.024199003902621,0.0,1177702400,1177702400,0
split-51,64,9374.415933345816,0.0,1177702400,1177702400,0
split-61,64,8907.432761000386,0.0,1177718784,1177714688,4096
squeeze-72,64,7.155084828162297,0.0,1177853952,1177853952,0
squeeze-84,64,7.088833108037654,0.0,1177853952,1177853952,0
squeeze-94,64,7.119260432347703,0.0,1177858048,1177853952,4096
squeeze-195,64,7.24533006428788,0.0,1177862144,1177858048,4096
split-204,64,8941.876870296592,0.0,1177882624,1177874432,8192
split-214,64,9039.75128316345,0.0,1177907200,1177890816,16384
squeeze-225,64,7.0213190104254295,0.0,1177919488,1177919488,0
squeeze-237,64,6.810997080127703,0.0,1177923584,1177923584,0
squeeze-247,64,6.828546706421795,0.0,1177923584,1177923584,0
tuple-38,128,5.3413257404354235,0.0,1177923584,1177923584,0
tuple-49,256,6.959718747916383,0.0,1177923584,1177923584,0
tuple-59,256,7.122949412738204,0.0,1177923584,1177923584,0
split-71,64,7626.596193439173,0.0,1177944064,1177939968,4096
split-83,64,7636.747316400197,0.0,1177948160,1177948160,0
tuple-202,256,7.1120380023107534,0.0,1177948160,1177948160,0
tuple-212,256,7.205459708771354,0.0,1177948160,1177948160,0
split-224,64,7630.030981198143,0.0,1177956352,1177952256,4096
split-236,64,7632.4424490414485,0.0,1177964544,1177960448,4096
concatenate-37,128,7884.729513489678,0.0,1177968640,1177968640,0
concatenate-48,256,8120.131537990379,0.0,1178804224,1178796032,8192
concatenate-58,256,7881.875922356559,0.0,1178906624,1178906624,0
tuple-69,256,7.044026605963859,0.0,1178910720,1178910720,0
