a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
split-79,4928,6026.6965896720885,0.0,1181315072,1180778496,536576
strided_slice-83,1408,5913.907511840383,0.0,1181442048,1181437952,4096
split-92,0,6346.6284365070405,0.0,1181454336,1181454336,0
split-102,0,6014.8218141772995,0.0,1181454336,1181454336,0
split-114,0,30.063675024410454,0.0,1181585408,1181585408,0
strided_slice-135,1408,5864.3338413919255,0.0,1181585408,1181585408,0
strided_slice-351,1408,5878.462328293957,0.0,1181589504,1181585408,4096
split-360,0,6021.98860785326,0.0,1181593600,1181589504,4096
split-370,0,6000.38841238369,0.0,1181597696,1181593600,4096
split-382,0,29.123746743905297,0.0,1181597696,1181597696,0
strided_slice-403,1408,5907.292159203401,0.0,1181597696,1181597696,0
strided_slice-619,1408,5910.029964174546,0.0,1181605888,1181601792,4096
split-628,0,6069.71344689403,0.0,1181605888,1181605888,0
split-638,0,6046.107584678091,0.0,1181605888,1181605888,0
split-650,0,29.13941181426766,0.0,1181609984,1181609984,0
strided_slice-671,1408,5861.106231380878,0.0,1181614080,1181609984,4096
strided_slice-887,1408,5841.695046638415,0.0,1181622272,1181622272,0
split-896,0,5978.795409193562,0.0,1181622272,1181622272,0
split-906,0,5954.651417805548,0.0,1181622272,1181622272,0
split-918,0,31.008560011647777,0.0,1181622272,1181622272,0
strided_slice-939,1408,5813.9568308129765,0.0,1181622272,1181622272,0
squeeze-77,64,6.796993610401559,0.0,1181622272,1181622272,0
squeeze-150,64,6.94677911656206,0.0,1181622272,1181622272,0
squeeze-173,64,6.970596883311816,0.0,1181622272,1181622272,0
squeeze-196,64,7.065514997498528,0.0,1181659136,1181622272,36864
squeeze-219,64,6.902962492461178,0.0,1181659136,1181659136,0
squeeze-242,64,6.922776731908168,0.0,1181659136,1181659136,0
squeeze-265,64,7.1782709514010135,0.0,1181659136,1181659136,0
squeeze-288,64,7.017885896417052,0.0,1181659136,1181659136,0
squeeze-311,64,7.09264387563492,0.0,1181663232,1181663232,0
squeeze-334,64,6.9802440866819735,0.0,1181663232,1181663232,0
split-82,64,5868.093235658576,0.0,1181667328,1181667328,0
squeeze-90,64,7.013299099857307,0.0,1181667328,1181667328,0
squeeze-100,64,7.094225651683958,0.0,1181667328,1181667328,0
split-112,64,37.90475192828332,0.0,1181679616,1181675520,4096
split-134,64,5869.3491566378125,0.0,1181683712,1181679616,4096
split-350,64,5834.558907593416,0.0,1181683712,1181683712,0
squeeze-358,64,6.916786270599287,0.0,1181687808,1181683712,4096
squeeze-368,64,7.058605119297063,0.0,1181691904,1181687808,4096
split-380,64,39.23464971572409,0.0,1181700096,1181691904,8192
split-402,64,5894.536496905455,0.0,1181700096,1181700096,0
split-618,64,5858.736935212574,0.0,1181700096,1181700096,0
squeeze-626,64,6.957017706953578,0.0,1181700096,1181700096,0
squeeze-636,64,7.0349546596635015,0.0,1181700096,1181700096,0
split-648,64,35.04916391297985,0.0,1181708288,1181704192,4096
split-670,64,5858.218744883401,0.0,1181708288,1181708288,0
split-886,64,5870.981174485172,0.0,1181716480,1181712384,4096
squeeze-894,64,7.021076816514697,0.0,1181716480,1181716480,0
squeeze-904,64,7.085704763903218,0.0,1181720576,1181716480,4096
split-916,64,39.199319133822286,0.0,1181724672,1181724672,0
split-938,64,5849.468271232428,0.0,1181724672,1181724672,0
squeeze-80,64,6.872387135482645,0.0,1181724672,1181724672,0
split-89,64,6793.639284454934,0.0,1181724672,1181724672,0
split-99,64,6388.013678854574,0.0,1181724672,1181724672,0
squeeze-110,64,6.817943238602696,0.0,1181790208,1181790208,0
squeeze-122,64,6.818485416902466,0.0,1181790208,1181790208,0
squeeze-132,64,6.713691394257853,0.0,1181790208,1181790208,0
squeeze-348,64,6.876939599377349,0.0,1181790208,1181790208,0
split-357,64,6285.75027581365,0.0,1181790208,1181790208,0
split-367,64,6332.908203759155,0.0,1181790208,1181790208,0
squeeze-378,64,7.178824005190245,0.0,1181790208,1181790208,0
squeeze-390,64,7.258526940976241,0.0,1181790208,1181790208,0
squeeze-400,64,7.1712583815012945,0.0,1181790208,1181790208,0
squeeze-616,64,7.220450594384301,0.0,1181790208,1181790208,0
split-625,64,6325.269478445088,0.0,1181798400,1181794304,4096
split-635,64,6301.504628209523,0.0,1181798400,1181798400,0
squeeze-646,64,7.080400785354845,0.0,1181802496,1181798400,4096
squeeze-658,64,6.99868209627541,0.0,1181806592,1181802496,4096
squeeze-668,64,7.138822106465611,0.0,1181806592,1181806592,0
squeeze-884,64,6.835833022296649,0.0,1181806592,1181806592,0
split-893,64,6364.640579459664,0.0,1181806592,1181806592,0
split-903,64,6293.807479051802,0.0,1181806592,1181806592,0
squeeze-914,64,7.249643621000137,0.0,1181806592,1181806592,0
squeeze-926,64,7.192221130236152,0.0,1181810688,1181806592,4096
squeeze-936,64,7.036265605547726,0.0,1181810688,1181810688,0
tuple-76,128,5.419749436179012,0.0,1181810688,1181810688,0
tuple-87,256,7.27200824032646,0.0,1181810688,1181810688,0
tuple-97,256,7.373150191317151,0.0,1181810688,1181810688,0
split-109,64,5800.8089070861615,0.0,1181818880,1181818880,0
split-121,64,5873.0281558064025,0.0,1181822976,1181822976,0
tuple-355,256,7.1280058212374025,0.0,1181822976,1181822976,0
tuple-365,256,7.214098331409466,0.0,1181822976,1181822976,0
split-377,64,6946.038048225849,0.0,1181827072,1181822976,4096
split-389,64,7041.317117066448,0.0,1181831168,1181831168,0
tuple-623,256,7.177738221023281,0.0,1181835264,1181835264,0
tuple-633,256,7.241050933197278,0.0,1181835264,1181835264,0
split-645,64,7018.868577736443,0.0,1181839360,1181835264,4096
split-657,64,6855.323732229275,0.0,1181843456,1181839360,4096
tuple-891,256,7.161587295995991,0.0,1181843456,1181843456,0
tuple-901,256,7.084498709312185,0.0,1181843456,1181843456,0
split-913,64,6852.451452986772,0.0,1181855744,1181847552,8192
split-925,64,6849.676578656213,0.0,1181855744,1181855744,0
concatenate-75,128,7063.749610192586,0.0,1181855744,1181855744,0
concatenate-86,256,7435.285681515805,0.0,1181982720,1181982720,0
concatenate-96,256,6947.78159411785,0.0,1181990912,1181990912,0
tuple-107,256,6.980487451719469,0.0,1181990912,1181990912,0
tuple-119,256,7.176797376869954,0.0,1181990912,1181990912,0
concatenate-354,256,6007.271922584658,0.0,1181995008,1181990912,4096
concatenate-364,256,5956.616558103851,0.0,1181999104,1181995008,4096
tuple-375,256,6.944785017122476,0.0,1181999104,1181999104,0
tuple-387,256,6.919920994541072,0.0,1181999104,1181999104,0
concatenate-622,256,5948.064836233442,0.0,1182003200,1181999104,4096
concatenate-632,256,6007.9708634087165,0.0,1182007296,1182007296,0
tuple-643,256,7.170881231937904,0.0,1182007296,1182007296,0
tuple-655,256,6.98259136119534,0.0,1182007296,1182007296,0
concatenate-890,256,5963.271827623344,0.0,1182007296,1182007296,0
concatenate-900,256,6021.380716888248,0.0,1182007296,1182007296,0
tuple-911,256,7.022355667521941,0.0,1182007296,1182007296,0
tuple-923,256,7.048898442831694,0.0,1182007296,1182007296,0
tuple-85,128,5.372247160813762,0.0,1182007296,1182007296,0
tuple-153,128,5.389703792292398,0.0,1182007296,1182007296,0
tuple-176,128,5.296277578626242,0.0,1182007296,1182007296,0
tuple-199,128,5.435636376927837,0.0,1182007296,1182007296,0
tuple-222,128,5.4498752659901575,0.0,1182007296,1182007296,0
tuple-245,128,5.417412714949301,0.0,1182007296,1182007296,0
tuple-268,128,5.321302248791966,0.0,1182007296,1182007296,0
tuple-291,128,5.2381578182840745,0.0,1182007296,1182007296,0
tuple-314,128,5.3174655030749856,0.0,1182007296,1182007296,0
tuple-337,128,5.368019772689551,0.0,1182007296,1182007296,0
concatenate-106,256,6253.906264013236,0.0,1182015488,1182011392,4096
concatenate-118,256,6213.264556836248,0.0,1182015488,1182015488,0
tuple-353,128,5.143682929829509,0.0,1182015488,1182015488,0
tuple-421,128,5.23963512055107,0.0,1182015488,1182015488,0
tuple-444,128,5.3889765076746325,0.0,1182015488,1182015488,0
tuple-467,128,5.1606451728803595,0.0,1182015488,1182015488,0
tuple-490,128,5.372629586091715,0.0,1182015488,1182015488,0
tuple-513,128,5.378149391871275,0.0,1182015488,1182015488,0
tuple-536,128,5.245276203733173,0.0,1182015488,1182015488,0
tuple-559,128,5.33942640500407,0.0,1182015488,1182015488,0
tuple-582,128,5.925657525328748,0.0,1182015488,1182015488,0
tuple-605,128,5.400060398746655,0.0,1182015488,1182015488,0
concatenate-374,256,6203.450414350933,0.0,1182044160,1182031872,12288
concatenate-386,256,6248.886466904854,0.0,1182044160,1182044160,0
tuple-621,128,5.216543065468671,0.0,1182044160,1182044160,0
tuple-689,128,5.302615405597682,0.0,1182044160,1182044160,0
tuple-712,128,5.293955636180425,0.0,1182044160,1182044160,0
tuple-735,128,5.257367242174832,0.0,1182044160,1182044160,0
tuple-758,128,5.431406866724481,0.0,1182044160,1182044160,0
