a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
split-41,4936,8835.945417706504,0.0,393129984,392585216,544768
strided_slice-45,776,8293.203921935405,0.0,393326592,393318400,8192
split-54,0,9017.247732007258,0.0,393330688,393330688,0
split-64,0,7790.135500090323,0.0,393330688,393330688,0
split-76,0,31.875155726072055,0.0,393531392,393527296,4096
strided_slice-97,776,7508.311295459165,0.0,393531392,393531392,0
strided_slice-773,776,7547.178268299362,0.0,393535488,393531392,4096
split-782,0,7745.850175557472,0.0,393547776,393539584,8192
split-792,0,7739.7288083221765,0.0,393547776,393547776,0
split-804,0,29.59425850729592,0.0,393547776,393547776,0
strided_slice-825,776,7543.628062360803,0.0,393547776,393547776,0
squeeze-39,64,6.364846041505127,0.0,393551872,393551872,0
squeeze-112,64,6.410066280159849,0.0,393551872,393551872,0
squeeze-135,64,6.390638896459539,0.0,393560064,393555968,4096
squeeze-158,64,6.413117635458959,0.0,393560064,393560064,0
squeeze-181,64,6.418912915075009,0.0,393564160,393564160,0
squeeze-204,64,6.388635644251107,0.0,393568256,393564160,4096
squeeze-227,64,6.379264588331028,0.0,393568256,393568256,0
squeeze-250,64,6.4071321087298845,0.0,393572352,393568256,4096
squeeze-273,64,6.395777907628764,0.0,393572352,393572352,0
squeeze-296,64,6.400909386211868,0.0,393576448,393572352,4096
squeeze-319,64,6.402325563091312,0.0,393580544,393576448,4096
squeeze-342,64,6.401037370982864,0.0,393580544,393580544,0
squeeze-365,64,6.381887532740423,0.0,393580544,393580544,0
squeeze-388,64,6.375814385218192,0.0,393580544,393580544,0
squeeze-411,64,6.376915897386161,0.0,393580544,393580544,0
squeeze-434,64,6.36514090432718,0.0,393580544,393580544,0
squeeze-457,64,6.396967948441168,0.0,393580544,393580544,0
squeeze-480,64,6.358409896819964,0.0,393580544,393580544,0
squeeze-503,64,6.343076598092359,0.0,393580544,393580544,0
squeeze-526,64,6.409904343421259,0.0,393580544,393580544,0
squeeze-549,64,6.363865647300853,0.0,393584640,393580544,4096
squeeze-572,64,6.383713472220978,0.0,393584640,393584640,0
squeeze-595,64,6.393263706427301,0.0,393584640,393584640,0
squeeze-618,64,6.3948311379083025,0.0,393584640,393584640,0
squeeze-641,64,6.344236833052013,0.0,393584640,393584640,0
squeeze-664,64,6.3929188387925535,0.0,393584640,393584640,0
squeeze-687,64,6.438928264074766,0.0,393584640,393584640,0
squeeze-710,64,7.5313861029198845,0.0,393588736,393588736,0
squeeze-733,64,6.389455347735585,0.0,393588736,393588736,0
squeeze-756,64,6.382799349759656,0.0,393588736,393588736,0
split-44,64,7513.355811208764,0.0,393588736,393588736,0
squeeze-52,64,6.400645499346706,0.0,393592832,393592832,0
squeeze-62,64,6.371726328009433,0.0,393592832,393592832,0
split-74,64,33.945954802988865,0.0,393596928,393592832,4096
split-96,64,7514.715745892094,0.0,393596928,393596928,0
split-772,64,7492.198911132216,0.0,393596928,393596928,0
squeeze-780,64,6.371528282316939,0.0,393601024,393596928,4096
squeeze-790,64,6.386209675082207,0.0,393605120,393605120,0
split-802,64,36.28694297912441,0.0,393609216,393609216,0
split-824,64,7523.518054029477,0.0,393609216,393609216,0
squeeze-42,64,6.403158054328135,0.0,393609216,393609216,0
split-51,64,8469.670037805676,0.0,393617408,393613312,4096
split-61,64,8589.02791873977,0.0,393617408,393617408,0
squeeze-72,64,6.3822896294975004,0.0,393617408,393617408,0
squeeze-84,64,7.584056385016411,0.0,393617408,393617408,0
squeeze-94,64,6.356752323380786,0.0,393617408,393617408,0
squeeze-770,64,6.379743046824819,0.0,393621504,393617408,4096
split-779,64,8563.141241738918,0.0,393625600,393621504,4096
split-789,64,8620.724948179815,0.0,393629696,393625600,4096
squeeze-800,64,6.4057612699419675,0.0,393633792,393633792,0
squeeze-812,64,6.362544749044073,0.0,393633792,393633792,0
squeeze-822,64,6.396391524997497,0.0,393637888,393637888,0
tuple-38,128,6.077412285568829,0.0,393641984,393641984,0
tuple-49,256,7.834720425518503,0.0,393641984,393641984,0
tuple-59,256,7.833344795744198,0.0,393641984,393641984,0
split-71,64,7305.1226274460405,0.0,393641984,393641984,0
split-83,64,7292.710979996276,0.0,393641984,393641984,0
tuple-777,256,7.839458289400733,0.0,393646080,393646080,0
tuple-787,256,7.835942285414689,0.0,393646080,393646080,0
split-799,64,7387.1467519353755,0.0,393658368,393646080,12288
split-811,64,7483.100267861491,0.0,393662464,393658368,4096
concatenate-37,128,7518.154914337242,0.0,393662464,393662464,0
concatenate-48,256,8453.43353406309,0.0,393728000,393728000,0
concatenate-58,256,7679.794427280846,0.0,393728000,393728000,0
tuple-69,256,7.847657366424779,0.0,393728000,393728000,0
tuple-81,256,7.838431253092756,0.0,393728000,393728000,0
concatenate-776,256,7688.051886329268,0.0,393728000,393728000,0
concatenate-786,256,7674.592564730082,0.0,393728000,393728000,0
tuple-797,256,7.833686523629932,0.0,393728000,393728000,0
tuple-809,256,7.833595528660874,0.0,393728000,393728000,0
tuple-47,128,6.104495690320557,0.0,393728000,393728000,0
tuple-115,128,6.15256292728074,0.0,393728000,393728000,0
tuple-138,128,6.106672049356577,0.0,393728000,393728000,0
tuple-161,128,6.075605818799729,0.0,393728000,393728000,0
tuple-184,128,6.120158112838182,0.0,393728000,393728000,0
tuple-207,128,6.120099267052607,0.0,393728000,393728000,0
tuple-230,128,6.120023977268746,0.0,393728000,393728000,0
tuple-253,128,6.095927175030517,0.0,393728000,393728000,0
tuple-276,128,5.953612511729577,0.0,393728000,393728000,0
tuple-299,128,6.131770654494606,0.0,393728000,393728000,0
tuple-322,128,6.119747868083323,0.0,393728000,393728000,0
tuple-345,128,6.199426998922002,0.0,393728000,393728000,0
tuple-368,128,6.568846525986988,0.0,393728000,393728000,0
tuple-391,128,6.126422065999019,0.0,393728000,393728000,0
tuple-414,128,6.162602672803772,0.0,393728000,393728000,0
tuple-437,128,6.10484808101352,0.0,393728000,393728000,0
tuple-460,128,6.099638130990137,0.0,393728000,393728000,0
tuple-483,128,6.089494548238369,0.0,393728000,393728000,0
tuple-506,128,6.1336214458961065,0.0,393728000,393728000,0
tuple-529,128,6.092312663141611,0.0,393728000,393728000,0
tuple-552,128,6.113641674203866,0.0,393728000,393728000,0
tuple-575,128,6.150452487737118,0.0,393728000,393728000,0
tuple-598,128,6.1350970155325095,0.0,393728000,393728000,0
tuple-621,128,6.086158755398022,0.0,393728000,393728000,0
tuple-644,128,6.106251314266915,0.0,393728000,393728000,0
tuple-667,128,5.954978897525967,0.0,393728000,393728000,0
tuple-690,128,6.117541980335743,0.0,393728000,393728000,0
tuple-713,128,6.104608744265275,0.0,393728000,393728000,0
tuple-736,128,6.12189778217787,0.0,393728000,393728000,0
tuple-759,128,6.119601262506665,0.0,393728000,393728000,0
concatenate-68,256,8261.896669006943,0.0,393777152,393777152,0
concatenate-80,256,8236.265310950757,0.0,393777152,393777152,0
tuple-775,128,6.087131701479715,0.0,393777152,393777152,0
tuple-843,128,6.1191586329678795,0.0,393777152,393777152,0
tuple-866,128,6.08677437287626,0.0,393777152,393777152,0
tuple-889,128,6.108061618723043,0.0,393777152,393777152,0
tuple-912,128,6.139975694392855,0.0,393777152,393777152,0
tuple-935,128,6.129047146181787,0.0,393777152,393777152,0
tuple-958,128,6.118171162582435,0.0,393777152,393777152,0
tuple-981,128,6.085579291197454,0.0,393777152,393777152,0
tuple-1004,128,6.118884650901558,0.0,393777152,393777152,0
tuple-1027,128,6.138613726369143,0.0,393777152,393777152,0
tuple-1050,128,6.06592115363929,0.0,393777152,393777152,0
tuple-1073,128,6.318733937245218,0.0,393777152,393777152,0
tuple-1096,128,6.19129094835607,0.0,393777152,393777152,0
tuple-1119,128,6.106342557742334,0.0,393777152,393777152,0
tuple-1142,128,6.084367323648667,0.0,393777152,393777152,0
tuple-1165,128,6.135847291021071,0.0,393777152,393777152,0
tuple-1188,128,6.2020445565433455,0.0,393777152,393777152,0
tuple-1211,128,6.11479192701856,0.0,393777152,393777152,0
tuple-1234,128,6.094518355732661,0.0,393777152,393777152,0
tuple-1257,128,6.103353196347975,0.0,393777152,393777152,0
tuple-1280,128,6.122079695103202,0.0,393777152,393777152,0
tuple-1303,128,6.099406914241333,0.0,393777152,393777152,0
tuple-1326,128,6.082331117845842,0.0,393777152,393777152,0
tuple-1349,128,6.113290048759353,0.0,393777152,393777152,0
tuple-1372,128,6.129841125814844,0.0,393777152,393777152,0
tuple-1395,128,6.125737044978522,0.0,393777152,393777152,0
tuple-1418,128,6.089233289261063,0.0,393793536,393777152,16384
tuple-1441,128,6.134277064303945,0.0,393793536,393793536,0
tuple-1464,128,6.111851160620996,0.0,393793536,393793536,0
tuple-1487,128,6.123016187108258,0.0,393793536,393793536,0
concatenate-796,256,8235.356887012455,0.0,393826304,393822208,4096
concatenate-808,256,8217.976725742672,0.0,393826304,393826304,0
concatenate-46,128,8533.286004169562,0.0,393830400,393826304,4096
concatenate-114,128,8539.052732451635,0.0,393834496,393834496,0
concatenate-137,128,8588.361962450654,0.0,393842688,393838592,4096
concatenate-160,128,8591.044010056214,0.0,393842688,393842688,0
concatenate-183,128,8634.15220946446,0.0,393846784,393846784,0
concatenate-206,128,8570.452548889021,0.0,393850880,393850880,0
concatenate-229,128,8578.615928241368,0.0,393850880,393850880,0
concatenate-252,128,8561.84552500085,0.0,393854976,393854976,0
concatenate-275,128,8529.258823344047,0.0,393863168,393863168,0
concatenate-298,128,8625.086048872125,0.0,393863168,393863168,0
concatenate-321,128,8573.43380814247,0.0,393863168,393863168,0
concatenate-344,128,8585.548966771934,0.0,393863168,393863168,0
concatenate-367,128,8592.215933454396,0.0,393871360,393871360,0
concatenate-390,128,8593.04567083806,0.0,393875456,393875456,0
concatenate-413,128,8607.826178684183,0.0,393875456,393875456,0
concatenate-436,128,8631.596768625282,0.0,393883648,393875456,8192
concatenate-459,128,8614.820206805449,0.0,393887744,393883648,4096
concatenate-482,128,8594.523817263083,0.0,393891840,393887744,4096
concatenate-505,128,8602.58395261174,0.0,393891840,393891840,0
concatenate-528,128,8553.497162243571,0.0,393891840,393891840,0
concatenate-551,128,8480.166492269584,0.0,393895936,393895936,0
concatenate-574,128,8596.380740158167,0.0,393895936,393895936,0
concatenate-597,128,8537.363093553302,0.0,393900032,393900032,0
concatenate-620,128,8589.78960373932,0.0,393900032,393900032,0
concatenate-643,128,8629.31178236514,0.0,393904128,393900032,4096
concatenate-666,128,8532.100376937038,0.0,393904128,393904128,0
concatenate-689,128,8506.73797007683,0.0,393908224,393904128,4096
concatenate-712,128,8554.016682310777,0.0,393908224,393908224,0
concatenate-735,128,8599.817195972115,0.0,393916416,393908224,8192
concatenate-758,128,8561.422902530281,0.0,393916416,393916416,0
concatenate-774,128,8288.418761894629,0.0,393916416,393916416,0
concatenate-842,128,8318.032702933902,0.0,393924608,393924608,0
concatenate-865,128,8290.704708891712,0.0,393928704,393928704,0
concatenate-888,128,8328.404207713782,0.0,393928704,393928704,0
concatenate-911,128,8337.802281871136,0.0,393928704,393928704,0
concatenate-934,128,8317.66288698247,0.0,393928704,393928704,0
concatenate-957,128,8300.318022400725,0.0,393928704,393928704,0
concatenate-980,128,8308.880258238822,0.0,393928704,393928704,0
concatenate-1003,128,8312.878373553129,0.0,393928704,393928704,0
concatenate-1026,128,8281.890021603316,0.0,393928704,393928704,0
concatenate-1049,128,8322.411247016707,0.0,393928704,393928704,0
concatenate-1072,128,8177.889286951122,0.0,393928704,393928704,0
concatenate-1095,128,8314.680447343382,0.0,393928704,393928704,0
concatenate-1118,128,8340.924300435614,0.0,393928704,393928704,0
concatenate-1141,128,8339.068117901146,0.0,393928704,393928704,0
concatenate-1164,128,8328.456821810869,0.0,393928704,393928704,0
concatenate-1187,128,8334.735446073812,0.0,393928704,393928704,0
concatenate-1210,128,8308.339764412509,0.0,393928704,393928704,0
concatenate-1233,128,8300.254444598106,0.0,393928704,393928704,0
concatenate-1256,128,8341.298836869484,0.0,393928704,393928704,0
