a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
nn.conv2d-107,602264,1078692.0411764705,0.0,493293568,493170688,122880
multiply-114,0,8343.805755511798,0.0,493727744,493727744,0
nn.bias_add-106,64,14388.151231994481,0.0,500744192,497524736,3219456
nn.relu-105,64,14177.12336737117,0.0,503992320,500776960,3215360
nn.max_pool2d-104,64,57684.16538385632,0.0,504029184,504029184,0
nn.conv2d-103,64,829176.4790356394,0.0,504033280,504029184,4096
nn.bias_add-102,64,12141.672847518388,0.0,504045568,504045568,0
nn.relu-101,64,12145.485874659604,0.0,504045568,504045568,0
nn.conv2d-100,64,826212.6066945605,0.0,504045568,504045568,0
nn.bias_add-99,64,12263.723194306314,0.0,504049664,504049664,0
add-98,128,12663.673197693048,0.0,504049664,504049664,0
nn.relu-97,64,12246.168984139795,0.0,504049664,504049664,0
nn.conv2d-96,64,912253.497706422,0.0,504856576,504049664,806912
nn.bias_add-95,64,12228.044341301153,0.0,505671680,504868864,802816
nn.relu-94,64,12141.377160064862,0.0,506474496,505671680,802816
nn.conv2d-93,64,828589.6809623431,0.0,507277312,506474496,802816
nn.bias_add-92,64,12278.123716145876,0.0,508084224,507281408,802816
add-91,128,12787.349406301719,0.0,509689856,508887040,802816
nn.relu-90,64,12207.931004349854,0.0,509693952,509689856,4096
nn.conv2d-89,64,648691.9736191261,0.0,512991232,512598016,393216
nn.conv2d-109,64,117161.6246514222,0.0,513363968,513359872,4096
nn.bias_add-88,64,9827.256339674579,0.0,513376256,513376256,0
nn.bias_add-108,64,9855.154004184897,0.0,513376256,513376256,0
nn.relu-87,64,9572.63704378603,0.0,513376256,513376256,0
nn.conv2d-86,64,780211.1666666666,0.0,528711680,527319040,1392640
nn.bias_add-85,64,10085.347279207337,0.0,529403904,529403904,0
add-84,128,9597.231882090087,0.0,529403904,529403904,0
nn.relu-83,64,9373.83955817416,0.0,529403904,529403904,0
nn.conv2d-82,64,865055.91913215,0.0,530427904,530001920,425984
nn.bias_add-81,64,9656.885505040897,0.0,512438272,512434176,4096
nn.relu-80,64,9348.03104413119,0.0,513052672,512651264,401408
nn.conv2d-79,64,779722.3898809523,0.0,531148800,529776640,1372160
nn.bias_add-78,64,9603.670074752834,0.0,531947520,531947520,0
add-77,128,9567.447471532902,0.0,531947520,531947520,0
nn.relu-76,64,9219.345225632267,0.0,531947520,531947520,0
nn.conv2d-75,64,623418.0109717868,0.0,531947520,531947520,0
nn.conv2d-111,64,104145.77410433692,0.0,531947520,531947520,0
nn.bias_add-74,64,9624.668492655133,0.0,531947520,531947520,0
nn.bias_add-110,64,9586.3196634555,0.0,531947520,531947520,0
nn.relu-73,64,9587.416007139951,0.0,531947520,531947520,0
nn.conv2d-72,64,947156.7153110048,0.0,531947520,531947520,0
nn.bias_add-71,64,9644.80801366024,0.0,532426752,532426752,0
add-70,128,9903.524400223974,0.0,532430848,532426752,4096
nn.relu-69,64,9714.710193482413,0.0,532430848,532430848,0
nn.conv2d-68,64,841129.812200957,0.0,532430848,532430848,0
nn.bias_add-67,64,9716.06060331669,0.0,533413888,533413888,0
nn.relu-66,64,9742.331856537383,0.0,533413888,533413888,0
nn.conv2d-65,64,866148.2189655174,0.0,533413888,533413888,0
nn.bias_add-64,64,9702.38963334378,0.0,534126592,534126592,0
add-63,128,9866.148076748908,0.0,534126592,534126592,0
nn.relu-62,64,9568.671977831658,0.0,534126592,534126592,0
nn.conv2d-61,64,1103980.4500978475,0.0,534126592,534126592,0
nn.conv2d-113,64,133035.43176064442,0.0,534130688,534130688,0
nn.bias_add-60,64,9378.85429579942,0.0,534134784,534134784,0
nn.bias_add-112,64,9412.62074020764,0.0,534134784,534134784,0
nn.relu-59,64,9385.808556586004,0.0,534134784,534134784,0
nn.conv2d-58,64,1327139.5999999999,0.0,551550976,543076352,8474624
nn.bias_add-57,64,9329.479293807091,0.0,560979968,560979968,0
add-56,128,9393.578430750085,0.0,560979968,560979968,0
nn.relu-55,64,9371.288485644363,0.0,560979968,560979968,0
nn.conv2d-54,64,1758935.9115646258,0.0,553140224,553029632,110592
nn.bias_add-53,64,17021.361138847657,0.0,552787968,552787968,0
nn.relu-52,64,16898.000143492613,0.0,552792064,552787968,4096
nn.conv2d-51,64,1331224.5356550578,0.0,553472000,553263104,208896
nn.bias_add-50,64,17027.599335946004,0.0,552796160,552796160,0
add-49,128,9448.473079386611,0.0,552796160,552796160,0
nn.relu-48,64,9345.81900731319,0.0,552800256,552800256,0
nn.global_avg_pool2d-47,64,34633.932395177544,0.0,552800256,552800256,0
nn.batch_flatten-46,64,46.90908033452631,0.0,552804352,552800256,4096
nn.batch_flatten-45,64,45.94299312123833,0.0,552804352,552804352,0
nn.dense-44,64,365918.24165421026,0.0,552914944,552890368,24576
add-43,128,316.6081884832236,0.0,552914944,552914944,0
