a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
nn.conv2d-107,602264,239576.69103985614,0.0,247595008,0,247595008
multiply-114,0,4531.604389349187,0.0,247595008,247595008,0
nn.bias_add-106,64,40154.060146786804,0.0,247595008,247595008,0
nn.relu-105,64,38641.904963276196,0.0,247595008,247595008,0
nn.max_pool2d-104,64,30709.884395198525,0.0,247595008,247595008,0
nn.conv2d-103,64,138827.09900814734,0.0,252313600,247595008,4718592
nn.bias_add-102,64,13725.642561185885,0.0,252313600,252313600,0
nn.relu-101,64,12453.814440763166,0.0,252313600,252313600,0
nn.conv2d-100,64,138664.8458325767,0.0,252313600,252313600,0
nn.bias_add-99,64,13737.64233516709,0.0,252313600,252313600,0
add-98,128,19641.812344159836,0.0,252313600,252313600,0
nn.relu-97,64,12379.415412219787,0.0,252313600,252313600,0
nn.conv2d-96,64,138902.83775185575,0.0,252313600,252313600,0
nn.bias_add-95,64,13735.59883158127,0.0,252313600,252313600,0
nn.relu-94,64,12364.711733748423,0.0,252313600,252313600,0
nn.conv2d-93,64,138706.00733715104,0.0,252313600,252313600,0
nn.bias_add-92,64,13732.74648038689,0.0,252313600,252313600,0
add-91,128,19647.154439244467,0.0,252313600,252313600,0
nn.relu-90,64,12363.192913580246,0.0,252313600,252313600,0
nn.conv2d-89,64,186023.68852849992,0.0,252313600,252313600,0
nn.conv2d-109,64,32229.772755625927,0.0,252313600,252313600,0
nn.bias_add-88,64,8677.673075891948,0.0,252313600,252313600,0
nn.bias_add-108,64,8661.996359859962,0.0,252313600,252313600,0
nn.relu-87,64,7639.017753645294,0.0,252313600,252313600,0
nn.conv2d-86,64,167440.1418051757,0.0,252968960,252313600,655360
nn.bias_add-85,64,8673.03346722532,0.0,252968960,252968960,0
add-84,128,8404.258187682064,0.0,252968960,252968960,0
nn.relu-83,64,7636.668280985962,0.0,252968960,252968960,0
nn.conv2d-82,64,167435.62840008567,0.0,252968960,252968960,0
nn.bias_add-81,64,8672.412112183209,0.0,252968960,252968960,0
nn.relu-80,64,7634.160047566915,0.0,252968960,252968960,0
nn.conv2d-79,64,167523.55304982816,0.0,252968960,252968960,0
nn.bias_add-78,64,7797.557074017262,0.0,252968960,252968960,0
add-77,128,8421.610537103305,0.0,252968960,252968960,0
nn.relu-76,64,6761.705527537154,0.0,252968960,252968960,0
nn.conv2d-75,64,268350.36479066574,0.0,252968960,252968960,0
nn.conv2d-111,64,41037.59179744472,0.0,252968960,252968960,0
nn.bias_add-74,64,6650.740437922583,0.0,252968960,252968960,0
nn.bias_add-110,64,6685.014085824635,0.0,252968960,252968960,0
nn.relu-73,64,5216.898627508238,0.0,252968960,252968960,0
nn.conv2d-72,64,250570.73735777495,0.0,255328256,252968960,2359296
nn.bias_add-71,64,6654.661218437204,0.0,255328256,255328256,0
add-70,128,6485.727793672786,0.0,255328256,255328256,0
nn.relu-69,64,6029.530368173588,0.0,255328256,255328256,0
nn.conv2d-68,64,250396.1189336979,0.0,255328256,255328256,0
nn.bias_add-67,64,6684.958510550269,0.0,255328256,255328256,0
nn.relu-66,64,5933.932210596846,0.0,255328256,255328256,0
nn.conv2d-65,64,250587.3943751997,0.0,255328256,255328256,0
nn.bias_add-64,64,6506.082273286829,0.0,255328256,255328256,0
add-63,128,6568.515619060104,0.0,255328256,255328256,0
nn.relu-62,64,5183.414183823683,0.0,255328256,255328256,0
nn.conv2d-61,64,398064.16319444444,0.0,255328256,255328256,0
nn.conv2d-113,64,62681.11093276262,0.0,255328256,255328256,0
nn.bias_add-60,64,4719.486537672236,0.0,255328256,255328256,0
nn.bias_add-112,64,4723.669104065392,0.0,255328256,255328256,0
nn.relu-59,64,4476.324987137712,0.0,255328256,255328256,0
nn.conv2d-58,64,395356.6246319922,0.0,267911168,255328256,12582912
nn.bias_add-57,64,5336.55256930024,0.0,267911168,267911168,0
add-56,128,4726.994804037134,0.0,267911168,267911168,0
nn.relu-55,64,5175.641059653574,0.0,267911168,267911168,0
nn.conv2d-54,64,395625.3173267326,0.0,267911168,267911168,0
nn.bias_add-53,64,4753.662070841143,0.0,267911168,267911168,0
nn.relu-52,64,4952.431637170129,0.0,267911168,267911168,0
nn.conv2d-51,64,395722.57419683837,0.0,267911168,267911168,0
nn.bias_add-50,64,4757.401804871148,0.0,267911168,267911168,0
add-49,128,4619.947464375243,0.0,267911168,267911168,0
nn.relu-48,64,4474.778517554399,0.0,267911168,267911168,0
nn.global_avg_pool2d-47,64,6660.199148003493,0.0,267911168,267911168,0
nn.batch_flatten-46,64,4012.4009512904076,0.0,267911168,267911168,0
nn.batch_flatten-45,64,3990.829985555476,0.0,267911168,267911168,0
nn.dense-44,64,19122.944194074218,0.0,267911168,267911168,0
add-43,128,4877.728722938031,0.0,267911168,267911168,0
