a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
nn.conv2d-64,602264,149956.5783320343,0.0,247595008,0,247595008
multiply-65,0,4816.734666371146,0.0,247595008,247595008,0
multiply-66,0,4966.581856825043,0.0,247595008,247595008,0
multiply-67,0,4845.847957275339,0.0,247595008,247595008,0
nn.bias_add-63,64,148054.9780007719,0.0,247595008,247595008,0
nn.relu-62,64,144321.19031531535,0.0,247595008,247595008,0
nn.max_pool2d-61,64,99006.78385790781,0.0,247595008,247595008,0
nn.conv2d-60,64,626154.0539483972,0.0,270663680,247595008,23068672
nn.bias_add-59,64,72096.26616007106,0.0,270663680,270663680,0
nn.relu-58,64,71251.04051091411,0.0,270663680,270663680,0
nn.max_pool2d-57,64,53260.97198673055,0.0,270663680,270663680,0
nn.conv2d-56,64,613165.3254931713,0.0,276824064,270663680,6160384
nn.bias_add-55,64,40191.432177386676,0.0,276824064,276824064,0
nn.relu-54,64,38609.8821213655,0.0,276824064,276824064,0
nn.conv2d-53,64,1039765.0366013071,0.0,276824064,276824064,0
nn.bias_add-52,64,40189.64342212399,0.0,276824064,276824064,0
nn.relu-51,64,38486.77380412605,0.0,276824064,276824064,0
nn.max_pool2d-50,64,29759.898453230828,0.0,276824064,276824064,0
nn.conv2d-49,64,875147.1541019956,0.0,276824064,276824064,0
nn.bias_add-48,64,25817.01115799724,0.0,276824064,276824064,0
nn.relu-47,64,24227.974987318063,0.0,276824064,276824064,0
nn.conv2d-46,64,1431917.3942857145,0.0,279052288,276824064,2228224
nn.bias_add-45,64,25820.643995922528,0.0,279052288,279052288,0
nn.relu-44,64,24222.76997160617,0.0,279052288,279052288,0
nn.max_pool2d-43,64,18056.98180412869,0.0,279052288,279052288,0
nn.conv2d-42,64,768487.2003872216,0.0,279052288,279052288,0
nn.bias_add-41,64,7998.0310314011895,0.0,279052288,279052288,0
nn.relu-40,64,7642.7901798676585,0.0,279052288,279052288,0
nn.conv2d-39,64,768511.3843137255,0.0,279052288,279052288,0
nn.bias_add-38,64,7814.983127587941,0.0,279052288,279052288,0
nn.relu-37,64,7637.34375,0.0,279052288,279052288,0
nn.max_pool2d-36,64,5654.9406783493505,0.0,279052288,279052288,0
nn.avg_pool2d-35,64,4888.713437831962,0.0,279052288,279052288,0
nn.batch_flatten-34,64,5163.730455833119,0.0,279052288,279052288,0
nn.batch_flatten-33,64,5145.066757380572,0.0,279052288,279052288,0
nn.dense-32,64,2454073.284313726,0.0,279052288,279052288,0
add-31,128,4972.892809937887,0.0,279052288,279052288,0
nn.relu-30,64,4904.144716130735,0.0,279052288,279052288,0
nn.batch_flatten-29,64,4889.332786577652,0.0,279052288,279052288,0
nn.dense-28,64,375925.6991485336,0.0,279052288,279052288,0
add-27,128,4973.735318099557,0.0,279052288,279052288,0
nn.relu-26,64,4914.792191198214,0.0,279052288,279052288,0
nn.batch_flatten-25,64,4932.64400714473,0.0,279052288,279052288,0
nn.dense-24,64,97846.904495842,0.0,279052288,279052288,0
add-23,128,4888.807677197478,0.0,279052288,279052288,0
