op_name,op_time,op_proportion
strided_slice,14604.90060213508,0.992764%
split,282217.72281670995,19.183665%
squeeze,139.85246649139359,0.009506%
tuple,85.06725691592638,0.005782%
concatenate,74223.33250891874,5.045309%
nn.dense,207513.18278101902,14.105646%
add,440078.13561047264,29.914179%
sigmoid,144828.48676589667,9.844673%
multiply,146426.70911552128,9.953312%
tanh,72827.42182334363,4.950422%
subtract,73242.5705765339,4.978642%
expand_dims,25.68283946694558,0.001746%
stack,14922.52211244042,1.014354%
