op_name,op_time,op_proportion
strided_slice,9600.689756461277,0.523068%
split,485400.425261259,26.445735%
squeeze,141.75821641057064,0.007723%
tuple,84.67600676808074,0.004613%
concatenate,43249.964360842925,2.356358%
nn.dense,708674.9659960361,38.610247%
add,294650.6703361202,16.053248%
sigmoid,91385.10500932291,4.978871%
multiply,98668.02653347791,5.375662%
tanh,45385.59139421322,2.472712%
subtract,49348.982561700745,2.688646%
expand_dims,25.598968134287077,0.001395%
stack,8841.796118478143,0.481721%
