op_name,op_time,op_proportion
strided_slice,6852.643672438071,0.412232%
split,516805.96934026043,31.089295%
squeeze,225.10676146401437,0.013542%
tuple,84.53758704445902,0.005085%
concatenate,28645.275890029297,1.723203%
nn.dense,322061.66659777,19.374138%
add,388564.4642822959,23.374721%
sigmoid,129952.64459318503,7.817510%
multiply,132400.10141147315,7.964741%
tanh,65083.01733831702,3.915174%
subtract,64391.94707294702,3.873601%
expand_dims,28.429690382065566,0.001710%
stack,7231.941026361952,0.435049%
