op_name,op_time,op_proportion
strided_slice,12301.301250823788,0.500320%
split,382527.856986142,15.558205%
squeeze,221.68477779855965,0.009016%
tuple,84.69933600771397,0.003445%
concatenate,65461.95485916606,2.662474%
nn.dense,500678.4217890555,20.363634%
add,741610.0470302124,30.162825%
sigmoid,245558.59378354606,9.987379%
multiply,242787.37269213115,9.874668%
tanh,130140.92389593823,5.293102%
subtract,121573.79714734481,4.944660%
expand_dims,28.238986751861013,0.001149%
stack,15714.03511001596,0.639123%
