op_name,op_time,op_proportion
strided_slice,6117.989221702804,0.418524%
split,513069.4575525274,35.098463%
squeeze,224.58207285433292,0.015363%
tuple,84.79784749583833,0.005801%
concatenate,28805.035919450926,1.970518%
nn.dense,129290.81986528826,8.844629%
add,392089.3492461713,26.822360%
sigmoid,127297.46089348554,8.708266%
multiply,128174.82769326649,8.768286%
tanh,65430.76998606231,4.476040%
subtract,64027.74945836602,4.380061%
expand_dims,28.07994190164255,0.001921%
stack,7159.420173314453,0.489767%
