op_name,op_time,op_proportion
strided_slice,13671.613884370225,0.534555%
split,413327.1726618655,16.160935%
squeeze,217.3334805903154,0.008498%
tuple,84.27550070140596,0.003295%
concatenate,69284.20409229943,2.708986%
nn.dense,379998.5352545617,14.857798%
add,833576.7157558555,32.592533%
sigmoid,277999.7846345322,10.869686%
multiply,277768.6297320576,10.860648%
tanh,137133.4999020793,5.361868%
subtract,138590.53716547322,5.418837%
expand_dims,27.98706130241736,0.001094%
stack,15889.338143105851,0.621267%
