a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
nn.dense-34,520,134307.4431158783,0.0,247595008,247595008,0
nn.relu-33,64,5103.901496085895,0.0,247595008,247595008,0
reshape-32,64,6.319237235504548,0.0,247595008,247595008,0
nn.conv2d_transpose-31,64,12169614.30952381,0.0,247595008,247595008,0
nn.batch_norm-30,64,7551.335287363831,0.0,247595008,247595008,0
nn.relu-28,64,5730.11125713961,0.0,247595008,247595008,0
nn.conv2d_transpose-27,64,6384478.772151899,0.0,247595008,247595008,0
nn.batch_norm-26,64,9355.213206717868,0.0,247595008,247595008,0
nn.relu-24,64,6714.504558108612,0.0,247595008,247595008,0
nn.conv2d_transpose-23,64,3340576.1266666665,0.0,247595008,247595008,0
nn.batch_norm-22,64,12344.363457094441,0.0,247595008,247595008,0
nn.relu-20,64,8593.879048206349,0.0,247595008,247595008,0
nn.conv2d_transpose-19,64,3298358.98245614,0.0,247595008,247595008,0
tanh-18,64,5098.004773391144,0.0,247595008,247595008,0
