a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
strided_slice-19,5256,7270.457123784095,0.0,383496192,383066112,430080
strided_slice-39,5256,7334.443478350985,0.0,383614976,383606784,8192
split-48,6536,7528.045830040945,0.0,387158016,387108864,49152
split-55,0,7497.921704259157,0.0,385232896,385232896,0
split-66,0,29.1856712610175,0.0,385232896,385232896,0
split-83,0,8501.397177385279,0.0,385232896,385232896,0
split-201,0,8521.031664381686,0.0,385236992,385236992,0
split-212,0,31.77209841620373,0.0,385249280,385241088,8192
split-229,0,8529.146747250903,0.0,385249280,385249280,0
split-18,64,8419.376528279381,0.0,385249280,385249280,0
split-38,64,8496.183847157265,0.0,385253376,385253376,0
squeeze-46,64,6.395873734468533,0.0,385253376,385253376,0
squeeze-108,64,6.3937763787341675,0.0,385257472,385253376,4096
squeeze-132,64,6.374423141692074,0.0,385257472,385257472,0
squeeze-156,64,6.46440261130132,0.0,385261568,385261568,0
squeeze-180,64,6.372697425368641,0.0,385269760,385265664,4096
squeeze-53,64,6.415602736235495,0.0,385273856,385269760,4096
split-64,64,37.111658288754874,0.0,385470464,385466368,4096
squeeze-81,64,6.38502759950964,0.0,385470464,385470464,0
squeeze-199,64,6.3633776199421055,0.0,385470464,385470464,0
split-210,64,30.243322547256373,0.0,385478656,385478656,0
squeeze-227,64,6.346486984143304,0.0,385478656,385478656,0
squeeze-16,64,6.346054996391865,0.0,385482752,385482752,0
squeeze-36,64,6.408571558595727,0.0,385482752,385482752,0
split-52,64,8620.379366249079,0.0,385486848,385486848,0
squeeze-62,64,6.365325455592327,0.0,385490944,385490944,0
squeeze-90,64,6.380440926854068,0.0,385490944,385490944,0
split-80,64,8507.742003621002,0.0,385495040,385495040,0
split-198,64,8478.651029711807,0.0,385503232,385499136,4096
squeeze-208,64,6.3737045479383125,0.0,385507328,385503232,4096
squeeze-236,64,6.371111565912079,0.0,385507328,385507328,0
split-226,64,8485.711904987922,0.0,385507328,385507328,0
tuple-50,192,6.9292886682399155,0.0,385511424,385511424,0
split-61,64,7947.452035777949,0.0,385523712,385519616,4096
split-89,64,7943.323723788476,0.0,385523712,385523712,0
tuple-78,192,6.945354840161343,0.0,385523712,385523712,0
tuple-196,192,6.9253090795996535,0.0,385523712,385523712,0
split-207,64,7963.050958313133,0.0,385536000,385531904,4096
split-235,64,7990.324324324326,0.0,385544192,385544192,0
tuple-224,192,6.933340205039732,0.0,385544192,385544192,0
concatenate-49,192,8306.84287470512,0.0,385675264,385675264,0
tuple-59,192,6.933451526760458,0.0,385675264,385675264,0
tuple-87,192,6.936938825411404,0.0,385675264,385675264,0
