a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
strided_slice-19,296,22.124701736629095,0.0,383651840,383291392,360448
strided_slice-39,296,21.805725287574194,0.0,383795200,383778816,16384
split-48,336,37.86348512871697,0.0,385478656,385458176,20480
split-55,0,8573.378869870567,0.0,386064384,386064384,0
split-66,0,29.516402778593086,0.0,386064384,386064384,0
split-83,0,8556.176701128456,0.0,386068480,386068480,0
split-201,0,8869.45488192025,0.0,386068480,386068480,0
split-212,0,32.630690504828934,0.0,386080768,386072576,8192
split-229,0,8782.122506632251,0.0,386080768,386080768,0
split-18,64,23.81105251198344,0.0,386084864,386080768,4096
split-38,64,23.98743776687397,0.0,386084864,386084864,0
squeeze-46,64,6.409524252780017,0.0,386093056,386093056,0
squeeze-108,64,6.379783800061709,0.0,386093056,386093056,0
squeeze-132,64,6.382570979207006,0.0,386093056,386093056,0
squeeze-156,64,6.353237947206615,0.0,386097152,386097152,0
squeeze-180,64,6.367539883525474,0.0,386101248,386101248,0
squeeze-53,64,6.357144123073585,0.0,386105344,386105344,0
split-64,64,28.652983875310166,0.0,386297856,386297856,0
squeeze-81,64,6.405009812240859,0.0,386301952,386301952,0
squeeze-199,64,6.3983236159586925,0.0,386306048,386306048,0
split-210,64,28.78117330011311,0.0,386306048,386306048,0
squeeze-227,64,6.37973229727372,0.0,386306048,386306048,0
squeeze-16,64,6.3382255927042035,0.0,386310144,386306048,4096
squeeze-36,64,6.524989624573774,0.0,386314240,386310144,4096
split-52,64,8676.617668881028,0.0,386379776,386379776,0
squeeze-62,64,6.331060652614491,0.0,386379776,386379776,0
squeeze-90,64,6.361236039557013,0.0,386383872,386379776,4096
split-80,64,8640.702470035096,0.0,386396160,386387968,8192
split-198,64,8621.954680258119,0.0,386482176,386482176,0
squeeze-208,64,6.393683797867572,0.0,386486272,386486272,0
squeeze-236,64,6.394762145691787,0.0,386486272,386486272,0
split-226,64,8576.616927841724,0.0,386490368,386486272,4096
tuple-50,192,6.936717944032048,0.0,386490368,386490368,0
split-61,64,7921.591755815097,0.0,386502656,386494464,8192
split-89,64,10252.59295468653,0.0,386510848,386510848,0
tuple-78,192,6.932356262793313,0.0,386510848,386510848,0
tuple-196,192,6.950430924238872,0.0,386510848,386510848,0
split-207,64,7953.353178708829,0.0,386519040,386510848,8192
split-235,64,7982.125809961315,0.0,386523136,386523136,0
tuple-224,192,6.94246013694232,0.0,386523136,386523136,0
concatenate-49,192,12865.953015527362,0.0,386596864,386588672,8192
tuple-59,192,6.939510331002582,0.0,386596864,386596864,0
tuple-87,192,6.941460651531291,0.0,386596864,386596864,0
concatenate-77,192,13804.730705339485,0.0,386600960,386596864,4096
concatenate-195,192,8757.555117737918,0.0,386600960,386600960,0
tuple-205,192,6.923744612879615,0.0,386600960,386600960,0
tuple-233,192,6.932663709926172,0.0,386600960,386600960,0
concatenate-223,192,8765.598511953773,0.0,386609152,386605056,4096
nn.dense-45,128,8692.681908657423,0.0,405803008,404590592,1212416
nn.dense-107,128,8660.836249415921,0.0,405807104,405807104,0
nn.dense-131,128,17209.92392499869,0.0,405807104,405807104,0
nn.dense-155,128,8677.40680717704,0.0,405807104,405807104,0
nn.dense-179,128,8712.44015277945,0.0,405807104,405807104,0
concatenate-58,192,8590.976235265307,0.0,405807104,405807104,0
concatenate-86,192,8567.789038019358,0.0,405807104,405807104,0
nn.dense-76,128,8933.251140582051,0.0,405807104,405807104,0
concatenate-204,192,8581.036146686645,0.0,405811200,405807104,4096
concatenate-232,192,8566.230130406104,0.0,405811200,405811200,0
nn.dense-222,128,8965.955820460644,0.0,405811200,405811200,0
add-44,128,31.144521312514485,0.0,405815296,405815296,0
