a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
strided_slice-37,2688,6220.276838028656,0.0,1180946432,1180688384,258048
strided_slice-57,2688,6220.5927805628635,0.0,1181069312,1181061120,8192
strided_slice-77,2688,6317.952008265928,0.0,1181085696,1181085696,0
strided_slice-97,2688,6291.627118007288,0.0,1181089792,1181089792,0
strided_slice-117,2688,6286.077166183829,0.0,1181097984,1181097984,0
strided_slice-137,2688,6297.439825687267,0.0,1181097984,1181097984,0
strided_slice-157,2688,6282.887230950411,0.0,1181102080,1181097984,4096
strided_slice-177,2688,6277.020063595924,0.0,1181114368,1181102080,12288
split-186,4928,6568.529172893249,0.0,1184243712,1184198656,45056
split-193,0,6657.382389603501,0.0,1184346112,1184342016,4096
split-204,0,32.05383064275174,0.0,1184411648,1184411648,0
split-221,0,6617.555951165734,0.0,1184411648,1184411648,0
split-459,0,6659.4497664320015,0.0,1184415744,1184415744,0
split-470,0,30.691511652393658,0.0,1184415744,1184415744,0
split-487,0,6629.822009772117,0.0,1184419840,1184419840,0
split-725,0,6618.57062049825,0.0,1184423936,1184423936,0
split-736,0,28.50004250507819,0.0,1184423936,1184423936,0
split-753,0,6646.2695029645,0.0,1184423936,1184423936,0
split-991,0,6627.303731264233,0.0,1184423936,1184423936,0
split-1002,0,28.94143049571466,0.0,1184423936,1184423936,0
split-1019,0,6636.276641977926,0.0,1184423936,1184423936,0
split-1257,0,6631.005517332629,0.0,1184423936,1184423936,0
split-1268,0,30.199558929137126,0.0,1184423936,1184423936,0
split-1285,0,6631.761409994059,0.0,1184423936,1184423936,0
split-1523,0,6599.724839908294,0.0,1184428032,1184428032,0
split-1534,0,29.256077375402914,0.0,1184436224,1184436224,0
split-1551,0,6649.765284436316,0.0,1184436224,1184436224,0
split-1789,0,6614.399132263655,0.0,1184440320,1184436224,4096
split-1800,0,28.176609496543158,0.0,1184440320,1184440320,0
split-1817,0,6631.460780223646,0.0,1184444416,1184440320,4096
split-2055,0,6591.889078178365,0.0,1184444416,1184444416,0
split-2066,0,33.9967267628409,0.0,1184448512,1184448512,0
split-2083,0,6624.474323335771,0.0,1184448512,1184448512,0
split-36,64,6266.943758485304,0.0,1184452608,1184448512,4096
split-56,64,12221.369014084505,0.0,1184456704,1184452608,4096
split-76,64,6303.442977080242,0.0,1184460800,1184456704,4096
split-96,64,6264.088741063789,0.0,1184460800,1184460800,0
split-116,64,12187.395620304476,0.0,1184464896,1184464896,0
split-136,64,6272.645368660322,0.0,1184464896,1184464896,0
split-156,64,6290.0987971858685,0.0,1184464896,1184464896,0
split-176,64,6276.352534914865,0.0,1184468992,1184468992,0
squeeze-184,64,6.781266621133801,0.0,1184468992,1184468992,0
squeeze-246,64,6.797625756537279,0.0,1184468992,1184468992,0
squeeze-270,64,6.915401037198127,0.0,1184468992,1184468992,0
squeeze-294,64,6.878378866646247,0.0,1184473088,1184468992,4096
squeeze-318,64,7.052575128324735,0.0,1184473088,1184473088,0
squeeze-342,64,6.896252016340448,0.0,1184473088,1184473088,0
squeeze-366,64,7.00213703219372,0.0,1184477184,1184473088,4096
squeeze-390,64,7.149346291420206,0.0,1184477184,1184477184,0
squeeze-414,64,7.197933299614964,0.0,1184477184,1184477184,0
squeeze-438,64,7.064260490952918,0.0,1184481280,1184481280,0
squeeze-191,64,7.044623460147059,0.0,1184481280,1184481280,0
split-202,64,30.127897274454007,0.0,1184608256,1184608256,0
squeeze-219,64,7.054914396552322,0.0,1184608256,1184608256,0
squeeze-457,64,7.038178715524068,0.0,1184608256,1184608256,0
split-468,64,29.718407672413722,0.0,1184608256,1184608256,0
squeeze-485,64,6.971546412911691,0.0,1184608256,1184608256,0
squeeze-723,64,6.838930481276756,0.0,1184608256,1184608256,0
split-734,64,35.533771460723045,0.0,1184608256,1184608256,0
squeeze-751,64,6.960662799166611,0.0,1184608256,1184608256,0
squeeze-989,64,6.979836563053034,0.0,1184608256,1184608256,0
split-1000,64,30.662501830225988,0.0,1184608256,1184608256,0
squeeze-1017,64,7.066939417163754,0.0,1184608256,1184608256,0
squeeze-1255,64,7.0348890451375325,0.0,1184608256,1184608256,0
