a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
split-41,22536,8314.008849059366,0.0,385982464,385568768,413696
strided_slice-45,18056,6616.916102038904,0.0,386158592,386154496,4096
split-54,0,6466.581785796748,0.0,386166784,386166784,0
split-64,0,6417.216014140688,0.0,386166784,386166784,0
split-76,0,29.406255970512042,0.0,386363392,386359296,4096
strided_slice-97,18056,6732.367828734691,0.0,386367488,386363392,4096
strided_slice-198,18056,6720.446949954794,0.0,386367488,386367488,0
split-207,0,6390.77235116752,0.0,386379776,386367488,12288
split-217,0,6426.418138610439,0.0,386379776,386379776,0
split-229,0,31.314888282999902,0.0,386387968,386387968,0
strided_slice-250,18056,6608.035098287889,0.0,386387968,386387968,0
squeeze-39,64,6.390916953453791,0.0,386387968,386387968,0
squeeze-112,64,6.355512305971486,0.0,386392064,386392064,0
squeeze-135,64,6.356195723117589,0.0,386392064,386392064,0
squeeze-158,64,6.36672102584279,0.0,386396160,386396160,0
squeeze-181,64,6.429189147546283,0.0,386396160,386396160,0
split-44,64,6625.784524470533,0.0,386400256,386396160,4096
squeeze-52,64,6.368350490285626,0.0,386404352,386404352,0
squeeze-62,64,6.364298638410285,0.0,386408448,386408448,0
split-74,64,33.95131878532178,0.0,386412544,386408448,4096
split-96,64,6682.820410593351,0.0,386412544,386412544,0
split-197,64,6678.543488466032,0.0,386416640,386416640,0
squeeze-205,64,6.404154672915409,0.0,386420736,386420736,0
squeeze-215,64,6.367723737469198,0.0,386420736,386420736,0
split-227,64,35.94843089282396,0.0,386424832,386424832,0
split-249,64,6683.314485647155,0.0,386428928,386424832,4096
squeeze-42,64,6.377780166793369,0.0,386428928,386428928,0
split-51,64,6749.614716973399,0.0,386572288,386572288,0
split-61,64,6839.338514420628,0.0,387022848,387002368,20480
squeeze-72,64,6.374716981817053,0.0,387026944,387026944,0
squeeze-84,64,6.372602760839401,0.0,387026944,387026944,0
squeeze-94,64,6.371566040565932,0.0,387026944,387026944,0
squeeze-195,64,6.37145840155756,0.0,387026944,387026944,0
split-204,64,7970.9819517313745,0.0,387063808,387051520,12288
split-214,64,7914.117236840812,0.0,387084288,387067904,16384
squeeze-225,64,6.385480052457416,0.0,387096576,387096576,0
squeeze-237,64,6.383432597874593,0.0,387096576,387096576,0
squeeze-247,64,6.362534902920777,0.0,387096576,387096576,0
tuple-38,128,6.156690198972607,0.0,387100672,387100672,0
tuple-49,256,7.842736697585797,0.0,387100672,387100672,0
tuple-59,256,8.03268444630626,0.0,387100672,387100672,0
split-71,64,7828.670873693501,0.0,387108864,387104768,4096
split-83,64,7809.17380802506,0.0,387108864,387108864,0
tuple-202,256,7.8340156761078,0.0,387108864,387108864,0
tuple-212,256,7.834571029537267,0.0,387108864,387108864,0
split-224,64,7819.231315269263,0.0,387117056,387112960,4096
split-236,64,7827.740878711515,0.0,387121152,387117056,4096
concatenate-37,128,7906.3094849718445,0.0,387125248,387125248,0
concatenate-48,256,7823.324989978541,0.0,387190784,387190784,0
concatenate-58,256,7754.594633565293,0.0,387190784,387190784,0
tuple-69,256,7.83373523311589,0.0,387190784,387190784,0
tuple-81,256,7.834061883113505,0.0,387190784,387190784,0
concatenate-201,256,7749.9650471661935,0.0,387194880,387194880,0
concatenate-211,256,7805.616089685552,0.0,387194880,387194880,0
tuple-222,256,7.833851906560913,0.0,387198976,387198976,0
tuple-234,256,7.837953805309605,0.0,387198976,387198976,0
tuple-47,128,6.118697961231695,0.0,387198976,387198976,0
tuple-115,128,6.12995768802251,0.0,387198976,387198976,0
tuple-138,128,6.111372863037736,0.0,387198976,387198976,0
tuple-161,128,6.157129243793687,0.0,387198976,387198976,0
tuple-184,128,6.119766555354566,0.0,387198976,387198976,0
concatenate-68,256,7827.861031815802,0.0,387223552,387223552,0
concatenate-80,256,7831.452062107933,0.0,387223552,387223552,0
tuple-200,128,6.093718202179457,0.0,387223552,387223552,0
tuple-268,128,6.115003099579657,0.0,387223552,387223552,0
tuple-291,128,6.110980153894589,0.0,387223552,387223552,0
tuple-314,128,6.121908709308031,0.0,387223552,387223552,0
tuple-337,128,6.164389895641402,0.0,387223552,387223552,0
concatenate-221,256,7826.397321084513,0.0,387231744,387231744,0
concatenate-233,256,7827.143396345108,0.0,387231744,387231744,0
concatenate-46,128,7828.905579208307,0.0,387231744,387231744,0
concatenate-114,128,7830.1172535991145,0.0,387231744,387231744,0
concatenate-137,128,7812.216057555637,0.0,387235840,387235840,0
concatenate-160,128,7827.928540461535,0.0,387235840,387235840,0
concatenate-183,128,7820.400162629596,0.0,387235840,387235840,0
concatenate-199,128,7795.7563072048815,0.0,387235840,387235840,0
concatenate-267,128,7788.022905767258,0.0,387239936,387239936,0
concatenate-290,128,7802.659480068537,0.0,387244032,387244032,0
concatenate-313,128,7808.363936857063,0.0,387248128,387248128,0
concatenate-336,128,7788.204487563299,0.0,387248128,387248128,0
nn.dense-36,128,13188.953074019577,0.0,387579904,387559424,20480
add-35,128,7850.68331871222,0.0,387579904,387579904,0
add-34,128,7858.214538269549,0.0,387579904,387579904,0
split-33,64,9502.058293986407,0.0,387588096,387584000,4096
sigmoid-31,64,7993.691797241427,0.0,387653632,387653632,0
sigmoid-92,64,7995.275293888576,0.0,387653632,387653632,0
sigmoid-99,64,8031.62572919865,0.0,387653632,387653632,0
tanh-101,64,8780.246287796233,0.0,387657728,387653632,4096
multiply-91,128,7881.418964206558,0.0,387665920,387657728,8192
multiply-98,128,7871.519787837622,0.0,387665920,387665920,0
add-90,128,7883.5227065108,0.0,387674112,387670016,4096
tanh-89,64,8768.552055380085,0.0,387674112,387674112,0
multiply-30,128,7878.0692428941875,0.0,387674112,387674112,0
tuple-111,128,6.13999843521299,0.0,387674112,387674112,0
concatenate-110,128,7915.963461899106,0.0,387678208,387678208,0
nn.dense-109,128,13248.283964259179,0.0,387678208,387678208,0
add-108,128,7856.305419943723,0.0,387678208,387678208,0
add-107,128,7866.574154276021,0.0,387678208,387678208,0
split-106,64,9512.184562063258,0.0,387678208,387678208,0
sigmoid-104,64,8036.704208673735,0.0,387678208,387678208,0
sigmoid-119,64,7238.808505510952,0.0,387678208,387678208,0
sigmoid-122,64,7122.51984301904,0.0,387678208,387678208,0
tanh-124,64,7785.116230699084,0.0,387678208,387678208,0
multiply-118,128,6808.573180161271,0.0,387678208,387678208,0
multiply-121,128,6819.3954010561765,0.0,387678208,387678208,0
add-117,128,6797.326124464541,0.0,387678208,387678208,0
tanh-116,64,7781.156292822884,0.0,387678208,387678208,0
multiply-103,128,6794.263294883169,0.0,387678208,387678208,0
tuple-134,128,6.096317272005113,0.0,387678208,387678208,0
concatenate-133,128,6860.925292964123,0.0,387678208,387678208,0
nn.dense-132,128,12154.884031641495,0.0,387678208,387678208,0
add-131,128,6772.784341816139,0.0,387686400,387686400,0
add-130,128,6732.821432666948,0.0,387686400,387686400,0
split-129,64,8449.860408713872,0.0,387923968,387891200,32768
sigmoid-127,64,7105.712281589056,0.0,387928064,387928064,0
sigmoid-142,64,7140.437398143555,0.0,387928064,387928064,0
sigmoid-145,64,7103.75201361316,0.0,387928064,387928064,0
tanh-147,64,7741.069916908599,0.0,387936256,387928064,8192
multiply-141,128,6795.350295857988,0.0,387940352,387936256,4096
multiply-144,128,6809.889763583678,0.0,387940352,387940352,0
add-140,128,6797.9930488430155,0.0,387940352,387940352,0
tanh-139,64,7789.391180804041,0.0,387940352,387940352,0
multiply-126,128,6802.859140870603,0.0,387956736,387956736,0
tuple-157,128,6.099291309292212,0.0,387960832,387960832,0
concatenate-156,128,6834.95117768429,0.0,387964928,387964928,0
nn.dense-155,128,12229.645710085693,0.0,387969024,387969024,0
add-154,128,6724.924312584911,0.0,387981312,387981312,0
add-153,128,6742.18867402749,0.0,388079616,388046848,32768
split-152,64,8474.23307184773,0.0,388300800,388255744,45056
sigmoid-150,64,7125.791471283718,0.0,388300800,388300800,0
sigmoid-165,64,7091.117887357352,0.0,388304896,388304896,0
sigmoid-168,64,7176.30786903415,0.0,388308992,388304896,4096
tanh-170,64,7779.091332633788,0.0,388308992,388308992,0
multiply-164,128,6806.062704703099,0.0,388313088,388313088,0
multiply-167,128,6813.698496857064,0.0,388313088,388313088,0
add-163,128,6813.622726974332,0.0,388313088,388313088,0
tanh-162,64,7763.398887115024,0.0,388313088,388313088,0
multiply-149,128,6816.109946638637,0.0,388313088,388313088,0
tuple-180,128,6.133552823011967,0.0,388448256,388448256,0
concatenate-179,128,6911.885453975058,0.0,388452352,388452352,0
nn.dense-178,128,12037.085062095506,0.0,388485120,388485120,0
add-177,128,6783.035868462412,0.0,388505600,388505600,0
add-176,128,6783.950418945362,0.0,388509696,388509696,0
split-175,64,8386.913705109853,0.0,388759552,388714496,45056
sigmoid-173,64,7142.903207331042,0.0,388759552,388759552,0
sigmoid-188,64,7083.311246264536,0.0,388759552,388759552,0
sigmoid-191,64,7152.471496626347,0.0,388763648,388759552,4096
tanh-193,64,7780.722615193409,0.0,388767744,388767744,0
multiply-187,128,6806.711677198388,0.0,388784128,388780032,4096
multiply-190,128,6818.4254352541175,0.0,388784128,388784128,0
add-186,128,6814.88423304515,0.0,388788224,388788224,0
tanh-185,64,7864.354916728281,0.0,388788224,388788224,0
expand_dims-354,64,6.396895932821311,0.0,388788224,388788224,0
multiply-172,128,6793.903054477661,0.0,388796416,388796416,0
tuple-29,320,8.47481156532994,0.0,388796416,388796416,0
expand_dims-350,64,6.373157059570882,0.0,388800512,388796416,4096
stack-28,320,6938.7539143208605,0.0,389529600,389484544,45056
expand_dims-27,64,6.372429698508081,0.0,389599232,389595136,4096
squeeze-26,64,6.382546504718588,0.0,389603328,389599232,4096
split-25,64,8706.82518928901,0.0,389722112,389672960,49152
squeeze-23,64,6.355129806157632,0.0,389726208,389726208,0
squeeze-265,64,6.381920901564454,0.0,389726208,389726208,0
squeeze-288,64,6.365620054371469,0.0,389726208,389726208,0
