a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-41,38536,24437.001241090744,0.0,139984896,139984896,0
strided_slice-45,30856,4862.380401497108,0.0,139984896,139984896,0
split-54,0,4635.8765934188095,0.0,139984896,139984896,0
split-64,0,4757.570511650364,0.0,139984896,139984896,0
split-76,0,3599.4382594395065,0.0,139984896,139984896,0
strided_slice-97,30856,4837.874883225141,0.0,139984896,139984896,0
strided_slice-198,30856,4929.287441275334,0.0,139984896,139984896,0
split-207,0,4759.94055997552,0.0,139984896,139984896,0
split-217,0,4759.932292034773,0.0,139984896,139984896,0
split-229,0,4590.133217039508,0.0,139984896,139984896,0
strided_slice-250,30856,4927.6624203194115,0.0,139984896,139984896,0
squeeze-39,64,6.404180714262882,0.0,139984896,139984896,0
squeeze-112,64,6.399489883958676,0.0,139984896,139984896,0
squeeze-135,64,6.456762959168002,0.0,139984896,139984896,0
squeeze-158,64,6.409630191742698,0.0,139984896,139984896,0
squeeze-181,64,6.449990398981652,0.0,139984896,139984896,0
split-44,64,4840.909339440522,0.0,139984896,139984896,0
squeeze-52,64,6.446396398811516,0.0,139984896,139984896,0
squeeze-62,64,6.391447053469212,0.0,139984896,139984896,0
split-74,64,7614.757169953391,0.0,139984896,139984896,0
split-96,64,4844.743653322745,0.0,139984896,139984896,0
split-197,64,4849.8625813071085,0.0,139984896,139984896,0
squeeze-205,64,6.4128571968235555,0.0,139984896,139984896,0
squeeze-215,64,6.392048878533135,0.0,139984896,139984896,0
split-227,64,7845.446701546195,0.0,139984896,139984896,0
split-249,64,4895.420668951124,0.0,139984896,139984896,0
squeeze-42,64,6.4069817714806305,0.0,139984896,139984896,0
split-51,64,15683.520882139108,0.0,139984896,139984896,0
split-61,64,17565.61837191934,0.0,139984896,139984896,0
squeeze-72,64,6.83148392486591,0.0,139984896,139984896,0
squeeze-84,64,6.457014177792226,0.0,139984896,139984896,0
squeeze-94,64,6.44565787856943,0.0,139984896,139984896,0
squeeze-195,64,6.413648868152694,0.0,139984896,139984896,0
split-204,64,17403.804379776597,0.0,139984896,139984896,0
split-214,64,17361.027196962954,0.0,139984896,139984896,0
squeeze-225,64,6.40778895447913,0.0,139984896,139984896,0
squeeze-237,64,6.416120209741535,0.0,139984896,139984896,0
squeeze-247,64,6.385166919383891,0.0,139984896,139984896,0
tuple-38,128,6.126419016626872,0.0,139984896,139984896,0
tuple-49,256,7.836515124342522,0.0,139984896,139984896,0
tuple-59,256,7.83353421460144,0.0,139984896,139984896,0
split-71,64,14806.212945470554,0.0,139984896,139984896,0
split-83,64,14461.121417311548,0.0,139984896,139984896,0
tuple-202,256,7.8494360346287175,0.0,139984896,139984896,0
tuple-212,256,7.8693625596410675,0.0,139984896,139984896,0
split-224,64,14724.572680337404,0.0,139984896,139984896,0
split-236,64,14572.731227252874,0.0,139984896,139984896,0
concatenate-37,128,4471.9720857086695,0.0,139984896,139984896,0
concatenate-48,256,4701.398178144704,0.0,139984896,139984896,0
concatenate-58,256,4967.422593082313,0.0,139984896,139984896,0
tuple-69,256,7.8697124540908545,0.0,139984896,139984896,0
tuple-81,256,7.835487303140734,0.0,139984896,139984896,0
concatenate-201,256,4969.46700195419,0.0,139984896,139984896,0
concatenate-211,256,5004.4562279162865,0.0,139984896,139984896,0
tuple-222,256,7.849549305823269,0.0,139984896,139984896,0
tuple-234,256,7.855510878987888,0.0,139984896,139984896,0
tuple-47,128,6.149209375180239,0.0,139984896,139984896,0
tuple-115,128,6.1183913095310976,0.0,139984896,139984896,0
tuple-138,128,6.132650286284653,0.0,139984896,139984896,0
tuple-161,128,6.093960426203853,0.0,139984896,139984896,0
tuple-184,128,6.119309908466103,0.0,139984896,139984896,0
concatenate-68,256,5004.1578254889055,0.0,139984896,139984896,0
concatenate-80,256,4965.708439423529,0.0,139984896,139984896,0
tuple-200,128,6.144945388317929,0.0,139984896,139984896,0
tuple-268,128,6.151394062882299,0.0,139984896,139984896,0
tuple-291,128,6.149083728837163,0.0,139984896,139984896,0
tuple-314,128,6.104773072421954,0.0,139984896,139984896,0
tuple-337,128,6.232317179811694,0.0,139984896,139984896,0
concatenate-221,256,4998.792292028989,0.0,139984896,139984896,0
concatenate-233,256,4995.0867745673295,0.0,139984896,139984896,0
concatenate-46,128,4887.44553962662,0.0,139984896,139984896,0
concatenate-114,128,4758.722806934836,0.0,139984896,139984896,0
concatenate-137,128,4776.394571259609,0.0,139984896,139984896,0
concatenate-160,128,4851.188359687104,0.0,139984896,139984896,0
concatenate-183,128,4875.911181879084,0.0,139984896,139984896,0
concatenate-199,128,5126.618714303846,0.0,139984896,139984896,0
concatenate-267,128,5149.189057828106,0.0,139984896,139984896,0
concatenate-290,128,5133.2212569739895,0.0,139984896,139984896,0
concatenate-313,128,5149.607197661906,0.0,139984896,139984896,0
concatenate-336,128,5169.332897432993,0.0,139984896,139984896,0
nn.dense-36,128,126146.9899273448,0.0,139984896,139984896,0
add-35,128,5363.205800424264,0.0,139984896,139984896,0
add-34,128,5286.87074238093,0.0,139984896,139984896,0
split-33,64,20063.751044119956,0.0,139984896,139984896,0
sigmoid-31,64,4406.675380592218,0.0,139984896,139984896,0
sigmoid-92,64,4423.729215501567,0.0,139984896,139984896,0
sigmoid-99,64,4410.5154894739135,0.0,139984896,139984896,0
tanh-101,64,4335.8110829611815,0.0,139984896,139984896,0
multiply-91,128,4953.276382257283,0.0,139984896,139984896,0
multiply-98,128,4966.250389200906,0.0,139984896,139984896,0
add-90,128,4980.275446001912,0.0,139984896,139984896,0
tanh-89,64,4339.101683892897,0.0,139984896,139984896,0
multiply-30,128,4994.015625289386,0.0,139984896,139984896,0
tuple-111,128,6.130709875603133,0.0,139984896,139984896,0
concatenate-110,128,4532.223144438944,0.0,139984896,139984896,0
nn.dense-109,128,126261.61176666115,0.0,139984896,139984896,0
add-108,128,5282.324527882838,0.0,139984896,139984896,0
add-107,128,5346.295067981872,0.0,139984896,139984896,0
split-106,64,20076.090126403946,0.0,139984896,139984896,0
sigmoid-104,64,4410.309179298103,0.0,139984896,139984896,0
sigmoid-119,64,4382.916029397596,0.0,139984896,139984896,0
sigmoid-122,64,4410.961170700727,0.0,139984896,139984896,0
tanh-124,64,4368.620541484715,0.0,139984896,139984896,0
multiply-118,128,4973.9793434779585,0.0,139984896,139984896,0
multiply-121,128,4997.748751930646,0.0,139984896,139984896,0
add-117,128,4958.687227463727,0.0,139984896,139984896,0
tanh-116,64,4343.5973050642915,0.0,139984896,139984896,0
multiply-103,128,4956.7873592583255,0.0,139984896,139984896,0
tuple-134,128,6.146382758426783,0.0,139984896,139984896,0
concatenate-133,128,4486.429766185442,0.0,139984896,139984896,0
nn.dense-132,128,126289.30444078948,0.0,139984896,139984896,0
add-131,128,5361.691690361669,0.0,139984896,139984896,0
add-130,128,5318.041068631186,0.0,139984896,139984896,0
split-129,64,20218.29900828209,0.0,139984896,139984896,0
sigmoid-127,64,4391.063640698834,0.0,139984896,139984896,0
sigmoid-142,64,4411.448929119329,0.0,139984896,139984896,0
sigmoid-145,64,4411.692315251573,0.0,139984896,139984896,0
tanh-147,64,4375.690862265794,0.0,139984896,139984896,0
multiply-141,128,4985.229594072422,0.0,139984896,139984896,0
multiply-144,128,4967.983089897677,0.0,139984896,139984896,0
add-140,128,4985.813133090128,0.0,139984896,139984896,0
tanh-139,64,4340.340657272956,0.0,139984896,139984896,0
multiply-126,128,4979.744641471132,0.0,139984896,139984896,0
tuple-157,128,6.139009853025712,0.0,139984896,139984896,0
concatenate-156,128,4463.260164556286,0.0,139984896,139984896,0
nn.dense-155,128,126235.46632382218,0.0,139984896,139984896,0
add-154,128,5379.320192057964,0.0,139984896,139984896,0
add-153,128,5308.464620002371,0.0,139984896,139984896,0
split-152,64,20005.601093065863,0.0,139984896,139984896,0
