a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-41,83336,24653.25033583221,0.0,139984896,139984896,0
strided_slice-45,66696,4923.049994823922,0.0,139984896,139984896,0
split-54,0,4661.302403067587,0.0,139984896,139984896,0
split-64,0,4767.049750159097,0.0,139984896,139984896,0
split-76,0,3595.913487500112,0.0,139984896,139984896,0
strided_slice-97,66696,4920.534543482501,0.0,139984896,139984896,0
strided_slice-198,66696,4996.347677455779,0.0,139984896,139984896,0
split-207,0,4746.932582990112,0.0,139984896,139984896,0
split-217,0,4748.20952978431,0.0,139984896,139984896,0
split-229,0,3606.0355781906196,0.0,139984896,139984896,0
strided_slice-250,66696,4996.4991410479215,0.0,139984896,139984896,0
squeeze-39,64,6.46937668129071,0.0,139984896,139984896,0
squeeze-112,64,6.430677101682408,0.0,139984896,139984896,0
squeeze-135,64,6.397389461145675,0.0,139984896,139984896,0
squeeze-158,64,6.416985286653013,0.0,139984896,139984896,0
squeeze-181,64,6.381481365500634,0.0,139984896,139984896,0
split-44,64,4908.058860736398,0.0,139984896,139984896,0
squeeze-52,64,6.389215263985946,0.0,139984896,139984896,0
squeeze-62,64,6.415316753632977,0.0,139984896,139984896,0
split-74,64,7250.13018085908,0.0,139984896,139984896,0
split-96,64,4922.838640852454,0.0,139984896,139984896,0
split-197,64,4927.530468381312,0.0,139984896,139984896,0
squeeze-205,64,6.457109356088229,0.0,139984896,139984896,0
squeeze-215,64,6.449965144453555,0.0,139984896,139984896,0
split-227,64,7342.547669181728,0.0,139984896,139984896,0
split-249,64,4909.236418935491,0.0,139984896,139984896,0
squeeze-42,64,6.356978486229339,0.0,139984896,139984896,0
split-51,64,15015.058737849648,0.0,139984896,139984896,0
split-61,64,16496.18846731535,0.0,139984896,139984896,0
squeeze-72,64,6.401182440707045,0.0,139984896,139984896,0
squeeze-84,64,6.404364432421004,0.0,139984896,139984896,0
squeeze-94,64,6.442309129620142,0.0,139984896,139984896,0
squeeze-195,64,6.426851392078125,0.0,139984896,139984896,0
split-204,64,16336.195174090019,0.0,139984896,139984896,0
split-214,64,16364.000587544066,0.0,139984896,139984896,0
squeeze-225,64,6.383237682519777,0.0,139984896,139984896,0
squeeze-237,64,6.397739176318158,0.0,139984896,139984896,0
squeeze-247,64,6.458503165300825,0.0,139984896,139984896,0
tuple-38,128,6.202723065575148,0.0,139984896,139984896,0
tuple-49,256,7.8336930486605505,0.0,139984896,139984896,0
tuple-59,256,7.8497978118282425,0.0,139984896,139984896,0
split-71,64,14402.943270259306,0.0,139984896,139984896,0
split-83,64,14552.117520747492,0.0,139984896,139984896,0
tuple-202,256,7.855389622437176,0.0,139984896,139984896,0
tuple-212,256,7.834578144403064,0.0,139984896,139984896,0
split-224,64,14560.571046614547,0.0,139984896,139984896,0
split-236,64,14556.74234532176,0.0,139984896,139984896,0
concatenate-37,128,4439.17533502374,0.0,139984896,139984896,0
concatenate-48,256,4711.956990664055,0.0,139984896,139984896,0
concatenate-58,256,5005.614727934081,0.0,139984896,139984896,0
tuple-69,256,7.859644961907968,0.0,139984896,139984896,0
tuple-81,256,7.855679483397994,0.0,139984896,139984896,0
concatenate-201,256,5009.904940644205,0.0,139984896,139984896,0
concatenate-211,256,5025.65069550815,0.0,139984896,139984896,0
tuple-222,256,7.857400771661315,0.0,139984896,139984896,0
tuple-234,256,7.8360059804295785,0.0,139984896,139984896,0
tuple-47,128,6.128434296075332,0.0,139984896,139984896,0
tuple-115,128,7.1274778502463345,0.0,139984896,139984896,0
tuple-138,128,6.145486197985973,0.0,139984896,139984896,0
tuple-161,128,6.133713987499907,0.0,139984896,139984896,0
tuple-184,128,6.122444677751425,0.0,139984896,139984896,0
concatenate-68,256,5024.966550215083,0.0,139984896,139984896,0
concatenate-80,256,5010.308851770354,0.0,139984896,139984896,0
tuple-200,128,6.1380843335434765,0.0,139984896,139984896,0
tuple-268,128,6.145537412102392,0.0,139984896,139984896,0
tuple-291,128,6.113951560793745,0.0,139984896,139984896,0
tuple-314,128,6.1260861613375575,0.0,139984896,139984896,0
tuple-337,128,6.110421852422658,0.0,139984896,139984896,0
concatenate-221,256,4997.1864854662135,0.0,139984896,139984896,0
concatenate-233,256,5020.432729968245,0.0,139984896,139984896,0
concatenate-46,128,5027.032874632128,0.0,139984896,139984896,0
concatenate-114,128,5085.25141174981,0.0,139984896,139984896,0
concatenate-137,128,5055.602652800142,0.0,139984896,139984896,0
concatenate-160,128,5074.094223207984,0.0,139984896,139984896,0
concatenate-183,128,5110.020982719515,0.0,139984896,139984896,0
concatenate-199,128,5005.130613336984,0.0,139984896,139984896,0
concatenate-267,128,5023.952311905912,0.0,139984896,139984896,0
concatenate-290,128,5019.533743940832,0.0,139984896,139984896,0
concatenate-313,128,4986.802095459837,0.0,139984896,139984896,0
concatenate-336,128,4994.211750487137,0.0,139984896,139984896,0
nn.dense-36,128,267788.7192622951,0.0,139984896,139984896,0
add-35,128,6669.96753307186,0.0,139984896,139984896,0
add-34,128,6567.287717585814,0.0,139984896,139984896,0
split-33,64,20377.38728191001,0.0,139984896,139984896,0
sigmoid-31,64,4447.882905792914,0.0,139984896,139984896,0
sigmoid-92,64,4456.030737449469,0.0,139984896,139984896,0
sigmoid-99,64,4446.045165015768,0.0,139984896,139984896,0
tanh-101,64,4434.466347602588,0.0,139984896,139984896,0
multiply-91,128,4967.054490577333,0.0,139984896,139984896,0
multiply-98,128,5011.741252776653,0.0,139984896,139984896,0
add-90,128,4979.829669446025,0.0,139984896,139984896,0
tanh-89,64,4370.225877499651,0.0,139984896,139984896,0
multiply-30,128,4994.376702733316,0.0,139984896,139984896,0
tuple-111,128,6.136728765780934,0.0,139984896,139984896,0
concatenate-110,128,4459.505325728116,0.0,139984896,139984896,0
nn.dense-109,128,267759.9379897785,0.0,139984896,139984896,0
add-108,128,6614.172442298249,0.0,139984896,139984896,0
add-107,128,6650.784799724306,0.0,139984896,139984896,0
split-106,64,20584.07402408269,0.0,139984896,139984896,0
sigmoid-104,64,4386.796424598622,0.0,139984896,139984896,0
sigmoid-119,64,4392.997848045674,0.0,139984896,139984896,0
sigmoid-122,64,4430.93875471765,0.0,139984896,139984896,0
tanh-124,64,4397.571136409518,0.0,139984896,139984896,0
multiply-118,128,5075.053320884065,0.0,139984896,139984896,0
multiply-121,128,4996.442402622061,0.0,139984896,139984896,0
