a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
split-41,16136,7457.449694625408,0.0,380059648,379641856,417792
strided_slice-45,776,6751.4439128716085,0.0,380227584,380223488,4096
split-54,0,6798.280755750275,0.0,380243968,380239872,4096
split-64,0,6707.64141367921,0.0,380248064,380248064,0
split-76,0,28.591793391104275,0.0,380252160,380248064,4096
strided_slice-97,776,6727.137229353219,0.0,380252160,380252160,0
strided_slice-198,776,6754.177189560498,0.0,380252160,380252160,0
split-207,0,6698.316502682831,0.0,380264448,380256256,8192
split-217,0,6692.140292057815,0.0,380264448,380264448,0
split-229,0,28.641485131191434,0.0,380268544,380268544,0
strided_slice-250,776,6749.442460897173,0.0,380268544,380268544,0
squeeze-39,64,6.403058326051995,0.0,380272640,380268544,4096
squeeze-112,64,6.364873252411422,0.0,380272640,380272640,0
squeeze-135,64,6.42332006697333,0.0,380276736,380276736,0
squeeze-158,64,6.370730453779588,0.0,380276736,380276736,0
squeeze-181,64,6.377403601436616,0.0,380276736,380276736,0
split-44,64,6737.38208502446,0.0,380289024,380280832,8192
squeeze-52,64,6.352002544317943,0.0,380293120,380289024,4096
squeeze-62,64,6.400090169622548,0.0,380293120,380293120,0
split-74,64,39.3978713818823,0.0,380297216,380293120,4096
split-96,64,6734.919707894592,0.0,380297216,380297216,0
split-197,64,6747.087220275007,0.0,380297216,380297216,0
squeeze-205,64,6.390789079969073,0.0,380305408,380305408,0
squeeze-215,64,6.369001900535327,0.0,380305408,380305408,0
split-227,64,35.39366276641492,0.0,380305408,380305408,0
split-249,64,6742.203485503549,0.0,380305408,380305408,0
squeeze-42,64,6.250405210777246,0.0,380313600,380309504,4096
split-51,64,8406.8263791655,0.0,380383232,380379136,4096
split-61,64,6934.11983506388,0.0,380915712,380907520,8192
squeeze-72,64,6.3823029068736945,0.0,380997632,380997632,0
squeeze-84,64,6.357177784078674,0.0,380997632,380997632,0
squeeze-94,64,6.362938769192672,0.0,380997632,380997632,0
squeeze-195,64,6.359030058853239,0.0,380997632,380997632,0
split-204,64,6916.532726011466,0.0,381005824,381001728,4096
split-214,64,6926.604343643174,0.0,381026304,381018112,8192
squeeze-225,64,7.280556091870983,0.0,381030400,381030400,0
squeeze-237,64,6.3899439717942865,0.0,381030400,381030400,0
squeeze-247,64,6.413888460131349,0.0,381030400,381030400,0
tuple-38,128,6.129082924667576,0.0,381030400,381030400,0
tuple-49,256,7.8338106172013875,0.0,381030400,381030400,0
tuple-59,256,7.8334769770150094,0.0,381030400,381030400,0
split-71,64,6683.757430752753,0.0,381038592,381034496,4096
split-83,64,6689.711453767536,0.0,381038592,381038592,0
tuple-202,256,7.83358169889482,0.0,381042688,381042688,0
tuple-212,256,7.8334779000113866,0.0,381042688,381042688,0
split-224,64,6689.288948436052,0.0,381046784,381046784,0
split-236,64,6694.4366962581935,0.0,381054976,381054976,0
concatenate-37,128,6715.606607299913,0.0,381120512,381120512,0
concatenate-48,256,6815.473995452757,0.0,383954944,381915136,2039808
concatenate-58,256,6785.732198659617,0.0,383954944,383954944,0
tuple-69,256,7.834061332029441,0.0,383954944,383954944,0
tuple-81,256,7.833568251964971,0.0,383954944,383954944,0
concatenate-201,256,7478.914053776745,0.0,383963136,383959040,4096
concatenate-211,256,6808.917956048603,0.0,383967232,383967232,0
tuple-222,256,7.838758104906733,0.0,383967232,383967232,0
tuple-234,256,7.833965729508867,0.0,383967232,383967232,0
tuple-47,128,6.109837021174712,0.0,383967232,383967232,0
tuple-115,128,6.078350987682778,0.0,383967232,383967232,0
tuple-138,128,6.136381849806904,0.0,383967232,383967232,0
tuple-161,128,6.144326196978358,0.0,383967232,383967232,0
tuple-184,128,6.140371537796254,0.0,383967232,383967232,0
concatenate-68,256,6835.779099405268,0.0,383991808,383991808,0
concatenate-80,256,6842.751850388517,0.0,383991808,383991808,0
tuple-200,128,6.101733986611346,0.0,383991808,383991808,0
tuple-268,128,6.105416416733803,0.0,383991808,383991808,0
tuple-291,128,6.130087923058329,0.0,383991808,383991808,0
tuple-314,128,6.112632051642537,0.0,383991808,383991808,0
tuple-337,128,6.088795375751503,0.0,383991808,383991808,0
concatenate-221,256,6826.255254688314,0.0,383995904,383995904,0
concatenate-233,256,6844.962512719382,0.0,383995904,383995904,0
concatenate-46,128,7357.222591892356,0.0,384000000,384000000,0
concatenate-114,128,7329.426669399886,0.0,384000000,384000000,0
concatenate-137,128,7346.618081709716,0.0,384004096,384004096,0
concatenate-160,128,7344.963117106774,0.0,384004096,384004096,0
concatenate-183,128,7358.992032107655,0.0,384004096,384004096,0
concatenate-199,128,6738.832455663049,0.0,384008192,384008192,0
concatenate-267,128,6754.389485948235,0.0,384008192,384008192,0
concatenate-290,128,6750.530527443952,0.0,384012288,384012288,0
concatenate-313,128,6771.459749367671,0.0,384016384,384012288,4096
concatenate-336,128,6749.915732881245,0.0,384016384,384016384,0
nn.dense-36,128,19643.45580187839,0.0,384454656,384434176,20480
add-35,128,6890.513248273899,0.0,384516096,384516096,0
add-34,128,6839.9708710713385,0.0,384520192,384520192,0
