a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-41,3336,18905.71372694473,0.0,139984896,139984896,0
strided_slice-45,776,3578.7510145072756,0.0,139984896,139984896,0
split-54,0,4790.236323036845,0.0,139984896,139984896,0
split-64,0,4763.997724762957,0.0,139984896,139984896,0
split-76,0,4584.110756142977,0.0,139984896,139984896,0
strided_slice-97,776,3589.3684554653623,0.0,139984896,139984896,0
strided_slice-198,776,3616.3709238156666,0.0,139984896,139984896,0
split-207,0,4778.092667398982,0.0,139984896,139984896,0
split-217,0,4752.126166270783,0.0,139984896,139984896,0
split-229,0,3611.9504466241647,0.0,139984896,139984896,0
strided_slice-250,776,3604.5230972243967,0.0,139984896,139984896,0
squeeze-39,64,6.757067071835947,0.0,139984896,139984896,0
squeeze-112,64,6.378534365999128,0.0,139984896,139984896,0
squeeze-135,64,6.366842010256685,0.0,139984896,139984896,0
squeeze-158,64,6.3992494048984785,0.0,139984896,139984896,0
squeeze-181,64,7.26778727503586,0.0,139984896,139984896,0
split-44,64,3567.288165089798,0.0,139984896,139984896,0
squeeze-52,64,6.398175037719708,0.0,139984896,139984896,0
squeeze-62,64,6.3789252610081,0.0,139984896,139984896,0
split-74,64,7209.748130786986,0.0,139984896,139984896,0
split-96,64,3588.47323310946,0.0,139984896,139984896,0
split-197,64,4667.715029577089,0.0,139984896,139984896,0
squeeze-205,64,6.417569841831645,0.0,139984896,139984896,0
squeeze-215,64,6.378673922508556,0.0,139984896,139984896,0
split-227,64,7284.930080405729,0.0,139984896,139984896,0
split-249,64,3571.616015471866,0.0,139984896,139984896,0
squeeze-42,64,6.401871853096424,0.0,139984896,139984896,0
split-51,64,18768.27542620271,0.0,139984896,139984896,0
split-61,64,16224.357019651328,0.0,139984896,139984896,0
squeeze-72,64,6.350683090290758,0.0,139984896,139984896,0
squeeze-84,64,6.39393299895863,0.0,139984896,139984896,0
squeeze-94,64,6.416420741702897,0.0,139984896,139984896,0
squeeze-195,64,6.394641747201146,0.0,139984896,139984896,0
split-204,64,16215.89402724221,0.0,139984896,139984896,0
split-214,64,16132.882646847576,0.0,139984896,139984896,0
squeeze-225,64,6.403403826958237,0.0,139984896,139984896,0
squeeze-237,64,6.410959022437382,0.0,139984896,139984896,0
squeeze-247,64,6.394077119196452,0.0,139984896,139984896,0
tuple-38,128,6.121689657574066,0.0,139984896,139984896,0
tuple-49,256,7.835381708851773,0.0,139984896,139984896,0
tuple-59,256,7.837697668083064,0.0,139984896,139984896,0
split-71,64,14373.413048217724,0.0,139984896,139984896,0
split-83,64,14371.955319688055,0.0,139984896,139984896,0
tuple-202,256,7.833550073668897,0.0,139984896,139984896,0
tuple-212,256,7.867203988367915,0.0,139984896,139984896,0
split-224,64,14477.817608000656,0.0,139984896,139984896,0
split-236,64,18355.659221647333,0.0,139984896,139984896,0
concatenate-37,128,4668.8582843691665,0.0,139984896,139984896,0
concatenate-48,256,5053.279831695358,0.0,139984896,139984896,0
concatenate-58,256,5051.76351025973,0.0,139984896,139984896,0
tuple-69,256,7.834686217786326,0.0,139984896,139984896,0
tuple-81,256,7.83447967994436,0.0,139984896,139984896,0
concatenate-201,256,5028.1911752875885,0.0,139984896,139984896,0
concatenate-211,256,5042.299785374351,0.0,139984896,139984896,0
tuple-222,256,7.850073615585838,0.0,139984896,139984896,0
tuple-234,256,7.838527448811625,0.0,139984896,139984896,0
tuple-47,128,6.1188740349183925,0.0,139984896,139984896,0
tuple-115,128,6.083181424067988,0.0,139984896,139984896,0
tuple-138,128,6.084925839355183,0.0,139984896,139984896,0
tuple-161,128,6.123051914645803,0.0,139984896,139984896,0
tuple-184,128,6.111170333608262,0.0,139984896,139984896,0
concatenate-68,256,5018.325077743912,0.0,139984896,139984896,0
concatenate-80,256,5011.865181842413,0.0,139984896,139984896,0
tuple-200,128,6.101742842025959,0.0,139984896,139984896,0
tuple-268,128,6.078159635482787,0.0,139984896,139984896,0
tuple-291,128,6.0895345526937845,0.0,139984896,139984896,0
tuple-314,128,6.098972024648608,0.0,139984896,139984896,0
tuple-337,128,6.084545738108056,0.0,139984896,139984896,0
concatenate-221,256,5025.644471428859,0.0,139984896,139984896,0
concatenate-233,256,5009.779494799405,0.0,139984896,139984896,0
concatenate-46,128,5296.208748166003,0.0,139984896,139984896,0
concatenate-114,128,5117.86518961671,0.0,139984896,139984896,0
concatenate-137,128,4961.540102245646,0.0,139984896,139984896,0
concatenate-160,128,4988.64374720191,0.0,139984896,139984896,0
