a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-41,4128,13873.000163662775,0.0,1094713344,1094713344,0
strided_slice-45,768,3405.9941999947273,0.0,1094713344,1094713344,0
split-54,0,3389.9230490951572,0.0,1094713344,1094713344,0
split-64,0,3081.184009612475,0.0,1094713344,1094713344,0
split-76,0,3377.738032287786,0.0,1094713344,1094713344,0
strided_slice-97,768,3395.502466497573,0.0,1094713344,1094713344,0
strided_slice-198,768,3399.7195632635403,0.0,1094713344,1094713344,0
split-207,0,3065.6891810428892,0.0,1094713344,1094713344,0
split-217,0,3002.0792599600545,0.0,1094713344,1094713344,0
split-229,0,3362.009734110144,0.0,1094713344,1094713344,0
strided_slice-250,768,3377.12727344433,0.0,1094713344,1094713344,0
squeeze-39,64,6.925859920878977,0.0,1094713344,1094713344,0
squeeze-112,64,6.964597595893147,0.0,1094713344,1094713344,0
squeeze-135,64,7.041790771493139,0.0,1094713344,1094713344,0
squeeze-158,64,7.094983258449158,0.0,1094713344,1094713344,0
squeeze-181,64,7.317638624196291,0.0,1094713344,1094713344,0
split-44,64,3381.586313168965,0.0,1094713344,1094713344,0
squeeze-52,64,7.296150058958293,0.0,1094713344,1094713344,0
squeeze-62,64,6.9783105702112636,0.0,1094713344,1094713344,0
split-74,64,6356.4584093381645,0.0,1094713344,1094713344,0
split-96,64,3431.4930312589613,0.0,1094713344,1094713344,0
split-197,64,3381.0766244246274,0.0,1094713344,1094713344,0
squeeze-205,64,7.029809160805161,0.0,1094713344,1094713344,0
squeeze-215,64,7.133853301089334,0.0,1094713344,1094713344,0
split-227,64,6206.6544695180255,0.0,1094713344,1094713344,0
split-249,64,3025.189779351987,0.0,1094713344,1094713344,0
squeeze-42,64,7.06109586599192,0.0,1094713344,1094713344,0
split-51,64,11749.975126748102,0.0,1094713344,1094713344,0
split-61,64,11416.08336368754,0.0,1094713344,1094713344,0
squeeze-72,64,6.927826342102125,0.0,1094713344,1094713344,0
squeeze-84,64,7.174042714025407,0.0,1094713344,1094713344,0
squeeze-94,64,6.971243524928551,0.0,1094713344,1094713344,0
squeeze-195,64,6.884943246839708,0.0,1094713344,1094713344,0
split-204,64,11825.411143733712,0.0,1094713344,1094713344,0
split-214,64,11354.09212021408,0.0,1094713344,1094713344,0
squeeze-225,64,7.037234425102872,0.0,1094713344,1094713344,0
squeeze-237,64,7.154286664200351,0.0,1094713344,1094713344,0
squeeze-247,64,7.114907225899982,0.0,1094713344,1094713344,0
tuple-38,128,5.293135824736286,0.0,1094713344,1094713344,0
tuple-49,256,7.235617681667517,0.0,1094713344,1094713344,0
tuple-59,256,7.041530155531235,0.0,1094713344,1094713344,0
split-71,64,11078.886864545751,0.0,1094713344,1094713344,0
split-83,64,11873.756559097466,0.0,1094713344,1094713344,0
tuple-202,256,7.0112559702308035,0.0,1094713344,1094713344,0
tuple-212,256,7.0764717437022115,0.0,1094713344,1094713344,0
split-224,64,11545.591676520826,0.0,1094713344,1094713344,0
split-236,64,11682.7801491681,0.0,1094713344,1094713344,0
concatenate-37,128,3042.035494299527,0.0,1094713344,1094713344,0
concatenate-48,256,3407.9910785918296,0.0,1094713344,1094713344,0
concatenate-58,256,3129.2178361095544,0.0,1094713344,1094713344,0
tuple-69,256,7.24816152115023,0.0,1094713344,1094713344,0
tuple-81,256,7.101074900740021,0.0,1094713344,1094713344,0
concatenate-201,256,3416.06935935324,0.0,1094713344,1094713344,0
concatenate-211,256,3468.46021167634,0.0,1094713344,1094713344,0
tuple-222,256,7.317730883825061,0.0,1094713344,1094713344,0
tuple-234,256,7.220765423862321,0.0,1094713344,1094713344,0
tuple-47,128,5.357105994714599,0.0,1094713344,1094713344,0
tuple-115,128,5.41942741206892,0.0,1094713344,1094713344,0
tuple-138,128,5.358730892465603,0.0,1094713344,1094713344,0
tuple-161,128,5.253395041684134,0.0,1094713344,1094713344,0
tuple-184,128,5.235639504900224,0.0,1094713344,1094713344,0
concatenate-68,256,3364.22501414192,0.0,1094713344,1094713344,0
concatenate-80,256,3366.3421629727222,0.0,1094713344,1094713344,0
tuple-200,128,5.150001822847083,0.0,1094713344,1094713344,0
tuple-268,128,5.280936462049377,0.0,1094713344,1094713344,0
tuple-291,128,5.158228668426508,0.0,1094713344,1094713344,0
tuple-314,128,5.24993648890113,0.0,1094713344,1094713344,0
tuple-337,128,5.337294598548363,0.0,1094713344,1094713344,0
concatenate-221,256,3055.1726416280453,0.0,1094713344,1094713344,0
concatenate-233,256,3128.0223636631663,0.0,1094713344,1094713344,0
concatenate-46,128,3049.767127399482,0.0,1094713344,1094713344,0
concatenate-114,128,3372.6693612880226,0.0,1094713344,1094713344,0
concatenate-137,128,3356.0103636122053,0.0,1094713344,1094713344,0
concatenate-160,128,3068.0414045106954,0.0,1094713344,1094713344,0
concatenate-183,128,3394.000555196153,0.0,1094713344,1094713344,0
concatenate-199,128,3406.0908931582635,0.0,1094713344,1094713344,0
concatenate-267,128,3439.9291642319986,0.0,1094713344,1094713344,0
concatenate-290,128,3377.4567381190154,0.0,1094713344,1094713344,0
concatenate-313,128,3355.905141995333,0.0,1094713344,1094713344,0
concatenate-336,128,3379.9963296582555,0.0,1094713344,1094713344,0
nn.dense-36,128,3092.859127286337,0.0,1094713344,1094713344,0
add-35,128,3372.501720134899,0.0,1094713344,1094713344,0
add-34,128,2990.9825836021046,0.0,1094713344,1094713344,0
split-33,64,11374.385693421074,0.0,1094713344,1094713344,0
sigmoid-31,64,2984.177018835951,0.0,1094713344,1094713344,0
sigmoid-92,64,3336.191064130641,0.0,1094713344,1094713344,0
sigmoid-99,64,3415.8905706971063,0.0,1094713344,1094713344,0
tanh-101,64,3059.870791012081,0.0,1094713344,1094713344,0
multiply-91,128,3350.402242727687,0.0,1094713344,1094713344,0
multiply-98,128,3375.5597118296955,0.0,1094713344,1094713344,0
add-90,128,3408.1691107696415,0.0,1094713344,1094713344,0
tanh-89,64,3409.675954452361,0.0,1094713344,1094713344,0
multiply-30,128,3416.8191083138017,0.0,1094713344,1094713344,0
tuple-111,128,5.295575543387718,0.0,1094713344,1094713344,0
concatenate-110,128,3352.6224414865333,0.0,1094713344,1094713344,0
nn.dense-109,128,3357.0363188217716,0.0,1094713344,1094713344,0
add-108,128,3068.3006428589297,0.0,1094713344,1094713344,0
add-107,128,3413.491519728497,0.0,1094713344,1094713344,0
split-106,64,11209.610931999869,0.0,1094713344,1094713344,0
sigmoid-104,64,3394.8976891515554,0.0,1094713344,1094713344,0
sigmoid-119,64,2988.365623133863,0.0,1094713344,1094713344,0
sigmoid-122,64,3328.861326978206,0.0,1094713344,1094713344,0
tanh-124,64,2962.876614147035,0.0,1094713344,1094713344,0
multiply-118,128,3028.199817570497,0.0,1094713344,1094713344,0
multiply-121,128,3029.466075844342,0.0,1094713344,1094713344,0
add-117,128,3313.888113764422,0.0,1094713344,1094713344,0
tanh-116,64,3004.71717611742,0.0,1094713344,1094713344,0
multiply-103,128,3027.933806291655,0.0,1094713344,1094713344,0
tuple-134,128,5.5130784039239344,0.0,1094713344,1094713344,0
concatenate-133,128,3367.4580876633963,0.0,1094713344,1094713344,0
nn.dense-132,128,3101.154993498272,0.0,1094713344,1094713344,0
add-131,128,3393.2313266518986,0.0,1094713344,1094713344,0
add-130,128,3363.197961017476,0.0,1094713344,1094713344,0
split-129,64,11518.688028740295,0.0,1094713344,1094713344,0
sigmoid-127,64,3365.985260557783,0.0,1094713344,1094713344,0
sigmoid-142,64,3005.0759000959124,0.0,1094713344,1094713344,0
sigmoid-145,64,3322.6051880240752,0.0,1094713344,1094713344,0
tanh-147,64,3320.828354278619,0.0,1094713344,1094713344,0
multiply-141,128,3370.966597750796,0.0,1094713344,1094713344,0
multiply-144,128,2985.968481796329,0.0,1094713344,1094713344,0
add-140,128,3418.272025633696,0.0,1094713344,1094713344,0
tanh-139,64,3086.04400929421,0.0,1094713344,1094713344,0
multiply-126,128,3350.341383493546,0.0,1094713344,1094713344,0
tuple-157,128,5.3481952952393,0.0,1094713344,1094713344,0
concatenate-156,128,3371.8979639133986,0.0,1094713344,1094713344,0
nn.dense-155,128,3350.930948984152,0.0,1094713344,1094713344,0
