a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-41,736,19257.979213239458,0.0,247595008,0,247595008
strided_slice-45,616,3926.1484249606056,0.0,247595008,247595008,0
split-54,0,4010.6878046100987,0.0,247595008,247595008,0
split-64,0,4941.295844656356,0.0,247595008,247595008,0
split-76,0,3809.2034476873187,0.0,247595008,247595008,0
strided_slice-97,616,3949.4394128422978,0.0,247595008,247595008,0
strided_slice-198,616,3914.1558017194284,0.0,247595008,247595008,0
split-207,0,4946.755818778156,0.0,247595008,247595008,0
split-217,0,4928.560602368537,0.0,247595008,247595008,0
split-229,0,3950.162974534492,0.0,247595008,247595008,0
strided_slice-250,616,4592.828383866418,0.0,247595008,247595008,0
squeeze-39,64,6.298880972476154,0.0,247595008,247595008,0
squeeze-112,64,6.264916747625785,0.0,247595008,247595008,0
squeeze-135,64,6.31312773136975,0.0,247595008,247595008,0
squeeze-158,64,6.286610152908696,0.0,247595008,247595008,0
squeeze-181,64,6.28964615515806,0.0,247595008,247595008,0
split-44,64,3955.12704477989,0.0,247595008,247595008,0
squeeze-52,64,6.2983698961771655,0.0,247595008,247595008,0
squeeze-62,64,6.304749892743041,0.0,247595008,247595008,0
split-74,64,7890.706313954521,0.0,247595008,247595008,0
split-96,64,3966.4528543118317,0.0,247595008,247595008,0
split-197,64,3987.0854375648564,0.0,247595008,247595008,0
squeeze-205,64,6.279814458963665,0.0,247595008,247595008,0
squeeze-215,64,6.287007472424211,0.0,247595008,247595008,0
split-227,64,7686.6443599010845,0.0,247595008,247595008,0
split-249,64,3991.5982057568617,0.0,247595008,247595008,0
squeeze-42,64,6.3263103694330045,0.0,247595008,247595008,0
split-51,64,15300.322664540503,0.0,247595008,247595008,0
split-61,64,15420.426879315375,0.0,247595008,247595008,0
squeeze-72,64,6.290418733275837,0.0,247595008,247595008,0
squeeze-84,64,6.353758393788189,0.0,247595008,247595008,0
squeeze-94,64,6.261666357066363,0.0,247595008,247595008,0
squeeze-195,64,6.2698746803408,0.0,247595008,247595008,0
split-204,64,15251.24191434868,0.0,247595008,247595008,0
split-214,64,15426.35438208249,0.0,247595008,247595008,0
squeeze-225,64,6.3272991281516076,0.0,247595008,247595008,0
