a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
split-155,4928,6537.515064122231,0.0,1184092160,1183694848,397312
strided_slice-159,2688,11319.838342810724,0.0,1184227328,1184227328,0
split-168,0,6703.54841298796,0.0,1184235520,1184235520,0
split-178,0,6478.4261763045815,0.0,1184239616,1184239616,0
split-190,0,29.528188070240535,0.0,1184366592,1184366592,0
strided_slice-211,2688,6293.7626898317885,0.0,1184370688,1184370688,0
strided_slice-427,2688,6300.5052988950565,0.0,1184378880,1184370688,8192
split-436,0,6431.793677055278,0.0,1184382976,1184378880,4096
split-446,0,6382.220370581745,0.0,1184382976,1184382976,0
split-458,0,29.892498138594437,0.0,1184387072,1184382976,4096
strided_slice-479,2688,6231.870271357716,0.0,1184391168,1184387072,4096
strided_slice-695,2688,6261.8343159788155,0.0,1184391168,1184391168,0
split-704,0,6326.659952167084,0.0,1184391168,1184391168,0
split-714,0,6390.314510859725,0.0,1184395264,1184395264,0
split-726,0,28.85998107939628,0.0,1184399360,1184399360,0
strided_slice-747,2688,6237.046549117611,0.0,1184399360,1184399360,0
strided_slice-963,2688,6247.736592922012,0.0,1184403456,1184399360,4096
split-972,0,6439.311641516427,0.0,1184403456,1184403456,0
split-982,0,6364.873881177843,0.0,1184403456,1184403456,0
split-994,0,31.74677245271768,0.0,1184403456,1184403456,0
strided_slice-1015,2688,6256.978716979963,0.0,1184403456,1184403456,0
strided_slice-1231,2688,6257.588741409565,0.0,1184403456,1184403456,0
split-1240,0,6368.633754567601,0.0,1184403456,1184403456,0
split-1250,0,6370.863792972411,0.0,1184407552,1184403456,4096
split-1262,0,30.79702301755894,0.0,1184411648,1184411648,0
strided_slice-1283,2688,6242.212017263746,0.0,1184415744,1184415744,0
strided_slice-1499,2688,6270.435556278058,0.0,1184415744,1184415744,0
split-1508,0,6351.5174008827835,0.0,1184419840,1184419840,0
split-1518,0,6361.3344943763295,0.0,1184419840,1184419840,0
split-1530,0,30.03296294550217,0.0,1184419840,1184419840,0
strided_slice-1551,2688,11396.562915218445,0.0,1184423936,1184419840,4096
strided_slice-1767,2688,6239.6125468442015,0.0,1184432128,1184432128,0
split-1776,0,11745.292102416157,0.0,1184436224,1184432128,4096
split-1786,0,11751.846283783783,0.0,1184440320,1184436224,4096
split-1798,0,28.889055154938255,0.0,1184440320,1184440320,0
strided_slice-1819,2688,11424.0575667788,0.0,1184444416,1184440320,4096
strided_slice-2035,2688,11461.676242218948,0.0,1184444416,1184444416,0
split-2044,0,11658.571580736545,0.0,1184444416,1184444416,0
split-2054,0,6353.505595181993,0.0,1184444416,1184444416,0
split-2066,0,31.26252059650151,0.0,1184444416,1184444416,0
strided_slice-2087,2688,11550.069883672713,0.0,1184448512,1184444416,4096
squeeze-153,64,6.989185800188828,0.0,1184448512,1184448512,0
squeeze-226,64,7.09300549646345,0.0,1184448512,1184448512,0
squeeze-249,64,7.105544838808432,0.0,1184448512,1184448512,0
squeeze-272,64,6.913600632575224,0.0,1184448512,1184448512,0
squeeze-295,64,6.850152559275832,0.0,1184456704,1184448512,8192
squeeze-318,64,6.7018860211823394,0.0,1184456704,1184456704,0
squeeze-341,64,7.066368806354501,0.0,1184456704,1184456704,0
squeeze-364,64,6.761225042674173,0.0,1184456704,1184456704,0
squeeze-387,64,7.067814860690904,0.0,1184460800,1184460800,0
squeeze-410,64,6.956447055568752,0.0,1184464896,1184464896,0
split-158,64,7481.710408254823,0.0,1184464896,1184464896,0
squeeze-166,64,6.944523384295895,0.0,1184464896,1184464896,0
squeeze-176,64,7.326482366030524,0.0,1184464896,1184464896,0
split-188,64,35.15199074973321,0.0,1184464896,1184464896,0
split-210,64,7446.175325156832,0.0,1184464896,1184464896,0
split-426,64,7503.235962735689,0.0,1184464896,1184464896,0
squeeze-434,64,6.3067657804865656,0.0,1184464896,1184464896,0
squeeze-444,64,7.13480504602997,0.0,1184464896,1184464896,0
split-456,64,35.72469126353559,0.0,1184464896,1184464896,0
split-478,64,7430.638974023547,0.0,1184464896,1184464896,0
split-694,64,7455.9533862347225,0.0,1184477184,1184477184,0
squeeze-702,64,6.785227607571281,0.0,1184477184,1184477184,0
squeeze-712,64,6.298551651959013,0.0,1184477184,1184477184,0
split-724,64,34.641932705824935,0.0,1184481280,1184477184,4096
split-746,64,7428.774194983099,0.0,1184477184,1184477184,0
split-962,64,7451.1664088989355,0.0,1184477184,1184477184,0
