a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
split-41,3336,8722.403353466792,0.0,387997696,387530752,466944
strided_slice-45,776,8315.78431372549,0.0,388186112,388186112,0
split-54,0,9433.032015824754,0.0,388190208,388190208,0
split-64,0,7806.155955719557,0.0,388190208,388190208,0
split-76,0,28.976736739234557,0.0,388321280,388321280,0
strided_slice-97,776,7639.9344010018685,0.0,388329472,388321280,8192
strided_slice-543,776,7614.937256906001,0.0,388329472,388329472,0
split-552,0,7819.422940053035,0.0,388337664,388329472,8192
split-562,0,7812.864745793469,0.0,388341760,388337664,4096
split-574,0,29.741544007073596,0.0,388341760,388341760,0
strided_slice-595,776,7634.279074827357,0.0,388345856,388341760,4096
squeeze-39,64,6.373743611566135,0.0,388345856,388345856,0
squeeze-112,64,6.330212637088683,0.0,388349952,388349952,0
squeeze-135,64,6.394751042825345,0.0,388354048,388349952,4096
squeeze-158,64,6.405073532478873,0.0,388354048,388354048,0
squeeze-181,64,6.3884470602999555,0.0,388358144,388358144,0
squeeze-204,64,6.379120544577243,0.0,388358144,388358144,0
squeeze-227,64,6.370559170378346,0.0,388358144,388358144,0
squeeze-250,64,6.3287319803850925,0.0,388366336,388358144,8192
squeeze-273,64,6.361589511301775,0.0,388366336,388366336,0
squeeze-296,64,6.3525997426407965,0.0,388370432,388366336,4096
squeeze-319,64,6.396489302289988,0.0,388370432,388370432,0
squeeze-342,64,6.381270604976254,0.0,388370432,388370432,0
squeeze-365,64,6.383738053911908,0.0,388370432,388370432,0
squeeze-388,64,6.367609005140139,0.0,388378624,388378624,0
squeeze-411,64,6.414408438734011,0.0,388378624,388378624,0
squeeze-434,64,6.409895760674164,0.0,388382720,388382720,0
squeeze-457,64,6.376627578822466,0.0,388382720,388382720,0
squeeze-480,64,6.378449340242496,0.0,388386816,388386816,0
squeeze-503,64,6.360942032850364,0.0,388390912,388386816,4096
