a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-41,4936,112670.18151700088,0.0,139984896,139984896,0
strided_slice-45,776,3732.4953198385147,0.0,139984896,139984896,0
split-54,0,3808.797474304187,0.0,139984896,139984896,0
split-64,0,4357.751021763147,0.0,139984896,139984896,0
split-76,0,3729.9845868117613,0.0,139984896,139984896,0
strided_slice-97,776,3744.4765790198426,0.0,139984896,139984896,0
strided_slice-773,776,3733.977818618788,0.0,139984896,139984896,0
split-782,0,4283.3184295852025,0.0,139984896,139984896,0
split-792,0,4193.116675398156,0.0,139984896,139984896,0
split-804,0,3726.770751248319,0.0,139984896,139984896,0
strided_slice-825,776,3740.128015950268,0.0,139984896,139984896,0
squeeze-39,64,6.432244182869952,0.0,139984896,139984896,0
squeeze-112,64,6.4597114204376,0.0,139984896,139984896,0
squeeze-135,64,6.456851325210645,0.0,139984896,139984896,0
squeeze-158,64,6.3790440526890855,0.0,139984896,139984896,0
squeeze-181,64,6.390812084128669,0.0,139984896,139984896,0
squeeze-204,64,6.4108805767467105,0.0,139984896,139984896,0
squeeze-227,64,6.456041149584755,0.0,139984896,139984896,0
squeeze-250,64,6.466525896371172,0.0,139984896,139984896,0
squeeze-273,64,6.280059452711303,0.0,139984896,139984896,0
squeeze-296,64,6.394235850482503,0.0,139984896,139984896,0
squeeze-319,64,6.305180173461432,0.0,139984896,139984896,0
squeeze-342,64,6.469066983381704,0.0,139984896,139984896,0
squeeze-365,64,6.422745536677813,0.0,139984896,139984896,0
squeeze-388,64,6.438010668320873,0.0,139984896,139984896,0
squeeze-411,64,6.452178619568732,0.0,139984896,139984896,0
squeeze-434,64,6.430472563744202,0.0,139984896,139984896,0
squeeze-457,64,6.432120949528698,0.0,139984896,139984896,0
squeeze-480,64,6.396325066419234,0.0,139984896,139984896,0
squeeze-503,64,6.404581459195043,0.0,139984896,139984896,0
squeeze-526,64,6.405820789939008,0.0,139984896,139984896,0
squeeze-549,64,6.474613352334382,0.0,139984896,139984896,0
squeeze-572,64,6.443451408977214,0.0,139984896,139984896,0
