a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
nn.conv2d-107,602264,234632.24702121477,0.0,139984896,139984896,0
multiply-114,0,4697.381444973689,0.0,139984896,139984896,0
nn.bias_add-106,64,40127.45705139605,0.0,139984896,139984896,0
nn.relu-105,64,38360.551215327425,0.0,139984896,139984896,0
nn.max_pool2d-104,64,30460.606963584916,0.0,139984896,139984896,0
nn.conv2d-103,64,144281.46528841244,0.0,144703488,144703488,0
nn.bias_add-102,64,13639.107350274617,0.0,144703488,144703488,0
nn.relu-101,64,13178.788692525439,0.0,144703488,144703488,0
nn.conv2d-100,64,144207.64886640434,0.0,144703488,144703488,0
nn.bias_add-99,64,13588.682509252601,0.0,144703488,144703488,0
add-98,128,19259.440581457668,0.0,144703488,144703488,0
nn.relu-97,64,12649.03511743736,0.0,144703488,144703488,0
nn.conv2d-96,64,144315.36010362697,0.0,144703488,144703488,0
nn.bias_add-95,64,13508.950591439887,0.0,144703488,144703488,0
nn.relu-94,64,12688.700040576183,0.0,144703488,144703488,0
nn.conv2d-93,64,144173.99793984342,0.0,144703488,144703488,0
nn.bias_add-92,64,13592.98189289842,0.0,144703488,144703488,0
add-91,128,19269.38134835183,0.0,144703488,144703488,0
nn.relu-90,64,12693.414336872529,0.0,144703488,144703488,0
nn.conv2d-89,64,185399.87411095304,0.0,144703488,144703488,0
nn.conv2d-109,64,37186.971361433396,0.0,144703488,144703488,0
nn.bias_add-88,64,8431.265851283286,0.0,144703488,144703488,0
nn.bias_add-108,64,7827.294957049647,0.0,144703488,144703488,0
nn.relu-87,64,6966.44266344244,0.0,144703488,144703488,0
nn.conv2d-86,64,169701.39405714284,0.0,145358848,145358848,0
nn.bias_add-85,64,7806.522863474624,0.0,145358848,145358848,0
add-84,128,8459.115141318976,0.0,145358848,145358848,0
nn.relu-83,64,6875.715234063608,0.0,145358848,145358848,0
nn.conv2d-82,64,169771.6104918033,0.0,145358848,145358848,0
nn.bias_add-81,64,7826.669289737171,0.0,145358848,145358848,0
nn.relu-80,64,7722.319998854864,0.0,145358848,145358848,0
nn.conv2d-79,64,169727.6502251769,0.0,145358848,145358848,0
nn.bias_add-78,64,8453.164153630292,0.0,145358848,145358848,0
add-77,128,8525.709850670823,0.0,145358848,145358848,0
nn.relu-76,64,6883.25815950245,0.0,145358848,145358848,0
nn.conv2d-75,64,214238.5934371524,0.0,145358848,145358848,0
nn.conv2d-111,64,44453.513096662675,0.0,145358848,145358848,0
nn.bias_add-74,64,6662.805666479654,0.0,145358848,145358848,0
nn.bias_add-110,64,6656.979923533989,0.0,145358848,145358848,0
nn.relu-73,64,5295.188687825876,0.0,145358848,145358848,0
nn.conv2d-72,64,251609.29173367645,0.0,147718144,147718144,0
nn.bias_add-71,64,6652.179747441795,0.0,147718144,147718144,0
add-70,128,6543.290033123041,0.0,147718144,147718144,0
nn.relu-69,64,5399.3935328258085,0.0,147718144,147718144,0
nn.conv2d-68,64,251593.09433364985,0.0,147718144,147718144,0
nn.bias_add-67,64,6724.162912467065,0.0,147718144,147718144,0
nn.relu-66,64,5305.889949639862,0.0,147718144,147718144,0
nn.conv2d-65,64,251622.2069961489,0.0,147718144,147718144,0
nn.bias_add-64,64,6663.112743635642,0.0,147718144,147718144,0
add-63,128,6528.385282505987,0.0,147718144,147718144,0
nn.relu-62,64,5390.460125118636,0.0,147718144,147718144,0
nn.conv2d-61,64,404468.65454545454,0.0,147718144,147718144,0
nn.conv2d-113,64,65389.81141884019,0.0,147718144,147718144,0
nn.bias_add-60,64,4997.494530126457,0.0,147718144,147718144,0
nn.bias_add-112,64,4870.614622394063,0.0,147718144,147718144,0
nn.relu-59,64,5048.81202525681,0.0,147718144,147718144,0
nn.conv2d-58,64,402583.05566700106,0.0,160301056,160301056,0
nn.bias_add-57,64,4902.223035750846,0.0,160301056,160301056,0
add-56,128,4763.9247268813515,0.0,160301056,160301056,0
nn.relu-55,64,5070.651106331055,0.0,160301056,160301056,0
nn.conv2d-54,64,402536.874297394,0.0,160301056,160301056,0
nn.bias_add-53,64,5668.537529142805,0.0,160301056,160301056,0
nn.relu-52,64,5186.086065810873,0.0,160301056,160301056,0
nn.conv2d-51,64,403656.0657759507,0.0,160301056,160301056,0
nn.bias_add-50,64,4925.063442925611,0.0,160301056,160301056,0
add-49,128,4744.113521797957,0.0,160301056,160301056,0
nn.relu-48,64,5076.276079432295,0.0,160301056,160301056,0
nn.global_avg_pool2d-47,64,10248.594096431285,0.0,160301056,160301056,0
nn.batch_flatten-46,64,3971.5604587792313,0.0,160301056,160301056,0
nn.batch_flatten-45,64,3907.1439182647146,0.0,160301056,160301056,0
nn.dense-44,64,19088.19072718399,0.0,160301056,160301056,0
add-43,128,4864.165324804235,0.0,160301056,160301056,0
