a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
nn.conv2d-64,602264,149870.37650252035,0.0,247595008,0,247595008
multiply-65,0,4835.71880548051,0.0,247595008,247595008,0
multiply-66,0,4818.1856804353265,0.0,247595008,247595008,0
multiply-67,0,4708.927297719698,0.0,247595008,247595008,0
nn.bias_add-63,64,148000.55065738593,0.0,247595008,247595008,0
nn.relu-62,64,144228.63002430362,0.0,247595008,247595008,0
nn.max_pool2d-61,64,98914.41225961536,0.0,247595008,247595008,0
nn.conv2d-60,64,624513.0430359937,0.0,270663680,247595008,23068672
nn.bias_add-59,64,72028.57157107232,0.0,270663680,270663680,0
nn.relu-58,64,71185.08150261531,0.0,270663680,270663680,0
nn.max_pool2d-57,64,53154.20028462288,0.0,270663680,270663680,0
nn.conv2d-56,64,613153.4512383901,0.0,276824064,270663680,6160384
nn.bias_add-55,64,40104.42901651872,0.0,276824064,276824064,0
nn.relu-54,64,38536.20219609583,0.0,276824064,276824064,0
nn.conv2d-53,64,1039234.584832905,0.0,276824064,276824064,0
nn.bias_add-52,64,40125.07495191764,0.0,276824064,276824064,0
nn.relu-51,64,38528.66371031522,0.0,276824064,276824064,0
nn.max_pool2d-50,64,29634.127453222925,0.0,276824064,276824064,0
nn.conv2d-49,64,875125.4514348785,0.0,276824064,276824064,0
nn.bias_add-48,64,25886.060482074132,0.0,276824064,276824064,0
nn.relu-47,64,24112.66810171401,0.0,276824064,276824064,0
nn.conv2d-46,64,1431259.394265233,0.0,279052288,276824064,2228224
nn.bias_add-45,64,25885.21505117399,0.0,279052288,279052288,0
nn.relu-44,64,24110.825592712266,0.0,279052288,279052288,0
nn.max_pool2d-43,64,17922.360835788913,0.0,279052288,279052288,0
nn.conv2d-42,64,766081.2519230769,0.0,279052288,279052288,0
nn.bias_add-41,64,8050.284678817696,0.0,279052288,279052288,0
nn.relu-40,64,7421.871051711768,0.0,279052288,279052288,0
nn.conv2d-39,64,768124.6312594842,0.0,279052288,279052288,0
nn.bias_add-38,64,8048.515868741066,0.0,279052288,279052288,0
nn.relu-37,64,7590.946204642164,0.0,279052288,279052288,0
nn.max_pool2d-36,64,6068.605310678317,0.0,279052288,279052288,0
nn.avg_pool2d-35,64,5272.655310699777,0.0,279052288,279052288,0
nn.batch_flatten-34,64,4994.07986825447,0.0,279052288,279052288,0
nn.batch_flatten-33,64,4995.202075309167,0.0,279052288,279052288,0
nn.dense-32,64,2454392.3810975607,0.0,279052288,279052288,0
add-31,128,4984.811243496199,0.0,279052288,279052288,0
nn.relu-30,64,4833.84783365234,0.0,279052288,279052288,0
nn.batch_flatten-29,64,4804.113787407322,0.0,279052288,279052288,0
nn.dense-28,64,376129.37901701324,0.0,279052288,279052288,0
add-27,128,5002.436098789114,0.0,279052288,279052288,0
nn.relu-26,64,4826.950235275967,0.0,279052288,279052288,0
nn.batch_flatten-25,64,4791.207556737724,0.0,279052288,279052288,0
nn.dense-24,64,97818.28503040496,0.0,279052288,279052288,0
add-23,128,4817.874022421698,0.0,279052288,279052288,0
