a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
nn.conv2d-694,2076824,326895.2990538873,0.0,139984896,139984896,0
nn.batch_norm-693,64,387307.1124031007,0.0,139984896,139984896,0
nn.leaky_relu-691,64,249769.7303155881,0.0,139984896,139984896,0
nn.conv2d-690,64,1837245.4999999998,0.0,139984896,139984896,0
nn.batch_norm-689,64,207304.38365282217,0.0,139984896,139984896,0
nn.leaky_relu-687,64,122784.54202483284,0.0,139984896,139984896,0
nn.conv2d-686,64,238453.5628815629,0.0,139984896,139984896,0
nn.batch_norm-685,64,104084.64210671828,0.0,139984896,139984896,0
nn.leaky_relu-683,64,61273.162242894934,0.0,139984896,139984896,0
nn.conv2d-682,64,1243305.8784119107,0.0,139984896,139984896,0
nn.batch_norm-681,64,207240.0222101842,0.0,139984896,139984896,0
nn.leaky_relu-679,64,122779.51725239617,0.0,139984896,139984896,0
add-678,128,197127.18786642875,0.0,139984896,139984896,0
nn.conv2d-677,64,7579259.6060606055,0.0,139984896,139984896,0
nn.batch_norm-676,64,104215.60327455918,0.0,139984896,139984896,0
nn.leaky_relu-674,64,61284.995928062446,0.0,139984896,139984896,0
nn.conv2d-673,64,207456.98233020428,0.0,139984896,139984896,0
nn.batch_norm-672,64,56631.71038908944,0.0,139984896,139984896,0
nn.leaky_relu-670,64,35496.322306086404,0.0,139984896,139984896,0
nn.conv2d-669,64,1452217.4265129683,0.0,139984896,139984896,0
nn.batch_norm-668,64,104224.92661179698,0.0,139984896,139984896,0
nn.leaky_relu-666,64,61275.369479291985,0.0,139984896,139984896,0
add-665,128,98836.299637048,0.0,139984896,139984896,0
nn.conv2d-664,64,207499.70428118392,0.0,139984896,139984896,0
nn.batch_norm-663,64,56727.37732506644,0.0,139984896,139984896,0
nn.leaky_relu-661,64,35492.79757324652,0.0,139984896,139984896,0
nn.conv2d-660,64,1451180.156069364,0.0,139984896,139984896,0
nn.batch_norm-659,64,104236.20184751137,0.0,139984896,139984896,0
nn.leaky_relu-657,64,61045.39095519865,0.0,139984896,139984896,0
add-656,128,98852.09138715178,0.0,139984896,139984896,0
nn.conv2d-655,64,5700021.590909091,0.0,139984896,139984896,0
nn.batch_norm-654,64,57128.834469728085,0.0,139984896,139984896,0
nn.leaky_relu-652,64,35508.554477817575,0.0,139984896,139984896,0
nn.conv2d-651,64,249430.85467579012,0.0,139984896,139984896,0
nn.batch_norm-650,64,31840.441136931055,0.0,139984896,139984896,0
nn.leaky_relu-648,64,21931.85722244921,0.0,139984896,139984896,0
nn.conv2d-647,64,2552250.615873016,0.0,139984896,139984896,0
nn.batch_norm-646,64,57513.23589533934,0.0,139984896,139984896,0
nn.leaky_relu-644,64,35504.42590847209,0.0,139984896,139984896,0
add-643,128,51179.74555792467,0.0,139984896,139984896,0
nn.conv2d-642,64,249384.85319351763,0.0,139984896,139984896,0
nn.batch_norm-641,64,31846.864471669214,0.0,139984896,139984896,0
nn.leaky_relu-639,64,21903.807627056136,0.0,139984896,139984896,0
nn.conv2d-638,64,2546903.6532663316,0.0,139984896,139984896,0
nn.batch_norm-637,64,57127.672587883324,0.0,139984896,139984896,0
nn.leaky_relu-635,64,35851.91985270227,0.0,139984896,139984896,0
add-634,128,51177.34487330583,0.0,139984896,139984896,0
nn.conv2d-633,64,249429.1208687441,0.0,139984896,139984896,0
nn.batch_norm-632,64,31851.52720073765,0.0,139984896,139984896,0
nn.leaky_relu-630,64,21907.34797105562,0.0,139984896,139984896,0
nn.conv2d-629,64,2548825.7697160887,0.0,139984896,139984896,0
nn.batch_norm-628,64,57114.39039498028,0.0,139984896,139984896,0
nn.leaky_relu-626,64,35849.9272892403,0.0,139984896,139984896,0
add-625,128,51438.54926054006,0.0,139984896,139984896,0
nn.conv2d-624,64,249480.68135376758,0.0,139984896,139984896,0
nn.batch_norm-623,64,31855.79524347698,0.0,139984896,139984896,0
nn.leaky_relu-621,64,21909.4251448747,0.0,139984896,139984896,0
nn.conv2d-620,64,2544197.1261829655,0.0,139984896,139984896,0
nn.batch_norm-619,64,57142.949947945875,0.0,139984896,139984896,0
nn.leaky_relu-617,64,35865.92867285636,0.0,139984896,139984896,0
add-616,128,51184.94095779575,0.0,139984896,139984896,0
nn.conv2d-615,64,249440.48063492068,0.0,139984896,139984896,0
nn.batch_norm-614,64,31844.298708341554,0.0,139984896,139984896,0
nn.leaky_relu-612,64,21908.1051173889,0.0,139984896,139984896,0
nn.conv2d-611,64,2548472.9497487433,0.0,139984896,139984896,0
nn.batch_norm-610,64,57148.24243116646,0.0,139984896,139984896,0
nn.leaky_relu-608,64,35520.296634615384,0.0,139984896,139984896,0
add-607,128,51188.546336835956,0.0,139984896,139984896,0
nn.conv2d-606,64,249530.4088030399,0.0,139984896,139984896,0
nn.batch_norm-605,64,31842.08346324499,0.0,139984896,139984896,0
nn.leaky_relu-603,64,21917.545808223364,0.0,139984896,139984896,0
nn.conv2d-602,64,2549785.2944162437,0.0,139984896,139984896,0
nn.batch_norm-601,64,57143.73143622892,0.0,139984896,139984896,0
nn.leaky_relu-599,64,35864.87199070231,0.0,139984896,139984896,0
add-598,128,51187.985406277505,0.0,139984896,139984896,0
nn.conv2d-597,64,249544.89913266944,0.0,139984896,139984896,0
nn.batch_norm-596,64,31854.18493224932,0.0,139984896,139984896,0
nn.leaky_relu-594,64,21912.904935470673,0.0,139984896,139984896,0
nn.conv2d-593,64,2545662.217948718,0.0,139984896,139984896,0
nn.batch_norm-592,64,57139.999759634644,0.0,139984896,139984896,0
nn.leaky_relu-590,64,35502.557424691215,0.0,139984896,139984896,0
add-589,128,51179.69659283244,0.0,139984896,139984896,0
nn.conv2d-588,64,249516.8373801917,0.0,139984896,139984896,0
nn.batch_norm-587,64,31847.4270047638,0.0,139984896,139984896,0
nn.leaky_relu-585,64,21913.31769141748,0.0,139984896,139984896,0
nn.conv2d-584,64,2548658.7192429015,0.0,139984896,139984896,0
nn.batch_norm-583,64,57141.934281627466,0.0,139984896,139984896,0
nn.leaky_relu-581,64,35544.211024354925,0.0,139984896,139984896,0
add-580,128,51185.55837044607,0.0,139984896,139984896,0
nn.conv2d-579,64,37628479.71428572,0.0,139984896,139984896,0
nn.batch_norm-578,64,32635.322298499865,0.0,139984896,139984896,0
nn.leaky_relu-576,64,21916.48324137672,0.0,139984896,139984896,0
nn.conv2d-575,64,302344.52475247526,0.0,139984896,139984896,0
nn.batch_norm-574,64,17090.209960906464,0.0,139984896,139984896,0
nn.leaky_relu-572,64,9862.754482253933,0.0,139984896,139984896,0
nn.conv2d-571,64,12985541.575,0.0,139984896,139984896,0
nn.batch_norm-570,64,32647.37824781303,0.0,139984896,139984896,0
nn.leaky_relu-568,64,21904.397138704,0.0,139984896,139984896,0
add-567,128,29346.75990588235,0.0,139984896,139984896,0
nn.conv2d-566,64,302389.7146792601,0.0,139984896,139984896,0
nn.batch_norm-565,64,17115.167504703266,0.0,139984896,139984896,0
nn.leaky_relu-563,64,9864.547113907382,0.0,139984896,139984896,0
nn.conv2d-562,64,12920234.871794874,0.0,139984896,139984896,0
nn.batch_norm-561,64,32644.066710301075,0.0,139984896,139984896,0
nn.leaky_relu-559,64,21916.857325576602,0.0,139984896,139984896,0
add-558,128,29351.6388229927,0.0,139984896,139984896,0
nn.conv2d-557,64,302760.3833017078,0.0,139984896,139984896,0
nn.batch_norm-556,64,17063.948072935724,0.0,139984896,139984896,0
nn.leaky_relu-554,64,9899.242349867385,0.0,139984896,139984896,0
nn.conv2d-553,64,12976028.256410256,0.0,139984896,139984896,0
nn.batch_norm-552,64,32648.814867472327,0.0,139984896,139984896,0
nn.leaky_relu-550,64,22272.365261763785,0.0,139984896,139984896,0
add-549,128,29340.883901279296,0.0,139984896,139984896,0
nn.conv2d-548,64,302624.8790999237,0.0,139984896,139984896,0
nn.batch_norm-547,64,17186.65703330481,0.0,139984896,139984896,0
nn.leaky_relu-545,64,9940.022830143731,0.0,139984896,139984896,0
nn.conv2d-544,64,12937592.051282052,0.0,139984896,139984896,0
nn.batch_norm-543,64,32639.068274713627,0.0,139984896,139984896,0
nn.leaky_relu-541,64,22216.648912749606,0.0,139984896,139984896,0
add-540,128,29354.650871766025,0.0,139984896,139984896,0
nn.conv2d-539,64,302747.40061045403,0.0,139984896,139984896,0
nn.batch_norm-538,64,17012.7545593188,0.0,139984896,139984896,0
nn.leaky_relu-536,64,9892.227893843055,0.0,139984896,139984896,0
nn.conv2d-535,64,12946432.53846154,0.0,139984896,139984896,0
nn.batch_norm-534,64,32675.240047183717,0.0,139984896,139984896,0
nn.leaky_relu-532,64,21919.32099522537,0.0,139984896,139984896,0
add-531,128,29357.247828128668,0.0,139984896,139984896,0
nn.conv2d-530,64,302943.72958397534,0.0,139984896,139984896,0
nn.batch_norm-529,64,17249.178087397086,0.0,139984896,139984896,0
nn.leaky_relu-527,64,9972.313867799507,0.0,139984896,139984896,0
nn.conv2d-526,64,12927788.76923077,0.0,139984896,139984896,0
nn.batch_norm-525,64,32650.344472870693,0.0,139984896,139984896,0
nn.leaky_relu-523,64,21913.72690777577,0.0,139984896,139984896,0
add-522,128,29353.25178101841,0.0,139984896,139984896,0
nn.conv2d-521,64,303201.69126738794,0.0,139984896,139984896,0
nn.batch_norm-520,64,17063.673444446787,0.0,139984896,139984896,0
nn.leaky_relu-518,64,9919.564016387409,0.0,139984896,139984896,0
nn.conv2d-517,64,12973055.512820512,0.0,139984896,139984896,0
nn.batch_norm-516,64,32637.93908549127,0.0,139984896,139984896,0
nn.leaky_relu-514,64,21916.504526385514,0.0,139984896,139984896,0
add-513,128,29374.631769623782,0.0,139984896,139984896,0
nn.conv2d-512,64,302645.32988901646,0.0,139984896,139984896,0
nn.batch_norm-511,64,17047.542816365363,0.0,139984896,139984896,0
nn.leaky_relu-509,64,9908.98564725912,0.0,139984896,139984896,0
nn.conv2d-508,64,12908191.825000001,0.0,139984896,139984896,0
nn.batch_norm-507,64,32702.849197102474,0.0,139984896,139984896,0
nn.leaky_relu-505,64,21911.21183539971,0.0,139984896,139984896,0
add-504,128,29349.604709361847,0.0,139984896,139984896,0
nn.conv2d-503,64,167299842.3333333,0.0,139984896,139984896,0
nn.batch_norm-502,64,17062.975088269908,0.0,139984896,139984896,0
nn.leaky_relu-500,64,9915.634519875739,0.0,139984896,139984896,0
