a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_byte_memory,forward_op_before_byte_memory,forward_op_used_byte_memory
nn.conv2d-694,2076824,1459839.3229927006,0.0,2278916096,2278821888,94208
nn.batch_norm-693,64,315831.99252262886,0.0,2279063552,2279063552,0
nn.leaky_relu-691,64,299758.17482256255,0.0,2279071744,2279071744,0
nn.conv2d-690,64,8824810.129411764,0.0,2279075840,2279075840,0
nn.batch_norm-689,64,51362.08617385353,0.0,2281738240,2281738240,0
nn.leaky_relu-687,64,56554.041919360214,0.0,2281738240,2281738240,0
nn.conv2d-686,64,890100.3228840126,0.0,2281738240,2281738240,0
nn.batch_norm-685,64,22617.901150086258,0.0,2281746432,2281746432,0
nn.leaky_relu-683,64,28172.714001231034,0.0,2281754624,2281754624,0
nn.conv2d-682,64,5592846.242718447,0.0,2281754624,2281754624,0
nn.batch_norm-681,64,43327.67995740654,0.0,2292838400,2281762816,11075584
nn.leaky_relu-679,64,48240.29373600505,0.0,2303913984,2292838400,11075584
add-678,128,95732.02945677123,0.0,2326065152,2314989568,11075584
nn.conv2d-677,64,6064276.057142857,0.0,2326065152,2326065152,0
nn.batch_norm-676,64,272972.17770655267,0.0,2326065152,2326065152,0
nn.leaky_relu-674,64,106556.55157473755,0.0,2326065152,2326065152,0
nn.conv2d-673,64,897316.5617214042,0.0,2326065152,2326065152,0
nn.batch_norm-672,64,102122.23688969259,0.0,2326065152,2326065152,0
nn.leaky_relu-670,64,57379.949491305284,0.0,2326065152,2326065152,0
nn.conv2d-669,64,5213298.120689656,0.0,2326065152,2326065152,0
nn.batch_norm-668,64,189147.27851002867,0.0,2326065152,2326065152,0
nn.leaky_relu-666,64,82347.40297230835,0.0,2326065152,2326065152,0
add-665,128,47860.10177230399,0.0,2337140736,2331602944,5537792
nn.conv2d-664,64,904028.2391799545,0.0,2337140736,2337140736,0
nn.batch_norm-663,64,142420.2302962549,0.0,2337140736,2337140736,0
nn.leaky_relu-661,64,54505.31456356364,0.0,2337140736,2337140736,0
nn.conv2d-660,64,5777662.923664123,0.0,2337140736,2337140736,0
nn.batch_norm-659,64,232726.4045605002,0.0,2348216320,2342678528,5537792
nn.leaky_relu-657,64,109638.78761550132,0.0,2353754112,2348216320,5537792
add-656,128,54687.93455058658,0.0,2364829696,2359291904,5537792
nn.conv2d-655,64,5538734.641509434,0.0,2364829696,2364829696,0
nn.batch_norm-654,64,128775.03836813988,0.0,2364829696,2364829696,0
nn.leaky_relu-652,64,44734.29466235695,0.0,2364829696,2364829696,0
nn.conv2d-651,64,933885.5511163338,0.0,2364829696,2364829696,0
nn.batch_norm-650,64,69941.79183183183,0.0,2364829696,2364829696,0
nn.leaky_relu-648,64,31083.732896855963,0.0,2364829696,2364829696,0
nn.conv2d-647,64,5682917.263157894,0.0,2364829696,2364829696,0
nn.batch_norm-646,64,131620.98113567074,0.0,2364829696,2364829696,0
nn.leaky_relu-644,64,50010.168741226014,0.0,2367598592,2364829696,2768896
add-643,128,31601.159540940713,0.0,2373136384,2370367488,2768896
nn.conv2d-642,64,944267.3460166468,0.0,2373136384,2373136384,0
nn.batch_norm-641,64,51554.507709604884,0.0,2373136384,2373136384,0
nn.leaky_relu-639,64,27079.1886772635,0.0,2373136384,2373136384,0
nn.conv2d-638,64,5055309.898148148,0.0,2373136384,2373136384,0
nn.batch_norm-637,64,89658.29788218955,0.0,2375909376,2373136384,2772992
