a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
nn.conv2d-694,2076824,326647.2464846981,0.0,139984896,139984896,0
nn.batch_norm-693,64,387621.22689486557,0.0,139984896,139984896,0
nn.leaky_relu-691,64,249489.73904761908,0.0,139984896,139984896,0
nn.conv2d-690,64,1836388.9063926942,0.0,139984896,139984896,0
nn.batch_norm-689,64,208116.419554123,0.0,139984896,139984896,0
nn.leaky_relu-687,64,122983.81473069434,0.0,139984896,139984896,0
nn.conv2d-686,64,238638.40573520443,0.0,139984896,139984896,0
nn.batch_norm-685,64,104148.39338133483,0.0,139984896,139984896,0
nn.leaky_relu-683,64,60990.70682558738,0.0,139984896,139984896,0
nn.conv2d-682,64,1243292.71251932,0.0,139984896,139984896,0
nn.batch_norm-681,64,207755.68556975506,0.0,139984896,139984896,0
nn.leaky_relu-679,64,122974.08685788367,0.0,139984896,139984896,0
add-678,128,197505.9918221314,0.0,139984896,139984896,0
nn.conv2d-677,64,7596983.757575759,0.0,139984896,139984896,0
nn.batch_norm-676,64,104329.70049191847,0.0,139984896,139984896,0
nn.leaky_relu-674,64,60995.068756829445,0.0,139984896,139984896,0
nn.conv2d-673,64,207550.21890812254,0.0,139984896,139984896,0
nn.batch_norm-672,64,56624.750526998534,0.0,139984896,139984896,0
nn.leaky_relu-670,64,35713.189792663485,0.0,139984896,139984896,0
nn.conv2d-669,64,1423724.2073863635,0.0,139984896,139984896,0
nn.batch_norm-668,64,104300.12633328717,0.0,139984896,139984896,0
nn.leaky_relu-666,64,60987.15224824756,0.0,139984896,139984896,0
add-665,128,98529.47858374221,0.0,139984896,139984896,0
nn.conv2d-664,64,207682.0527277473,0.0,139984896,139984896,0
nn.batch_norm-663,64,56628.73751714124,0.0,139984896,139984896,0
nn.leaky_relu-661,64,35713.83411911342,0.0,139984896,139984896,0
nn.conv2d-660,64,1423076.7261484098,0.0,139984896,139984896,0
nn.batch_norm-659,64,104318.95728128839,0.0,139984896,139984896,0
nn.leaky_relu-657,64,60980.44101332892,0.0,139984896,139984896,0
add-656,128,98542.51196738558,0.0,139984896,139984896,0
nn.conv2d-655,64,5703119.443181818,0.0,139984896,139984896,0
nn.batch_norm-654,64,57084.78213367609,0.0,139984896,139984896,0
nn.leaky_relu-652,64,35709.81233272107,0.0,139984896,139984896,0
nn.conv2d-651,64,249865.96444444446,0.0,139984896,139984896,0
nn.batch_norm-650,64,31891.07484970927,0.0,139984896,139984896,0
nn.leaky_relu-648,64,21940.574237027726,0.0,139984896,139984896,0
nn.conv2d-647,64,2539516.216080402,0.0,139984896,139984896,0
nn.batch_norm-646,64,57099.06647657841,0.0,139984896,139984896,0
nn.leaky_relu-644,64,35716.024334398295,0.0,139984896,139984896,0
add-643,128,51391.74592738695,0.0,139984896,139984896,0
nn.conv2d-642,64,249632.49810844893,0.0,139984896,139984896,0
nn.batch_norm-641,64,31889.524516065638,0.0,139984896,139984896,0
nn.leaky_relu-639,64,21950.773967432335,0.0,139984896,139984896,0
nn.conv2d-638,64,2550523.8944723625,0.0,139984896,139984896,0
nn.batch_norm-637,64,57105.83921663443,0.0,139984896,139984896,0
nn.leaky_relu-635,64,35734.94474598349,0.0,139984896,139984896,0
add-634,128,51383.16548601476,0.0,139984896,139984896,0
nn.conv2d-633,64,249677.1464421855,0.0,139984896,139984896,0
nn.batch_norm-632,64,31891.95626836931,0.0,139984896,139984896,0
nn.leaky_relu-630,64,21955.22687442853,0.0,139984896,139984896,0
nn.conv2d-629,64,2531612.5175879397,0.0,139984896,139984896,0
nn.batch_norm-628,64,57085.32990692028,0.0,139984896,139984896,0
nn.leaky_relu-626,64,35724.98241996745,0.0,139984896,139984896,0
add-625,128,51406.7829321663,0.0,139984896,139984896,0
nn.conv2d-624,64,249925.23862551706,0.0,139984896,139984896,0
nn.batch_norm-623,64,31902.454208704967,0.0,139984896,139984896,0
nn.leaky_relu-621,64,21952.913427033498,0.0,139984896,139984896,0
nn.conv2d-620,64,2548558.461928934,0.0,139984896,139984896,0
nn.batch_norm-619,64,57112.208597321354,0.0,139984896,139984896,0
nn.leaky_relu-617,64,35729.982918496826,0.0,139984896,139984896,0
add-616,128,51387.88481021951,0.0,139984896,139984896,0
nn.conv2d-615,64,249735.00448430493,0.0,139984896,139984896,0
nn.batch_norm-614,64,31883.596388261853,0.0,139984896,139984896,0
nn.leaky_relu-612,64,21956.83021493171,0.0,139984896,139984896,0
nn.conv2d-611,64,2561355.6507936507,0.0,139984896,139984896,0
nn.batch_norm-610,64,57093.970968000634,0.0,139984896,139984896,0
nn.leaky_relu-608,64,35718.11204984687,0.0,139984896,139984896,0
add-607,128,51404.18955765047,0.0,139984896,139984896,0
nn.conv2d-606,64,249818.5436832181,0.0,139984896,139984896,0
nn.batch_norm-605,64,31882.86630407911,0.0,139984896,139984896,0
nn.leaky_relu-603,64,21937.389503492544,0.0,139984896,139984896,0
nn.conv2d-602,64,2567143.8666666667,0.0,139984896,139984896,0
nn.batch_norm-601,64,57093.797800064705,0.0,139984896,139984896,0
nn.leaky_relu-599,64,35716.92016958792,0.0,139984896,139984896,0
add-598,128,51403.23965109403,0.0,139984896,139984896,0
nn.conv2d-597,64,249871.83565547812,0.0,139984896,139984896,0
nn.batch_norm-596,64,31893.783945178668,0.0,139984896,139984896,0
nn.leaky_relu-594,64,21938.6953888779,0.0,139984896,139984896,0
nn.conv2d-593,64,2533143.929648241,0.0,139984896,139984896,0
nn.batch_norm-592,64,57104.333833517616,0.0,139984896,139984896,0
nn.leaky_relu-590,64,35713.88978947942,0.0,139984896,139984896,0
add-589,128,51394.69922572959,0.0,139984896,139984896,0
nn.conv2d-588,64,250000.56906429023,0.0,139984896,139984896,0
nn.batch_norm-587,64,31897.741442206785,0.0,139984896,139984896,0
nn.leaky_relu-585,64,21948.069700080665,0.0,139984896,139984896,0
nn.conv2d-584,64,2540625.8477157364,0.0,139984896,139984896,0
nn.batch_norm-583,64,57098.75618713077,0.0,139984896,139984896,0
nn.leaky_relu-581,64,35718.47263984082,0.0,139984896,139984896,0
add-580,128,51395.88183095467,0.0,139984896,139984896,0
nn.conv2d-579,64,37638343.50000001,0.0,139984896,139984896,0
nn.batch_norm-578,64,32737.203437826025,0.0,139984896,139984896,0
nn.leaky_relu-576,64,21951.87472416163,0.0,139984896,139984896,0
nn.conv2d-575,64,302120.74769585254,0.0,139984896,139984896,0
nn.batch_norm-574,64,17006.597941537264,0.0,139984896,139984896,0
nn.leaky_relu-572,64,9913.979458838445,0.0,139984896,139984896,0
nn.conv2d-571,64,13017163.153846154,0.0,139984896,139984896,0
nn.batch_norm-570,64,32726.860919482348,0.0,139984896,139984896,0
nn.leaky_relu-568,64,21946.957437134963,0.0,139984896,139984896,0
add-567,128,29261.637422113065,0.0,139984896,139984896,0
nn.conv2d-566,64,302698.6895499619,0.0,139984896,139984896,0
nn.batch_norm-565,64,17002.824808917198,0.0,139984896,139984896,0
nn.leaky_relu-563,64,9903.102905353218,0.0,139984896,139984896,0
nn.conv2d-562,64,12949106.58974359,0.0,139984896,139984896,0
nn.batch_norm-561,64,32732.30642857143,0.0,139984896,139984896,0
nn.leaky_relu-559,64,21952.574401285045,0.0,139984896,139984896,0
add-558,128,29265.96812432912,0.0,139984896,139984896,0
nn.conv2d-557,64,302844.14662646066,0.0,139984896,139984896,0
nn.batch_norm-556,64,16998.021913176617,0.0,139984896,139984896,0
nn.leaky_relu-554,64,9899.923064689763,0.0,139984896,139984896,0
nn.conv2d-553,64,12991407.966101695,0.0,139984896,139984896,0
nn.batch_norm-552,64,32721.484225788703,0.0,139984896,139984896,0
nn.leaky_relu-550,64,21956.028078300827,0.0,139984896,139984896,0
add-549,128,29268.17411160889,0.0,139984896,139984896,0
nn.conv2d-548,64,302924.0108108108,0.0,139984896,139984896,0
nn.batch_norm-547,64,16994.75380853865,0.0,139984896,139984896,0
nn.leaky_relu-545,64,9903.011694046556,0.0,139984896,139984896,0
